customer_id,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,lifetime_revenue,txn_count,total_tickets,customer_health_score,is_churned
C000027,Startup,APAC,Pro,Sales,7,171.72,885,4.7,1,49.4,0.204,0,2392.88,14,1,48.8,1
C000028,Startup,APAC,Free,Referral,4,0.0,284,22.0,1,21.7,0.307,1,36.81,7,1,62.5,0
C000029,Startup,North America,Pro,Paid Search,1,142.31,681,19.0,0,14.8,0.085,0,1565.1100000000001,10,0,56.0,0
C000030,SMB,North America,Starter,Paid Search,17,59.4,826,13.0,2,17.6,0.257,0,1041.21,18,2,53.1,0
C000031,SMB,North America,Starter,Partner,12,46.03,816,25.0,0,49.7,0.285,1,965.32,21,0,68.8,0
C000032,SMB,North America,Pro,Referral,13,169.21,1136,6.0,2,1.7,0.252,0,3313.42,20,2,45.1,0
C000033,SMB,North America,Starter,Organic,16,59.46,1329,3.0,0,38.9,0.398,1,2260.98,38,1,51.5,0
C000034,Enterprise,North America,Pro,Organic,82,181.13,667,17.0,1,14.2,0.508,0,3528.85,21,2,65.3,0
C000035,Startup,North America,Starter,Organic,5,56.17,191,8.0,0,3.7,0.418,0,204.32,3,0,55.1,0
C000036,SMB,LATAM,Enterprise,Referral,4,1423.33,1369,13.0,1,7.7,0.318,0,49553.43,33,1,55.4,0
C000037,SMB,Europe,Starter,Referral,18,48.34,233,12.0,1,34.4,0.474,0,141.58,3,1,61.9,0
C000038,Mid-Market,APAC,Pro,Organic,20,179.92,277,7.0,1,54.1,0.471,2,1690.44,9,1,55.3,0
C000039,Enterprise,North America,Business,Paid Search,486,453.89,1065,27.0,0,18.1,0.101,2,12071.15,26,1,59.9,0
C000040,SMB,North America,Pro,Referral,20,139.41,557,10.0,2,-16.9,0.31,0,1510.59,11,3,48.5,0
C000041,SMB,LATAM,Starter,Sales,22,57.78,1224,18.0,0,100.0,0.182,0,1473.47,25,1,66.5,0
C000042,SMB,North America,Pro,Organic,4,136.76,376,4.0,3,62.9,0.174,0,716.28,5,4,45.6,0
C000043,Mid-Market,Europe,Free,Paid Search,79,0.0,459,27.0,0,58.3,0.205,0,14.99,9,1,71.1,0
C000044,Mid-Market,LATAM,Pro,Paid Search,19,134.27,954,27.0,1,75.7,0.659,0,2472.4,19,1,84.9,0
C000045,SMB,Europe,Starter,Partner,10,49.47,1363,1.0,0,37.3,0.749,0,948.2,21,0,62.1,0
C000046,Mid-Market,North America,Business,Organic,19,412.31,72,18.0,1,31.6,0.31,0,249.83,1,3,62.0,0
C000047,Startup,Europe,Business,Organic,6,384.57,823,16.0,1,68.9,0.289,0,7359.55,20,1,63.3,0
C000048,Mid-Market,North America,Starter,Referral,54,58.01,183,4.0,3,68.7,0.658,0,215.67,3,4,60.7,0
C000049,Mid-Market,North America,Free,Paid Search,53,0.0,491,13.7,1,50.4,0.661,1,17.0,3,1,68.6,1
C000050,Mid-Market,North America,Starter,Organic,49,49.58,347,21.0,1,57.1,0.374,1,157.0,4,1,67.2,0
C000051,SMB,APAC,Pro,Paid Search,4,154.71,374,23.0,0,4.0,0.413,0,1704.7,10,0,68.3,0
C000052,SMB,Europe,Starter,Organic,21,58.93,1182,16.0,0,28.6,0.6,0,1995.2,35,0,70.1,0
C000053,SMB,North America,Pro,Paid Search,13,141.83,940,19.0,1,77.6,0.685,2,3652.01,26,3,74.8,0
C000054,Startup,North America,Pro,Paid Search,4,140.82,793,20.0,3,55.1,0.559,0,2534.86,17,3,70.6,0
C000055,Mid-Market,APAC,Enterprise,Organic,72,1254.63,749,21.0,1,-1.6,0.197,0,24284.76,19,3,58.0,0
C000056,SMB,LATAM,Starter,Organic,20,47.96,1398,16.0,2,21.7,0.7,0,981.06,20,2,69.5,0
C000057,Enterprise,North America,Free,Sales,171,0.0,679,20.0,0,73.5,0.141,0,45.540000000000006,11,2,64.4,0
C000058,Mid-Market,North America,Starter,Sales,43,59.01,1240,1.0,1,46.4,0.622,0,1612.23,27,1,57.7,0
C000059,SMB,APAC,Pro,Organic,9,134.95,397,17.0,0,39.5,0.336,0,759.72,6,0,64.2,0
C000060,Enterprise,APAC,Starter,Partner,265,52.27,484,5.0,0,40.3,0.199,0,450.92,9,2,49.5,0
C000061,SMB,LATAM,Starter,Organic,9,45.03,141,7.4,0,32.9,0.39,1,84.86,2,1,54.6,1
C000062,SMB,North America,Starter,Referral,7,48.71,395,6.8,4,21.9,0.486,0,184.28,4,4,51.8,1
C000063,SMB,North America,Business,Referral,22,374.19,936,3.0,0,14.2,0.346,0,6570.96,18,0,49.5,0
C000064,SMB,Europe,Enterprise,Partner,4,1094.16,77,21.0,1,60.3,0.71,0,1339.29,1,2,79.6,0
C000065,SMB,North America,Starter,Partner,12,53.69,873,7.0,1,40.9,0.886,0,857.3299999999999,15,3,70.4,0
C000066,Mid-Market,APAC,Starter,Paid Search,52,51.99,995,21.0,1,52.7,0.469,2,1376.82,27,1,67.6,0
C000067,Enterprise,North America,Starter,Organic,433,51.21,166,21.0,2,48.7,0.229,0,211.49,4,3,62.5,0
C000068,Enterprise,Europe,Starter,Paid Search,214,61.67,931,0.0,4,70.2,0.319,0,1442.46,23,4,45.6,0
C000069,SMB,LATAM,Enterprise,Organic,11,1437.41,1351,6.0,1,46.4,0.117,0,49802.61,34,1,47.0,0
C000070,Startup,LATAM,Pro,Partner,1,156.17,789,22.0,2,55.6,0.569,1,1972.17,12,3,72.3,0
C000071,Enterprise,Europe,Pro,Paid Search,461,152.43,323,9.0,0,39.2,0.151,0,1692.43,12,0,51.5,0
C000072,SMB,LATAM,Enterprise,Organic,10,1420.03,1190,12.0,2,11.3,0.116,0,25403.62,19,2,47.3,0
C000073,SMB,North America,Pro,Partner,9,149.6,798,0.0,0,29.4,0.307,0,2388.38,18,0,47.2,0
C000074,Startup,North America,Starter,Referral,7,50.8,1275,19.0,0,49.7,0.25,0,996.97,20,1,64.4,0
C000075,SMB,North America,Pro,Partner,17,168.85,479,2.0,1,51.9,0.123,0,1458.28,9,1,44.2,0
C000076,SMB,LATAM,Starter,Paid Search,22,55.85,780,7.0,1,71.3,0.473,0,971.87,17,1,61.1,0
C000077,SMB,LATAM,Starter,Referral,24,51.52,988,13.0,0,23.5,0.364,0,1249.47,22,1,59.9,0
C000078,Startup,North America,Enterprise,Organic,7,1264.39,1136,21.0,0,40.6,0.393,0,33792.58,27,0,69.6,0
C000079,Mid-Market,North America,Starter,Partner,39,60.08,653,13.0,0,31.8,0.589,1,793.93,15,0,65.5,0
C000080,Startup,North America,Pro,Paid Search,5,154.13,503,27.0,4,75.6,0.307,0,1531.71,10,4,69.9,0
C000081,Enterprise,North America,Starter,Organic,337,58.09,116,7.8,3,44.4,0.401,0,121.25999999999999,2,3,53.9,1
C000082,Startup,APAC,Starter,Sales,7,46.63,835,7.0,1,44.9,0.344,1,818.09,17,1,52.6,0
C000083,Enterprise,North America,Pro,Paid Search,143,169.67,1231,2.0,0,34.1,0.2,1,3697.6,21,1,44.2,1
C000084,Mid-Market,APAC,Business,Paid Search,32,385.68,270,21.0,1,29.4,0.473,0,1824.3400000000001,4,2,69.4,0
C000085,Enterprise,Europe,Pro,Organic,144,157.25,560,12.0,1,-1.2,0.664,1,1343.7,8,1,62.0,0
C000086,SMB,North America,Starter,Sales,19,51.13,459,16.0,2,3.5,0.487,0,850.5,15,2,61.2,0
C000087,Mid-Market,North America,Free,Referral,46,0.0,1321,10.0,1,39.5,0.649,1,180.58,25,1,63.8,0
C000088,Mid-Market,LATAM,Pro,Organic,38,139.84,1014,7.0,1,36.4,0.2,0,1863.76,15,1,49.4,0
C000089,SMB,Europe,Pro,Partner,21,139.24,362,16.0,0,39.6,0.376,0,522.33,4,2,64.5,0
C000090,SMB,Europe,Business,Organic,19,366.08,270,8.0,0,58.5,0.305,0,3350.18,9,0,57.1,0
C000091,SMB,North America,Pro,Referral,13,151.28,838,27.0,2,37.3,0.815,0,1478.58,10,2,84.3,0
C000092,Startup,LATAM,Business,Paid Search,5,376.29,310,20.0,2,26.3,0.295,1,3951.08,10,2,59.3,0
C000093,SMB,APAC,Business,Organic,3,443.21,257,22.0,0,29.8,0.381,0,2970.95,6,1,69.1,0
C000094,Mid-Market,APAC,Starter,Partner,57,58.15,906,7.0,0,41.1,0.578,0,1430.58,22,1,62.7,0
C000095,Mid-Market,Europe,Pro,Sales,60,148.9,176,0.0,0,25.5,0.435,1,316.75,2,0,48.6,1
C000096,Startup,APAC,Business,Paid Search,7,429.94,1048,1.0,3,61.6,0.292,0,10759.7,23,3,46.3,0
C000097,Enterprise,North America,Enterprise,Organic,182,1320.88,1118,24.0,1,34.7,0.354,1,21242.38,16,1,67.0,0
C000098,SMB,APAC,Starter,Sales,11,46.81,485,24.0,0,41.3,0.142,0,387.65999999999997,9,0,64.8,0
C000099,Startup,Europe,Pro,Organic,2,158.5,550,19.0,0,14.6,0.046,0,1386.55,9,0,54.8,0
C000100,Startup,Europe,Starter,Paid Search,6,54.53,1261,6.6,3,61.6,0.297,2,1455.84,27,4,47.5,1
C000101,SMB,LATAM,Business,Paid Search,18,465.28,270,5.0,0,71.0,0.363,1,2324.34,5,0,55.5,0
C000102,SMB,LATAM,Enterprise,Organic,24,1201.4,1175,21.0,2,0.9,0.217,1,23294.29,21,2,55.4,0
C000103,SMB,Europe,Enterprise,Organic,16,1136.5,309,14.0,1,45.0,0.647,2,5892.63,6,1,65.9,0
C000104,SMB,Europe,Starter,Organic,8,57.78,1450,16.0,2,32.3,0.374,1,1801.56,31,3,58.7,0
C000105,Enterprise,APAC,Starter,Organic,422,62.03,321,0.0,0,42.1,0.097,1,450.93,7,0,40.1,0
C000106,Mid-Market,LATAM,Business,Paid Search,58,403.83,335,14.0,0,46.3,0.296,0,3870.12,10,1,61.0,0
C000107,SMB,APAC,Pro,Referral,6,134.19,345,19.0,2,-20.9,0.161,0,977.91,7,2,51.7,0
C000108,Mid-Market,North America,Enterprise,Organic,74,1385.24,510,21.0,0,54.0,0.483,0,12149.33,8,0,73.6,0
C000109,SMB,North America,Starter,Referral,19,49.83,786,4.0,1,62.8,0.653,0,986.19,19,2,62.9,0
C000110,Mid-Market,APAC,Business,Paid Search,73,466.97,452,0.0,1,65.6,0.226,0,4412.72,9,1,46.8,0
C000111,Startup,APAC,Pro,Organic,5,134.51,1064,23.0,2,11.4,0.336,1,3198.84,25,3,61.8,0
C000112,Startup,APAC,Starter,Paid Search,5,50.13,344,2.6,2,34.2,0.376,0,603.1400000000001,11,2,49.0,1
C000113,SMB,Europe,Free,Organic,4,0.0,666,13.0,2,21.5,0.572,0,75.42,16,2,62.9,0
C000114,SMB,Europe,Pro,Partner,19,164.69,804,17.0,1,-12.9,0.46,0,3422.7,20,2,61.2,0
C000115,Mid-Market,Europe,Starter,Paid Search,32,55.72,737,13.0,2,19.5,0.373,0,996.0,17,3,56.7,0
C000116,SMB,APAC,Business,Partner,3,465.27,647,26.0,3,7.9,0.266,0,4817.19,12,3,62.5,0
C000117,Mid-Market,North America,Pro,Sales,57,153.74,1407,23.0,0,43.4,0.29,0,3693.3,24,1,68.6,0
C000118,Startup,APAC,Pro,Organic,4,136.69,1261,11.0,1,-5.8,0.21,1,3442.1800000000003,25,1,47.0,0
C000119,Startup,APAC,Starter,Sales,7,58.1,1109,5.0,3,10.5,0.169,0,1214.22,19,3,41.1,0
C000120,Startup,APAC,Enterprise,Organic,4,1264.71,1297,27.0,4,22.0,0.355,0,20087.88,15,5,66.0,0
C000121,Startup,North America,Pro,Organic,4,173.79,832,19.0,1,54.3,0.828,0,3564.23,20,2,80.7,0
C000122,Startup,APAC,Business,Organic,1,444.65,505,21.0,0,100.0,0.851,1,5848.78,14,1,87.3,0
C000123,Mid-Market,North America,Business,Referral,56,430.08,525,12.0,0,42.6,0.392,0,4528.93,10,1,61.7,0
C000124,Startup,North America,Pro,Partner,1,132.42,787,13.0,1,9.2,0.549,1,2334.36,18,2,60.5,0
C000125,SMB,Europe,Enterprise,Sales,7,1174.63,238,5.0,0,18.0,0.429,0,6255.53,5,0,54.1,0
C000126,SMB,North America,Pro,Referral,22,167.81,652,12.0,0,51.5,0.687,1,2611.31,16,1,69.5,0
C000127,SMB,LATAM,Pro,Paid Search,10,167.11,1347,15.0,2,1.3,0.464,0,4790.52,30,2,59.4,0
C000128,Mid-Market,LATAM,Starter,Sales,76,49.29,367,3.0,4,62.4,0.211,0,557.08,10,4,44.2,0
C000129,Mid-Market,North America,Starter,Sales,77,55.52,639,17.0,1,41.8,0.276,0,738.67,12,2,61.1,0
C000130,Mid-Market,APAC,Business,Referral,53,379.5,553,17.0,2,31.9,0.212,0,2997.13,8,5,56.7,0
C000131,Enterprise,Europe,Starter,Partner,355,50.05,652,15.6,5,-7.1,0.289,1,493.1,10,5,47.4,1
C000132,SMB,APAC,Pro,Referral,10,138.46,669,1.0,1,58.0,0.652,0,1338.22,10,2,59.8,0
C000133,Startup,APAC,Enterprise,Organic,6,1135.75,1331,6.0,0,16.0,0.327,0,29833.31,26,0,51.8,0
C000134,SMB,Europe,Starter,Sales,9,46.11,661,12.0,1,38.8,0.737,0,906.5,18,1,70.2,0
C000135,SMB,North America,Free,Sales,17,0.0,324,24.0,2,31.1,0.188,0,41.13,7,2,62.2,0
C000136,SMB,North America,Pro,Partner,15,176.87,1026,6.0,3,-4.6,0.279,0,4157.81,23,3,43.8,0
C000137,SMB,Europe,Free,Organic,9,0.0,598,27.0,2,29.2,0.389,0,114.26,17,2,70.7,0
C000138,Mid-Market,LATAM,Business,Organic,56,417.19,1416,26.0,0,4.7,0.644,1,14423.94,34,0,76.0,0
C000139,Startup,Europe,Pro,Sales,1,167.36,964,2.0,0,18.7,0.211,0,4043.85,24,0,45.0,0
C000140,Mid-Market,North America,Pro,Referral,32,139.88,836,10.0,0,45.8,0.219,1,2686.64,18,0,53.1,0
C000141,SMB,North America,Pro,Referral,21,161.49,55,7.0,2,52.6,0.594,1,606.82,4,3,59.3,0
C000142,SMB,LATAM,Pro,Sales,20,163.07,1154,13.0,1,34.5,0.345,0,3864.85,24,1,58.9,0
C000143,SMB,North America,Starter,Paid Search,24,50.75,1065,25.0,0,12.9,0.413,0,1177.34,23,1,71.0,0
C000144,Startup,APAC,Starter,Sales,4,43.33,876,10.0,4,18.8,0.406,0,773.24,18,4,52.0,0
C000145,Mid-Market,APAC,Starter,Organic,55,50.25,41,18.0,2,18.4,0.598,1,59.16,1,2,65.9,0
C000146,Startup,North America,Business,Organic,6,352.97,240,1.1,0,-18.4,0.517,0,1036.88,3,1,49.7,1
C000147,SMB,North America,Free,Paid Search,22,0.0,1411,15.0,1,36.8,0.507,0,116.42,26,1,65.8,0
C000148,SMB,North America,Starter,Paid Search,24,59.96,1126,9.0,0,-6.7,0.632,0,1982.08,34,1,61.3,0
C000149,SMB,North America,Starter,Paid Search,13,47.07,286,25.0,0,36.9,0.5,0,217.04000000000002,4,0,76.0,0
C000150,Startup,APAC,Starter,Referral,1,53.73,1377,21.0,1,-1.5,0.573,0,1790.54,33,3,69.3,0
C000151,Startup,APAC,Free,Organic,6,0.0,237,2.0,3,4.8,0.346,1,0.0,2,3,41.1,1
C000152,SMB,North America,Business,Referral,18,395.68,1058,17.0,2,51.7,0.19,0,7416.79,18,2,58.0,0
C000153,Startup,Europe,Free,Organic,3,0.0,148,5.0,1,35.6,0.216,0,6.97,3,1,48.0,1
C000154,SMB,North America,Pro,Referral,16,145.59,1041,12.0,4,-12.1,0.284,0,2972.79,21,4,47.0,0
C000155,SMB,North America,Starter,Organic,13,44.87,839,12.0,2,21.0,0.481,1,812.88,18,2,57.2,0
C000156,Startup,APAC,Pro,Referral,1,154.57,514,22.0,2,41.5,0.279,0,1633.03,9,3,64.2,0
C000157,Mid-Market,APAC,Starter,Partner,48,49.5,1280,8.0,1,19.5,0.284,0,1266.6399999999999,24,2,51.1,0
C000158,SMB,APAC,Business,Paid Search,20,469.33,664,0.0,0,26.4,0.058,0,8086.39,17,0,39.4,0
C000159,Enterprise,North America,Enterprise,Organic,341,1524.18,738,5.0,0,41.1,0.281,0,23679.54,15,0,52.0,0
C000160,Mid-Market,Europe,Starter,Organic,75,48.09,340,23.0,1,36.1,0.403,0,381.17,8,1,69.7,0
C000161,Startup,Europe,Enterprise,Paid Search,6,1115.81,36,8.0,0,10.2,0.523,0,1224.44,1,0,58.9,0
C000162,Mid-Market,LATAM,Starter,Organic,74,48.44,511,0.4,3,35.6,0.426,0,696.07,13,3,47.2,1
C000163,Mid-Market,Europe,Pro,Organic,68,159.94,875,11.0,0,27.8,0.289,0,2930.5099999999998,17,0,56.3,0
C000164,Mid-Market,LATAM,Pro,Referral,68,152.8,879,24.0,1,78.1,0.638,0,2965.06,21,3,81.9,0
C000165,SMB,North America,Starter,Organic,11,53.61,863,24.0,2,32.4,0.891,0,934.21,17,2,83.4,0
C000166,Startup,Europe,Starter,Organic,6,50.37,296,26.0,1,38.4,0.617,0,178.61,4,1,79.1,0
C000167,Startup,APAC,Free,Paid Search,5,0.0,1001,19.0,0,41.5,0.63,0,96.39,25,1,75.0,0
C000168,Enterprise,North America,Pro,Paid Search,480,179.92,1222,22.0,2,26.9,0.097,1,5023.12,25,2,55.2,0
C000169,SMB,Europe,Starter,Paid Search,22,49.78,982,21.0,1,17.0,0.607,0,794.14,15,2,72.2,0
C000170,SMB,Europe,Business,Partner,18,443.25,1428,0.0,3,46.5,0.344,0,18429.88,42,3,45.5,0
C000171,SMB,LATAM,Starter,Partner,15,56.99,1309,6.3,2,46.7,0.441,0,1473.18,25,2,55.5,1
C000172,SMB,North America,Enterprise,Paid Search,8,1105.68,1332,14.0,0,87.1,0.362,1,40339.34,35,0,65.1,0
C000173,Mid-Market,LATAM,Free,Paid Search,52,0.0,357,3.8,0,53.6,0.582,0,36.51,4,2,61.2,1
C000174,SMB,Europe,Pro,Organic,9,176.07,428,23.0,0,54.0,0.541,0,2098.93,12,1,77.2,0
C000175,SMB,Europe,Starter,Referral,4,45.04,464,27.0,1,52.9,0.608,0,562.3,13,1,81.1,0
C000176,SMB,Europe,Starter,Paid Search,21,53.69,800,15.0,2,17.7,0.093,0,1022.84,19,2,50.0,0
C000177,SMB,North America,Free,Referral,23,0.0,435,1.1,2,3.6,0.416,0,0.0,1,3,45.8,1
C000178,Startup,LATAM,Pro,Partner,1,147.76,1230,10.0,0,9.9,0.314,0,2818.8199999999997,19,0,54.3,0
C000179,SMB,LATAM,Starter,Partner,9,54.8,173,5.0,2,52.2,0.438,0,342.11,5,3,54.8,0
C000180,Mid-Market,LATAM,Pro,Paid Search,70,178.27,744,13.0,4,70.5,0.49,2,4227.35,23,4,58.4,0
C000181,Startup,LATAM,Enterprise,Sales,6,1405.85,119,6.0,0,53.4,0.382,0,3443.26,2,1,57.2,0
C000182,Startup,Europe,Starter,Paid Search,1,54.2,1243,2.0,1,30.8,0.233,0,1333.51,22,1,45.4,0
C000183,Mid-Market,Europe,Free,Paid Search,31,0.0,749,2.1,1,76.9,0.252,1,70.28999999999999,8,1,48.6,1
C000184,SMB,APAC,Free,Sales,11,0.0,465,13.0,1,23.9,0.501,0,67.1,9,1,62.5,0
C000185,Mid-Market,North America,Free,Partner,48,0.0,752,3.0,1,6.3,0.719,0,33.07,12,1,58.4,0
C000186,SMB,APAC,Pro,Paid Search,16,166.73,822,0.0,2,41.3,0.62,0,1644.33,11,2,54.7,0
C000187,Mid-Market,Europe,Business,Organic,33,374.14,1223,7.0,1,67.3,0.499,0,8323.119999999999,21,1,61.4,0
C000188,SMB,Europe,Starter,Organic,15,49.18,916,18.0,4,13.9,0.691,0,922.61,19,4,67.2,0
C000189,Mid-Market,North America,Free,Referral,30,0.0,1119,17.0,5,-7.6,0.209,0,97.49,22,6,48.2,0
C000190,SMB,North America,Pro,Organic,9,162.74,1029,10.0,1,35.9,0.043,0,3445.68,22,1,47.3,0
C000191,Startup,North America,Starter,Organic,5,51.41,483,18.0,1,54.3,0.233,1,509.98,10,2,60.0,0
C000192,Mid-Market,Europe,Pro,Organic,26,179.65,559,5.0,2,-39.1,0.181,0,1047.45,7,2,38.0,0
C000193,Startup,Europe,Enterprise,Sales,5,1109.69,592,20.0,0,59.4,0.655,0,14470.8,13,0,78.4,0
C000194,Startup,North America,Starter,Partner,2,51.47,943,0.0,0,0.8,0.635,0,1467.71,26,1,54.1,0
C000195,Startup,North America,Pro,Paid Search,1,134.4,88,3.0,1,53.1,0.489,0,125.58,1,2,56.2,0
C000196,Mid-Market,Europe,Business,Sales,25,470.79,1335,25.0,0,-14.9,0.502,0,15267.95,33,0,70.9,0
C000197,Startup,North America,Pro,Paid Search,3,147.68,971,13.0,1,-1.9,0.421,0,2948.28,20,2,57.5,0
C000198,Enterprise,APAC,Business,Referral,166,410.77,1292,15.0,0,50.5,0.565,1,10986.41,27,0,68.4,0
C000199,Mid-Market,North America,Business,Referral,76,405.54,976,11.0,0,65.4,0.654,0,7061.86,17,0,71.0,0
C000200,Startup,Europe,Pro,Paid Search,2,134.85,85,18.0,3,34.8,0.47,1,148.09,1,3,62.2,0
C000201,SMB,North America,Pro,Referral,4,140.35,937,20.0,1,94.9,0.339,1,3589.6400000000003,25,1,69.0,0
C000202,SMB,Europe,Pro,Sales,21,152.72,161,9.3,1,9.4,0.358,0,549.11,3,3,53.5,1
C000203,Mid-Market,Europe,Pro,Organic,33,137.23,753,6.0,0,9.1,0.301,1,1818.85,13,0,48.3,0
C000204,Startup,Europe,Pro,Organic,7,155.48,460,17.0,1,27.4,0.337,0,1083.35,8,1,61.5,0
C000205,SMB,Europe,Starter,Referral,8,46.32,806,21.0,2,26.3,0.683,2,597.23,13,2,69.9,0
C000206,SMB,Europe,Business,Paid Search,15,427.5,1080,11.0,1,42.1,0.711,1,7592.44,18,2,66.9,0
C000207,Startup,North America,Starter,Paid Search,1,44.26,368,10.0,1,16.4,0.75,0,239.83,5,2,66.6,0
C000208,Mid-Market,Europe,Starter,Organic,60,49.17,75,8.1,0,49.2,0.56,0,157.36,3,2,64.0,1
C000209,Mid-Market,North America,Starter,Referral,44,57.34,1084,16.0,1,48.6,0.282,0,1750.8,28,1,61.1,0
C000210,SMB,Europe,Starter,Referral,7,58.61,347,7.0,0,75.3,0.229,0,556.61,10,2,55.6,0
C000211,Startup,Europe,Pro,Sales,3,146.16,1087,26.0,2,22.7,0.368,1,2698.25,19,2,66.5,0
C000212,Mid-Market,APAC,Starter,Paid Search,75,52.81,435,15.0,2,43.4,0.397,0,521.9,10,2,61.6,0
C000213,Mid-Market,Europe,Pro,Sales,27,156.12,332,15.0,1,50.1,0.69,0,1224.07,8,2,72.6,0
C000214,Mid-Market,North America,Pro,Paid Search,61,154.44,818,5.0,1,34.8,0.471,0,2711.91,17,2,55.6,0
C000215,Startup,North America,Starter,Partner,4,46.91,407,18.0,0,29.7,0.311,0,511.63,10,0,63.4,0
C000216,Mid-Market,North America,Starter,Partner,55,55.21,1071,25.0,2,-16.6,0.683,0,1769.99,32,5,73.2,0
C000217,SMB,Europe,Pro,Paid Search,23,145.89,1347,20.0,3,37.1,0.218,0,4154.29,30,3,58.6,0
C000218,Startup,APAC,Business,Partner,2,401.56,1323,14.0,0,49.9,0.699,0,8792.55,23,0,73.5,0
C000219,Enterprise,APAC,Starter,Organic,88,51.73,821,17.0,1,33.6,0.363,1,480.41,10,4,60.9,0
C000220,SMB,Europe,Starter,Paid Search,14,55.48,170,6.0,1,15.4,0.797,0,366.53,6,2,64.3,0
C000221,SMB,North America,Starter,Referral,9,56.13,1278,1.0,0,-7.0,0.222,2,1412.26,25,1,37.9,0
C000222,Startup,APAC,Free,Organic,3,0.0,809,17.0,1,46.3,0.302,0,40.989999999999995,16,1,62.4,0
C000223,Mid-Market,North America,Free,Referral,35,0.0,454,5.0,0,35.8,0.483,0,24.16,6,1,57.5,0
C000224,SMB,North America,Enterprise,Paid Search,22,1127.78,1171,2.0,0,69.7,0.672,0,32936.2,28,0,63.9,0
C000225,Mid-Market,APAC,Free,Organic,65,0.0,429,21.0,0,-1.2,0.269,0,63.879999999999995,8,0,61.7,0
C000226,SMB,North America,Free,Partner,5,0.0,1023,3.5,0,23.2,0.143,0,7.34,3,1,44.7,1
C000227,SMB,North America,Business,Organic,21,369.13,304,23.0,0,2.0,0.479,0,1286.6,4,1,70.1,0
