event_id,customer_id,opened_at,resolved_at,sla_due_at,status,reason,category,priority,channel,csat,resolved_hours,within_sla,created_at
E00000013,C000005,2024-03-03 12:22:00,2024-03-08 04:20:19,2024-03-05 12:22:00,resolved,Feature Request,Feature Request,medium,chat,1,112.0,False,2024-03-03
E00000014,C000006,2025-08-07 12:24:00,2025-08-08 08:44:16,2025-08-09 12:24:00,resolved,How-to,How-to,medium,chat,5,20.3,True,2025-08-07
E00000015,C000007,2022-05-05 17:25:00,2022-05-08 20:11:07,2022-05-07 17:25:00,resolved,Bug,Bug,medium,phone,2,74.8,False,2022-05-05
E00000016,C000007,2024-02-07 10:27:00,2024-02-07 21:04:21,2024-02-08 10:27:00,resolved,How-to,How-to,high,portal,4,10.6,True,2024-02-07
E00000017,C000009,2023-04-20 22:00:00,,2023-04-23 22:00:00,pending,Bug,Bug,low,portal,,,,2023-04-20
E00000018,C000009,2023-01-06 19:12:00,2023-01-06 23:08:48,2023-01-08 19:12:00,resolved,Outage,Outage,medium,chat,4,3.9,True,2023-01-06
E00000019,C000009,2023-06-10 02:09:00,2023-06-10 18:29:48,2023-06-12 02:09:00,resolved,Feature Request,Feature Request,medium,chat,4,16.3,True,2023-06-10
E00000020,C000009,2025-06-11 23:41:00,2025-06-13 01:05:45,2025-06-13 23:41:00,resolved,Billing,Billing,medium,portal,3,25.4,True,2025-06-11
E00000021,C000010,2023-08-11 17:45:00,,2023-08-13 17:45:00,escalated,Feature Request,Feature Request,medium,phone,,,,2023-08-11
E00000022,C000011,2025-10-20 17:02:00,2025-10-23 15:07:28,2025-10-21 17:02:00,resolved,Billing,Billing,high,chat,3,70.1,False,2025-10-20
E00000023,C000011,2025-07-30 09:45:00,2025-08-01 18:20:52,2025-08-02 09:45:00,resolved,Billing,Billing,low,phone,5,56.6,True,2025-07-30
E00000024,C000011,2024-10-29 07:59:00,2024-10-30 12:29:26,2024-11-01 07:59:00,resolved,Bug,Bug,low,phone,5,28.5,True,2024-10-29
E00000025,C000012,2025-12-18 22:21:00,2025-12-21 15:55:42,2025-12-21 22:21:00,resolved,Billing,Billing,low,email,5,65.6,True,2025-12-18
E00000026,C000013,2024-11-23 01:04:00,2024-11-25 11:30:09,2024-11-26 01:04:00,resolved,Feature Request,Feature Request,low,phone,5,58.4,True,2024-11-23
E00000027,C000014,2025-04-15 07:37:00,2025-04-15 09:14:15,2025-04-15 15:37:00,resolved,How-to,How-to,critical,chat,5,1.6,True,2025-04-15
E00000028,C000014,2025-01-16 19:10:00,2025-01-18 15:52:23,2025-01-19 19:10:00,resolved,Billing,Billing,low,chat,5,44.7,True,2025-01-16
E00000029,C000014,2025-06-22 15:03:00,,2025-06-25 15:03:00,pending,How-to,How-to,low,phone,,,,2025-06-22
E00000030,C000015,2025-02-19 06:36:00,2025-02-21 01:07:05,2025-02-20 06:36:00,resolved,How-to,How-to,high,chat,1,42.5,False,2025-02-19
E00000031,C000015,2025-08-12 14:39:00,2025-08-14 07:19:52,2025-08-15 14:39:00,resolved,How-to,How-to,low,chat,3,40.7,True,2025-08-12
E00000032,C000019,2025-08-16 00:39:00,2025-08-16 10:49:36,2025-08-18 00:39:00,resolved,Feature Request,Feature Request,medium,chat,4,10.2,True,2025-08-16
E00000033,C000019,2025-11-21 20:56:00,,2025-11-24 20:56:00,pending,Feature Request,Feature Request,low,chat,,,,2025-11-21
E00000034,C000019,2025-06-06 16:07:00,2025-06-07 12:34:44,2025-06-07 00:07:00,resolved,Bug,Bug,critical,chat,1,20.5,False,2025-06-06
E00000035,C000020,2023-11-26 16:52:00,2023-11-27 10:05:04,2023-11-27 16:52:00,resolved,Feature Request,Feature Request,high,email,5,17.2,True,2023-11-26
E00000036,C000021,2024-06-23 13:34:00,2024-06-24 01:03:11,2024-06-25 13:34:00,resolved,How-to,How-to,medium,chat,4,11.5,True,2024-06-23
E00000037,C000022,2023-11-05 21:50:00,2023-11-08 03:11:46,2023-11-08 21:50:00,resolved,Bug,Bug,low,chat,5,53.4,True,2023-11-05
E00000038,C000022,2024-09-29 11:14:00,2024-09-30 04:15:47,2024-09-30 11:14:00,resolved,Billing,Billing,high,email,5,17.0,True,2024-09-29
E00000039,C000023,2025-11-01 12:12:00,,2025-11-01 20:12:00,pending,How-to,How-to,critical,email,,,,2025-11-01
E00000040,C000023,2023-12-19 15:12:00,2023-12-20 06:27:50,2023-12-20 15:12:00,resolved,How-to,How-to,high,phone,5,15.3,True,2023-12-19
E00000041,C000024,2025-12-03 05:39:00,2025-12-03 18:14:18,2025-12-06 05:39:00,resolved,Bug,Bug,low,phone,4,12.6,True,2025-12-03
E00000042,C000024,2025-08-19 02:02:00,2025-08-25 21:54:20,2025-08-22 02:02:00,resolved,Bug,Bug,low,email,3,163.9,False,2025-08-19
E00000043,C000026,2025-01-14 15:28:00,2025-01-14 23:24:04,2025-01-15 15:28:00,resolved,Bug,Bug,high,phone,3,7.9,True,2025-01-14
E00000044,C000026,2024-10-14 18:16:00,2024-10-15 01:01:14,2024-10-15 18:16:00,resolved,Bug,Bug,high,chat,5,6.8,True,2024-10-14
E00000045,C000026,2025-01-10 23:00:00,2025-01-11 19:03:09,2025-01-11 23:00:00,resolved,Billing,Billing,high,chat,5,20.1,True,2025-01-10
E00000046,C000027,2023-08-03 04:15:00,2023-08-04 19:39:38,2023-08-05 04:15:00,resolved,Bug,Bug,medium,chat,4,39.4,True,2023-08-03
E00000047,C000027,2023-11-22 17:34:00,,2023-11-25 17:34:00,pending,Outage,Outage,low,email,,,,2023-11-22
E00000048,C000028,2025-08-02 08:54:00,2025-08-03 00:29:00,2025-08-03 08:54:00,resolved,Bug,Bug,high,phone,3,15.6,True,2025-08-02
E00000049,C000030,2024-08-12 14:07:00,,2024-08-15 14:07:00,pending,Billing,Billing,low,email,,,,2024-08-12
E00000050,C000030,2025-10-20 09:00:00,,2025-10-22 09:00:00,pending,Bug,Bug,medium,chat,,,,2025-10-20
E00000051,C000032,2024-04-07 02:15:00,2024-04-07 10:19:46,2024-04-10 02:15:00,resolved,Bug,Bug,low,chat,3,8.1,True,2024-04-07
E00000052,C000032,2023-07-08 02:33:00,2023-07-09 20:09:51,2023-07-11 02:33:00,resolved,Outage,Outage,low,chat,5,41.6,True,2023-07-08
E00000053,C000033,2023-07-25 04:26:00,2023-07-26 20:24:30,2023-07-27 04:26:00,resolved,Bug,Bug,medium,email,4,40.0,True,2023-07-25
E00000054,C000034,2024-04-13 01:35:00,2024-04-15 06:57:24,2024-04-16 01:35:00,resolved,Billing,Billing,low,portal,4,53.4,True,2024-04-13
E00000055,C000035,2025-08-12 02:57:00,2025-08-13 10:40:13,2025-08-14 02:57:00,resolved,Outage,Outage,medium,chat,3,31.7,True,2025-08-12
E00000056,C000036,2025-01-30 10:41:00,2025-01-31 06:44:04,2025-01-31 10:41:00,resolved,Feature Request,Feature Request,high,chat,4,20.1,True,2025-01-30
E00000057,C000037,2025-11-09 00:52:00,2025-11-10 15:12:09,2025-11-12 00:52:00,resolved,Billing,Billing,low,portal,3,38.3,True,2025-11-09
E00000058,C000038,2025-07-07 20:47:00,2025-07-08 07:53:48,2025-07-09 20:47:00,resolved,How-to,How-to,medium,phone,3,11.1,True,2025-07-07
E00000059,C000040,2025-03-28 18:12:00,2025-04-03 14:58:23,2025-03-31 18:12:00,resolved,How-to,How-to,low,phone,1,140.8,False,2025-03-28
E00000060,C000040,2025-10-31 12:53:00,2025-11-01 07:54:53,2025-11-01 12:53:00,resolved,How-to,How-to,high,chat,5,19.0,True,2025-10-31
E00000061,C000040,2025-07-16 19:06:00,2025-07-17 00:24:20,2025-07-17 19:06:00,resolved,How-to,How-to,high,email,5,5.3,True,2025-07-16
E00000062,C000041,2023-10-10 07:50:00,2023-10-10 11:43:56,2023-10-12 07:50:00,resolved,How-to,How-to,medium,chat,5,3.9,True,2023-10-10
E00000063,C000042,2025-06-11 01:30:00,2025-06-11 11:22:44,2025-06-13 01:30:00,resolved,How-to,How-to,medium,phone,5,9.9,True,2025-06-11
E00000064,C000042,2025-09-01 00:00:00,2025-09-07 19:58:59,2025-09-04 00:00:00,resolved,How-to,How-to,low,chat,4,164.0,False,2025-09-01
E00000065,C000042,2025-04-03 03:15:00,2025-04-03 04:17:45,2025-04-06 03:15:00,resolved,How-to,How-to,low,email,5,1.0,True,2025-04-03
E00000066,C000044,2025-05-08 05:42:00,2025-05-09 15:27:14,2025-05-10 05:42:00,resolved,Outage,Outage,medium,phone,5,33.8,True,2025-05-08
E00000067,C000045,2025-02-26 21:12:00,2025-02-27 15:42:38,2025-02-28 21:12:00,resolved,Outage,Outage,medium,chat,5,18.5,True,2025-02-26
E00000068,C000046,2025-12-02 17:57:00,2025-12-09 19:45:53,2025-12-05 17:57:00,resolved,How-to,How-to,low,phone,1,169.8,False,2025-12-02
E00000069,C000047,2025-11-28 20:46:00,2025-12-01 15:47:10,2025-12-01 20:46:00,resolved,Billing,Billing,low,email,3,67.0,True,2025-11-28
E00000070,C000048,2025-10-17 14:46:00,2025-10-18 16:47:28,2025-10-19 14:46:00,resolved,Feature Request,Feature Request,medium,email,4,26.0,True,2025-10-17
E00000071,C000048,2025-12-24 17:48:00,2025-12-26 07:38:45,2025-12-25 17:48:00,resolved,Bug,Bug,high,chat,3,37.8,False,2025-12-24
E00000072,C000048,2025-07-13 20:20:00,2025-07-14 01:29:37,2025-07-16 20:20:00,resolved,How-to,How-to,low,portal,4,5.2,True,2025-07-13
E00000073,C000048,2025-09-10 17:58:00,2025-09-12 13:24:50,2025-09-12 17:58:00,resolved,Feature Request,Feature Request,medium,phone,5,43.4,True,2025-09-10
E00000074,C000049,2024-09-10 09:33:00,2024-09-10 15:26:22,2024-09-10 17:33:00,resolved,Billing,Billing,critical,chat,3,5.9,True,2024-09-10
E00000075,C000050,2025-10-28 18:12:00,2025-10-30 02:27:42,2025-10-30 18:12:00,resolved,How-to,How-to,medium,email,4,32.3,True,2025-10-28
E00000076,C000053,2025-07-18 01:30:00,2025-07-19 18:57:55,2025-07-20 01:30:00,resolved,Billing,Billing,medium,email,3,41.5,True,2025-07-18
E00000077,C000053,2025-01-07 07:21:00,2025-01-08 03:31:40,2025-01-10 07:21:00,resolved,Feature Request,Feature Request,low,email,5,20.2,True,2025-01-07
E00000078,C000054,2024-02-02 13:24:00,,2024-02-05 13:24:00,pending,Feature Request,Feature Request,low,chat,,,,2024-02-02
E00000079,C000054,2024-01-05 22:06:00,2024-01-12 05:37:53,2024-01-08 22:06:00,resolved,Bug,Bug,low,portal,2,151.5,False,2024-01-05
E00000080,C000054,2024-05-24 15:15:00,,2024-05-27 15:15:00,pending,Billing,Billing,low,email,,,,2024-05-24
E00000081,C000055,2025-07-08 04:19:00,2025-07-14 15:07:33,2025-07-11 04:19:00,resolved,Billing,Billing,low,phone,1,154.8,False,2025-07-08
E00000082,C000055,2024-02-18 01:05:00,2024-02-19 17:27:39,2024-02-20 01:05:00,resolved,Feature Request,Feature Request,medium,email,5,40.4,True,2024-02-18
E00000083,C000056,2023-02-05 02:23:00,2023-02-05 07:53:20,2023-02-08 02:23:00,resolved,Feature Request,Feature Request,low,email,4,5.5,True,2023-02-05
E00000084,C000056,2022-06-12 21:51:00,,2022-06-14 21:51:00,escalated,How-to,How-to,medium,email,,,,2022-06-12
E00000085,C000056,2023-01-25 14:11:00,2023-01-30 19:24:15,2023-01-28 14:11:00,resolved,Bug,Bug,low,phone,2,125.2,False,2023-01-25
E00000086,C000058,2025-07-16 07:54:00,2025-07-18 00:13:29,2025-07-18 07:54:00,resolved,How-to,How-to,medium,email,4,40.3,True,2025-07-16
E00000087,C000058,2023-01-13 07:59:00,2023-01-14 16:36:08,2023-01-16 07:59:00,resolved,Billing,Billing,low,portal,4,32.6,True,2023-01-13
E00000088,C000059,2024-12-01 01:46:00,2024-12-03 02:53:37,2024-12-04 01:46:00,resolved,Feature Request,Feature Request,low,phone,5,49.1,True,2024-12-01
E00000089,C000060,2024-09-25 21:36:00,2024-09-26 00:37:12,2024-09-26 21:36:00,resolved,How-to,How-to,high,portal,4,3.0,True,2024-09-25
E00000090,C000060,2025-01-18 17:14:00,,2025-01-20 17:14:00,pending,Outage,Outage,medium,chat,,,,2025-01-18
E00000091,C000062,2025-02-03 22:19:00,,2025-02-04 22:19:00,escalated,Feature Request,Feature Request,high,phone,,,,2025-02-03
E00000092,C000062,2025-02-11 22:41:00,2025-02-13 06:25:07,2025-02-13 22:41:00,resolved,Billing,Billing,medium,chat,5,31.7,True,2025-02-11
E00000093,C000062,2025-05-26 15:11:00,,2025-05-29 15:11:00,pending,How-to,How-to,low,email,,,,2025-05-26
E00000094,C000062,2025-02-25 11:14:00,2025-02-25 18:44:54,2025-02-25 19:14:00,resolved,Outage,Outage,critical,chat,3,7.5,True,2025-02-25
E00000095,C000062,2025-08-20 06:44:00,2025-08-20 11:23:50,2025-08-21 06:44:00,resolved,Feature Request,Feature Request,high,email,5,4.7,True,2025-08-20
E00000096,C000062,2025-02-09 17:51:00,2025-02-10 10:00:51,2025-02-11 17:51:00,resolved,Bug,Bug,medium,chat,4,16.2,True,2025-02-09
E00000097,C000063,2024-03-15 18:25:00,2024-03-16 19:26:53,2024-03-17 18:25:00,resolved,Bug,Bug,medium,phone,4,25.0,True,2024-03-15
E00000098,C000064,2025-12-18 05:31:00,2025-12-20 20:11:06,2025-12-19 05:31:00,resolved,How-to,How-to,high,portal,1,62.7,False,2025-12-18
E00000099,C000064,2025-12-04 03:53:00,2025-12-08 05:11:43,2025-12-07 03:53:00,resolved,Feature Request,Feature Request,low,chat,2,97.3,False,2025-12-04
E00000100,C000065,2025-09-22 13:50:00,2025-09-25 12:17:55,2025-09-23 13:50:00,resolved,How-to,How-to,high,chat,3,70.5,False,2025-09-22
E00000101,C000065,2024-09-13 11:39:00,2024-09-13 23:41:21,2024-09-14 11:39:00,resolved,How-to,How-to,high,email,5,12.0,True,2024-09-13
E00000102,C000066,2024-11-09 12:17:00,,2024-11-12 12:17:00,pending,Feature Request,Feature Request,low,chat,,,,2024-11-09
E00000103,C000067,2025-10-01 15:35:00,2025-10-03 15:49:31,2025-10-04 15:35:00,resolved,How-to,How-to,low,phone,5,48.2,True,2025-10-01
E00000104,C000067,2025-09-25 13:34:00,2025-09-30 18:02:17,2025-09-27 13:34:00,resolved,How-to,How-to,medium,chat,2,124.5,False,2025-09-25
E00000105,C000068,2025-02-07 21:55:00,2025-02-08 13:36:00,2025-02-10 21:55:00,resolved,Outage,Outage,low,chat,4,15.7,True,2025-02-07
E00000106,C000068,2024-06-11 05:42:00,2024-06-11 08:17:05,2024-06-14 05:42:00,resolved,Billing,Billing,low,phone,3,2.6,True,2024-06-11
E00000107,C000068,2025-07-13 09:18:00,2025-07-14 13:37:17,2025-07-16 09:18:00,resolved,Bug,Bug,low,phone,5,28.3,True,2025-07-13
E00000108,C000068,2025-08-06 18:07:00,2025-08-06 21:15:45,2025-08-08 18:07:00,resolved,How-to,How-to,medium,phone,4,3.1,True,2025-08-06
E00000109,C000069,2025-08-06 04:49:00,2025-08-07 09:55:39,2025-08-08 04:49:00,resolved,How-to,How-to,medium,portal,5,29.1,True,2025-08-06
E00000110,C000070,2024-11-10 07:58:00,,2024-11-11 07:58:00,pending,How-to,How-to,high,chat,,,,2024-11-10
E00000111,C000070,2025-01-31 16:24:00,,2025-02-03 16:24:00,pending,Bug,Bug,low,chat,,,,2025-01-31
E00000112,C000070,2024-08-01 13:27:00,2024-08-02 14:08:29,2024-08-03 13:27:00,resolved,Billing,Billing,medium,email,3,24.7,True,2024-08-01
E00000113,C000072,2023-10-24 01:21:00,2023-10-25 17:22:01,2023-10-26 01:21:00,resolved,Billing,Billing,medium,portal,5,40.0,True,2023-10-24
E00000114,C000072,2024-03-21 07:20:00,,2024-03-24 07:20:00,pending,Bug,Bug,low,phone,,,,2024-03-21
E00000115,C000072,2024-03-05 22:14:00,2024-03-08 14:21:42,2024-03-06 22:14:00,resolved,Bug,Bug,high,email,3,64.1,False,2024-03-05
E00000116,C000074,2023-04-15 09:47:00,2023-04-16 17:31:54,2023-04-18 09:47:00,resolved,Billing,Billing,low,chat,3,31.7,True,2023-04-15
E00000117,C000074,2023-12-06 17:13:00,2023-12-09 01:03:17,2023-12-09 17:13:00,resolved,Feature Request,Feature Request,low,email,5,55.8,True,2023-12-06
E00000118,C000075,2025-08-08 15:14:00,2025-08-08 19:56:54,2025-08-09 15:14:00,resolved,How-to,How-to,high,email,3,4.7,True,2025-08-08
E00000119,C000076,2024-01-04 17:22:00,2024-01-05 00:09:18,2024-01-07 17:22:00,resolved,Billing,Billing,low,phone,4,6.8,True,2024-01-04
E00000120,C000077,2024-12-08 21:28:00,,2024-12-09 21:28:00,pending,How-to,How-to,high,chat,,,,2024-12-08
E00000121,C000077,2025-10-02 19:38:00,2025-10-04 02:37:50,2025-10-05 19:38:00,resolved,How-to,How-to,low,email,4,31.0,True,2025-10-02
E00000122,C000077,2024-07-05 12:43:00,,2024-07-08 12:43:00,pending,How-to,How-to,low,chat,,,,2024-07-05
E00000123,C000079,2025-06-30 04:42:00,2025-07-01 00:50:30,2025-07-03 04:42:00,resolved,Billing,Billing,low,portal,5,20.1,True,2025-06-30
E00000124,C000079,2024-11-18 11:59:00,2024-11-19 00:14:11,2024-11-19 11:59:00,resolved,How-to,How-to,high,chat,3,12.3,True,2024-11-18
E00000125,C000079,2024-05-04 17:00:00,2024-05-04 21:22:57,2024-05-07 17:00:00,resolved,Bug,Bug,low,email,4,4.4,True,2024-05-04
E00000126,C000080,2025-07-29 18:16:00,2025-07-30 03:57:56,2025-08-01 18:16:00,resolved,Billing,Billing,low,chat,4,9.7,True,2025-07-29
E00000127,C000080,2025-09-29 04:43:00,2025-09-29 18:19:02,2025-09-30 04:43:00,resolved,Feature Request,Feature Request,high,chat,5,13.6,True,2025-09-29
E00000128,C000080,2025-11-02 02:53:00,2025-11-02 22:46:39,2025-11-03 02:53:00,resolved,Billing,Billing,high,email,5,19.9,True,2025-11-02
E00000129,C000080,2025-04-15 04:06:00,2025-04-17 09:00:19,2025-04-18 04:06:00,resolved,Bug,Bug,low,chat,4,52.9,True,2025-04-15
E00000130,C000080,2025-08-21 05:48:00,2025-08-21 15:30:29,2025-08-24 05:48:00,resolved,Bug,Bug,low,chat,4,9.7,True,2025-08-21
E00000131,C000080,2025-11-01 05:39:00,2025-11-07 01:20:28,2025-11-03 05:39:00,resolved,Bug,Bug,medium,portal,3,139.7,False,2025-11-01
E00000132,C000080,2025-07-28 11:31:00,2025-07-28 16:12:37,2025-07-30 11:31:00,resolved,Bug,Bug,medium,portal,4,4.7,True,2025-07-28
E00000133,C000081,2025-11-09 07:26:00,2025-11-09 16:28:20,2025-11-10 07:26:00,resolved,Bug,Bug,high,chat,4,9.0,True,2025-11-09
E00000134,C000081,2025-10-02 06:43:00,2025-10-02 19:31:35,2025-10-05 06:43:00,resolved,Billing,Billing,low,phone,3,12.8,True,2025-10-02
E00000135,C000081,2025-10-30 07:20:00,2025-10-31 01:42:16,2025-11-02 07:20:00,resolved,Bug,Bug,low,chat,4,18.4,True,2025-10-30
E00000136,C000082,2024-01-13 08:45:00,2024-01-13 22:29:11,2024-01-14 08:45:00,resolved,Billing,Billing,high,email,4,13.7,True,2024-01-13
E00000137,C000084,2025-09-04 00:51:00,2025-09-04 17:20:19,2025-09-05 00:51:00,resolved,Outage,Outage,high,chat,4,16.5,True,2025-09-04
E00000138,C000084,2025-09-01 22:35:00,2025-09-02 21:16:33,2025-09-02 06:35:00,resolved,How-to,How-to,critical,portal,1,22.7,False,2025-09-01
E00000139,C000084,2025-10-05 13:15:00,2025-10-07 04:02:20,2025-10-08 13:15:00,resolved,How-to,How-to,low,chat,5,38.8,True,2025-10-05
E00000140,C000085,2025-04-23 07:07:00,2025-04-23 17:14:13,2025-04-25 07:07:00,resolved,Billing,Billing,medium,chat,5,10.1,True,2025-04-23
E00000141,C000086,2025-03-22 02:59:00,2025-03-22 17:21:02,2025-03-24 02:59:00,resolved,How-to,How-to,medium,email,5,14.4,True,2025-03-22
E00000142,C000086,2025-01-02 22:38:00,2025-01-04 14:06:07,2025-01-04 22:38:00,resolved,Billing,Billing,medium,email,5,39.5,True,2025-01-02
E00000143,C000087,2023-12-27 19:01:00,2023-12-29 10:24:17,2023-12-29 19:01:00,resolved,How-to,How-to,medium,email,3,39.4,True,2023-12-27
E00000144,C000088,2024-05-19 15:56:00,2024-05-19 21:17:03,2024-05-19 23:56:00,resolved,How-to,How-to,critical,email,3,5.4,True,2024-05-19
E00000145,C000089,2025-07-24 12:17:00,2025-07-25 16:08:41,2025-07-26 12:17:00,resolved,Bug,Bug,medium,phone,4,27.9,True,2025-07-24
E00000146,C000091,2024-08-12 18:54:00,2024-08-13 08:41:24,2024-08-15 18:54:00,resolved,Bug,Bug,low,portal,4,13.8,True,2024-08-12
E00000147,C000091,2023-09-19 12:35:00,2023-09-19 17:58:30,2023-09-21 12:35:00,resolved,How-to,How-to,medium,email,4,5.4,True,2023-09-19
E00000148,C000092,2025-10-09 01:09:00,2025-10-14 23:54:11,2025-10-12 01:09:00,resolved,Billing,Billing,low,chat,3,142.8,False,2025-10-09
E00000149,C000092,2025-03-18 17:49:00,,2025-03-21 17:49:00,pending,Feature Request,Feature Request,low,phone,,,,2025-03-18
E00000150,C000096,2024-03-14 20:11:00,2024-03-16 22:49:56,2024-03-17 20:11:00,resolved,Billing,Billing,low,chat,4,50.6,True,2024-03-14
E00000151,C000096,2023-04-04 07:15:00,,2023-04-07 07:15:00,pending,Bug,Bug,low,chat,,,,2023-04-04
E00000152,C000096,2024-03-17 08:02:00,2024-03-17 11:37:59,2024-03-20 08:02:00,resolved,How-to,How-to,low,phone,4,3.6,True,2024-03-17
E00000153,C000097,2025-07-22 07:05:00,2025-07-22 09:20:07,2025-07-22 15:05:00,resolved,Billing,Billing,critical,chat,5,2.3,True,2025-07-22
E00000154,C000097,2024-02-26 20:30:00,2024-02-27 00:59:30,2024-02-27 20:30:00,resolved,How-to,How-to,high,phone,3,4.5,True,2024-02-26
E00000155,C000100,2025-05-01 07:39:00,,2025-05-04 07:39:00,pending,Bug,Bug,low,portal,,,,2025-05-01
E00000156,C000100,2025-11-26 22:25:00,2025-11-27 04:16:26,2025-11-29 22:25:00,resolved,Bug,Bug,low,email,3,5.9,True,2025-11-26
E00000157,C000100,2022-12-20 16:11:00,2022-12-21 10:09:22,2022-12-23 16:11:00,resolved,Feature Request,Feature Request,low,email,5,18.0,True,2022-12-20
E00000158,C000101,2025-07-12 16:09:00,2025-07-13 21:05:20,2025-07-15 16:09:00,resolved,How-to,How-to,low,portal,3,28.9,True,2025-07-12
E00000159,C000102,2024-08-07 17:11:00,2024-08-08 02:17:49,2024-08-08 17:11:00,resolved,How-to,How-to,high,chat,3,9.1,True,2024-08-07
E00000160,C000102,2025-07-16 08:31:00,2025-07-16 12:58:28,2025-07-19 08:31:00,resolved,Outage,Outage,low,phone,3,4.5,True,2025-07-16
E00000161,C000103,2025-09-25 09:55:00,2025-09-26 10:46:19,2025-09-27 09:55:00,resolved,Bug,Bug,medium,chat,5,24.9,True,2025-09-25
E00000162,C000104,2023-09-11 10:32:00,2023-09-13 15:01:42,2023-09-12 10:32:00,resolved,Bug,Bug,high,portal,3,52.5,False,2023-09-11
E00000163,C000104,2025-07-02 22:08:00,2025-07-02 22:53:53,2025-07-04 22:08:00,resolved,How-to,How-to,medium,portal,5,0.8,True,2025-07-02
E00000164,C000104,2025-04-10 01:01:00,2025-04-12 19:08:23,2025-04-13 01:01:00,resolved,How-to,How-to,low,chat,5,66.1,True,2025-04-10
E00000165,C000107,2025-08-15 13:00:00,2025-08-17 17:29:44,2025-08-18 13:00:00,resolved,Bug,Bug,low,email,3,52.5,True,2025-08-15
E00000166,C000107,2025-05-16 16:00:00,,2025-05-18 16:00:00,pending,How-to,How-to,medium,email,,,,2025-05-16
E00000167,C000107,2025-09-07 15:37:00,2025-09-09 20:18:16,2025-09-10 15:37:00,resolved,Billing,Billing,low,phone,4,52.7,True,2025-09-07
E00000168,C000109,2025-03-02 19:16:00,,2025-03-03 19:16:00,pending,Billing,Billing,high,chat,,,,2025-03-02
E00000169,C000109,2025-02-14 18:57:00,2025-02-17 09:37:55,2025-02-17 18:57:00,resolved,Bug,Bug,low,phone,5,62.7,True,2025-02-14
E00000170,C000110,2025-08-24 22:15:00,2025-08-27 15:04:53,2025-08-27 22:15:00,resolved,How-to,How-to,low,email,3,64.8,True,2025-08-24
E00000171,C000111,2024-12-05 23:56:00,,2024-12-07 23:56:00,pending,How-to,How-to,medium,email,,,,2024-12-05
E00000172,C000111,2025-02-07 02:52:00,2025-02-07 08:38:05,2025-02-08 02:52:00,resolved,Billing,Billing,high,email,5,5.8,True,2025-02-07
E00000173,C000112,2025-05-15 21:12:00,2025-05-17 19:12:09,2025-05-18 21:12:00,resolved,How-to,How-to,low,email,3,46.0,True,2025-05-15
E00000174,C000112,2025-03-14 07:06:00,2025-03-15 21:07:21,2025-03-15 07:06:00,closed_unresolved,How-to,How-to,high,email,2,38.0,False,2025-03-14
E00000175,C000113,2025-04-13 13:45:00,2025-04-14 08:40:54,2025-04-14 13:45:00,resolved,Bug,Bug,high,portal,3,18.9,True,2025-04-13
E00000176,C000113,2025-09-05 16:16:00,2025-09-07 11:42:25,2025-09-07 16:16:00,resolved,Feature Request,Feature Request,medium,email,4,43.4,True,2025-09-05
E00000177,C000114,2025-07-01 05:44:00,2025-07-02 19:41:01,2025-07-03 05:44:00,resolved,How-to,How-to,medium,phone,5,38.0,True,2025-07-01
E00000178,C000115,2024-02-21 10:44:00,2024-02-23 11:39:55,2024-02-24 10:44:00,resolved,Bug,Bug,low,email,4,48.9,True,2024-02-21
