customer_id,signup_date,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,is_churned,churn_date,as_of_date
C000044,2023-05-22,Mid-Market,LATAM,Pro,Paid Search,19,85.88,954,27.0,1,75.7,0.659,0,0,,2025-12-31
C000045,2022-04-08,SMB,Europe,Starter,Partner,10,30.61,1363,1.0,0,37.3,0.749,0,0,,2025-12-31
C000046,2025-10-20,Mid-Market,North America,Business,Organic,19,223.09,72,18.0,1,31.6,0.31,0,0,,2025-12-31
C000047,2023-09-30,Startup,Europe,Business,Organic,6,223.27,823,16.0,1,68.9,0.289,0,0,,2025-12-31
C000048,2025-07-01,Mid-Market,North America,Starter,Referral,54,32.88,183,4.0,3,68.7,0.658,0,0,,2025-12-31
C000049,2024-08-27,Mid-Market,North America,Free,Paid Search,53,0.0,491,21.0,1,50.4,0.661,1,1,2025-01-30,2025-12-31
C000050,2025-01-18,Mid-Market,North America,Starter,Organic,49,28.81,347,21.0,1,57.1,0.374,1,0,,2025-12-31
C000051,2024-12-22,SMB,APAC,Pro,Paid Search,4,75.39,374,23.0,0,4.0,0.413,0,0,,2025-12-31
C000052,2022-10-06,SMB,Europe,Starter,Organic,21,25.34,1182,16.0,0,28.6,0.6,0,0,,2025-12-31
C000053,2023-06-05,SMB,North America,Pro,Paid Search,13,89.33,940,19.0,1,77.6,0.685,2,0,,2025-12-31
C000054,2023-10-30,Startup,North America,Pro,Paid Search,4,73.92,793,20.0,3,55.1,0.559,0,0,,2025-12-31
C000055,2023-12-13,Mid-Market,APAC,Enterprise,Organic,72,10311.26,749,21.0,1,-1.6,0.197,0,0,,2025-12-31
C000056,2022-03-04,SMB,LATAM,Starter,Organic,20,25.39,1398,16.0,2,21.7,0.7,0,0,,2025-12-31
C000057,2024-02-21,Enterprise,North America,Free,Sales,171,0.0,679,20.0,0,73.5,0.141,0,0,,2025-12-31
C000058,2022-08-09,Mid-Market,North America,Starter,Sales,43,32.08,1240,1.0,1,46.4,0.622,0,0,,2025-12-31
C000059,2024-11-29,SMB,APAC,Pro,Organic,9,89.64,397,17.0,0,39.5,0.336,0,0,,2025-12-31
C000060,2024-09-03,Enterprise,APAC,Starter,Partner,265,26.83,484,5.0,0,40.3,0.199,0,0,,2025-12-31
C000061,2025-08-12,SMB,LATAM,Starter,Organic,9,31.95,141,11.0,0,32.9,0.39,1,1,2025-11-08,2025-12-31
C000062,2024-12-01,SMB,North America,Starter,Referral,7,29.77,395,21.0,4,21.9,0.486,0,1,2025-10-14,2025-12-31
C000063,2023-06-09,SMB,North America,Business,Referral,22,186.43,936,3.0,0,14.2,0.346,0,0,,2025-12-31
C000064,2025-10-15,SMB,Europe,Enterprise,Partner,4,599.68,77,21.0,1,60.3,0.71,0,0,,2025-12-31
C000065,2023-08-11,SMB,North America,Starter,Partner,12,28.12,873,7.0,1,40.9,0.886,0,0,,2025-12-31
C000066,2023-04-11,Mid-Market,APAC,Starter,Paid Search,52,25.89,995,21.0,1,52.7,0.469,2,0,,2025-12-31
C000067,2025-07-18,Enterprise,North America,Starter,Organic,433,30.3,166,21.0,2,48.7,0.229,0,0,,2025-12-31
C000068,2023-06-14,Enterprise,Europe,Starter,Paid Search,214,24.94,931,0.0,4,70.2,0.319,0,0,,2025-12-31
C000069,2022-04-20,SMB,LATAM,Enterprise,Organic,11,1963.72,1351,6.0,1,46.4,0.117,0,0,,2025-12-31
C000070,2023-11-03,Startup,LATAM,Pro,Partner,1,85.1,789,22.0,2,55.6,0.569,1,0,,2025-12-31
C000071,2025-02-11,Enterprise,Europe,Pro,Paid Search,461,75.29,323,9.0,0,39.2,0.151,0,0,,2025-12-31
C000072,2022-09-28,SMB,LATAM,Enterprise,Organic,10,1595.55,1190,12.0,2,11.3,0.116,0,0,,2025-12-31
C000073,2023-10-25,SMB,North America,Pro,Partner,9,76.98,798,0.0,0,29.4,0.307,0,0,,2025-12-31
C000074,2022-07-05,Startup,North America,Starter,Referral,7,32.93,1275,19.0,0,49.7,0.25,0,0,,2025-12-31
C000075,2024-09-08,SMB,North America,Pro,Partner,17,78.78,479,2.0,1,51.9,0.123,0,0,,2025-12-31
C000076,2023-11-12,SMB,LATAM,Starter,Paid Search,22,32.89,780,7.0,1,71.3,0.473,0,0,,2025-12-31
C000077,2023-04-18,SMB,LATAM,Starter,Referral,24,31.44,988,13.0,0,23.5,0.364,0,0,,2025-12-31
C000078,2022-11-21,Startup,North America,Enterprise,Organic,7,1211.18,1136,21.0,0,40.6,0.393,0,0,,2025-12-31
C000079,2024-03-18,Mid-Market,North America,Starter,Partner,39,30.82,653,13.0,0,31.8,0.589,1,0,,2025-12-31
C000080,2024-08-15,Startup,North America,Pro,Paid Search,5,83.18,503,27.0,4,75.6,0.307,0,0,,2025-12-31
C000081,2025-09-06,Enterprise,North America,Starter,Organic,337,28.1,116,14.0,3,44.4,0.401,0,1,2025-12-10,2025-12-31
C000082,2023-09-18,Startup,APAC,Starter,Sales,7,25.54,835,7.0,1,44.9,0.344,1,0,,2025-12-31
C000083,2022-08-18,Enterprise,North America,Pro,Paid Search,143,79.08,1231,5.0,0,34.1,0.2,1,1,2025-02-14,2025-12-31
C000084,2025-04-05,Mid-Market,APAC,Business,Paid Search,32,215.9,270,21.0,1,29.4,0.473,0,0,,2025-12-31
C000085,2024-06-19,Enterprise,Europe,Pro,Organic,144,70.07,560,12.0,1,-1.2,0.664,1,0,,2025-12-31
C000086,2024-09-28,SMB,North America,Starter,Sales,19,28.77,459,16.0,2,3.5,0.487,0,0,,2025-12-31
C000087,2022-05-20,Mid-Market,North America,Free,Referral,46,0.0,1321,10.0,1,39.5,0.649,1,0,,2025-12-31
C000088,2023-03-23,Mid-Market,LATAM,Pro,Organic,38,77.88,1014,7.0,1,36.4,0.2,0,0,,2025-12-31
C000089,2025-01-03,SMB,Europe,Pro,Partner,21,71.97,362,16.0,0,39.6,0.376,0,0,,2025-12-31
C000090,2025-04-05,SMB,Europe,Business,Organic,19,209.59,270,8.0,0,58.5,0.305,0,0,,2025-12-31
C000091,2023-09-15,SMB,North America,Pro,Referral,13,82.45,838,27.0,2,37.3,0.815,0,0,,2025-12-31
C000092,2025-02-24,Startup,LATAM,Business,Paid Search,5,194.79,310,20.0,2,26.3,0.295,1,0,,2025-12-31
C000093,2025-04-18,SMB,APAC,Business,Organic,3,184.17,257,22.0,0,29.8,0.381,0,0,,2025-12-31
C000094,2023-07-09,Mid-Market,APAC,Starter,Partner,57,27.08,906,7.0,0,41.1,0.578,0,0,,2025-12-31
C000095,2025-07-08,Mid-Market,Europe,Pro,Sales,60,71.83,176,0.0,0,25.5,0.435,1,1,2025-10-04,2025-12-31
C000096,2023-02-17,Startup,APAC,Business,Paid Search,7,226.85,1048,1.0,3,61.6,0.292,0,0,,2025-12-31
C000097,2022-12-09,Enterprise,North America,Enterprise,Organic,182,26727.8,1118,24.0,1,34.7,0.354,1,0,,2025-12-31
C000098,2024-09-02,SMB,APAC,Starter,Sales,11,28.35,485,24.0,0,41.3,0.142,0,0,,2025-12-31
C000099,2024-06-29,Startup,Europe,Pro,Organic,2,79.04,550,19.0,0,14.6,0.046,0,0,,2025-12-31
C000100,2022-07-19,Startup,Europe,Starter,Paid Search,6,30.49,1261,16.0,3,61.6,0.297,2,1,2025-12-09,2025-12-31
C000101,2025-04-05,SMB,LATAM,Business,Paid Search,18,214.0,270,5.0,0,71.0,0.363,1,0,,2025-12-31
C000102,2022-10-13,SMB,LATAM,Enterprise,Organic,24,3703.33,1175,21.0,2,0.9,0.217,1,0,,2025-12-31
C000103,2025-02-25,SMB,Europe,Enterprise,Organic,16,2569.98,309,14.0,1,45.0,0.647,2,0,,2025-12-31
C000104,2022-01-11,SMB,Europe,Starter,Organic,8,32.48,1450,16.0,2,32.3,0.374,1,0,,2025-12-31
C000105,2025-02-13,Enterprise,APAC,Starter,Organic,422,25.65,321,0.0,0,42.1,0.097,1,0,,2025-12-31
C000106,2025-01-30,Mid-Market,LATAM,Business,Paid Search,58,195.53,335,14.0,0,46.3,0.296,0,0,,2025-12-31
C000107,2025-01-20,SMB,APAC,Pro,Referral,6,71.64,345,19.0,2,-20.9,0.161,0,0,,2025-12-31
C000108,2024-08-08,Mid-Market,North America,Enterprise,Organic,74,10214.99,510,21.0,0,54.0,0.483,0,0,,2025-12-31
C000109,2023-11-06,SMB,North America,Starter,Referral,19,26.0,786,4.0,1,62.8,0.653,0,0,,2025-12-31
C000110,2024-10-05,Mid-Market,APAC,Business,Paid Search,73,184.02,452,0.0,1,65.6,0.226,0,0,,2025-12-31
C000111,2023-02-01,Startup,APAC,Pro,Organic,5,80.51,1064,23.0,2,11.4,0.336,1,0,,2025-12-31
C000112,2025-01-21,Startup,APAC,Starter,Paid Search,5,31.32,344,8.0,2,34.2,0.376,0,1,2025-09-18,2025-12-31
C000113,2024-03-05,SMB,Europe,Free,Organic,4,0.0,666,13.0,2,21.5,0.572,0,0,,2025-12-31
C000114,2023-10-19,SMB,Europe,Pro,Partner,19,89.86,804,17.0,1,-12.9,0.46,0,0,,2025-12-31
C000115,2023-12-25,Mid-Market,Europe,Starter,Paid Search,32,32.3,737,13.0,2,19.5,0.373,0,0,,2025-12-31
C000116,2024-03-24,SMB,APAC,Business,Partner,3,199.9,647,26.0,3,7.9,0.266,0,0,,2025-12-31
C000117,2022-02-23,Mid-Market,North America,Pro,Sales,57,77.2,1407,23.0,0,43.4,0.29,0,0,,2025-12-31
C000118,2022-07-19,Startup,APAC,Pro,Organic,4,77.82,1261,11.0,1,-5.8,0.21,1,0,,2025-12-31
C000119,2022-12-18,Startup,APAC,Starter,Sales,7,33.05,1109,5.0,3,10.5,0.169,0,0,,2025-12-31
C000120,2022-06-13,Startup,APAC,Enterprise,Organic,4,656.34,1297,27.0,4,22.0,0.355,0,0,,2025-12-31
C000121,2023-09-21,Startup,North America,Pro,Organic,4,84.81,832,19.0,1,54.3,0.828,0,0,,2025-12-31
C000122,2024-08-13,Startup,APAC,Business,Organic,1,173.03,505,21.0,0,100.0,0.851,1,0,,2025-12-31
C000123,2024-07-24,Mid-Market,North America,Business,Referral,56,227.29,525,12.0,0,42.6,0.392,0,0,,2025-12-31
C000124,2023-11-05,Startup,North America,Pro,Partner,1,79.49,787,13.0,1,9.2,0.549,1,0,,2025-12-31
C000125,2025-05-07,SMB,Europe,Enterprise,Sales,7,1153.05,238,5.0,0,18.0,0.429,0,0,,2025-12-31
C000126,2024-03-19,SMB,North America,Pro,Referral,22,86.3,652,12.0,0,51.5,0.687,1,0,,2025-12-31
C000127,2022-04-24,SMB,LATAM,Pro,Paid Search,10,69.15,1347,15.0,2,1.3,0.464,0,0,,2025-12-31
C000128,2024-12-29,Mid-Market,LATAM,Starter,Sales,76,24.76,367,3.0,4,62.4,0.211,0,0,,2025-12-31
C000129,2024-04-01,Mid-Market,North America,Starter,Sales,77,32.96,639,17.0,1,41.8,0.276,0,0,,2025-12-31
C000130,2024-06-26,Mid-Market,APAC,Business,Referral,53,181.89,553,17.0,2,31.9,0.212,0,0,,2025-12-31
C000131,2024-03-19,Enterprise,Europe,Starter,Partner,355,25.57,652,23.0,5,-7.1,0.289,1,1,2025-08-11,2025-12-31
C000132,2024-03-02,SMB,APAC,Pro,Referral,10,89.33,669,1.0,1,58.0,0.652,0,0,,2025-12-31
C000133,2022-05-10,Startup,APAC,Enterprise,Organic,6,922.94,1331,6.0,0,16.0,0.327,0,0,,2025-12-31
C000134,2024-03-10,SMB,Europe,Starter,Sales,9,32.08,661,12.0,1,38.8,0.737,0,0,,2025-12-31
C000135,2025-02-10,SMB,North America,Free,Sales,17,0.0,324,24.0,2,31.1,0.188,0,0,,2025-12-31
C000136,2023-03-11,SMB,North America,Pro,Partner,15,71.81,1026,6.0,3,-4.6,0.279,0,0,,2025-12-31
C000137,2024-05-12,SMB,Europe,Free,Organic,9,0.0,598,27.0,2,29.2,0.389,0,0,,2025-12-31
C000138,2022-02-14,Mid-Market,LATAM,Business,Organic,56,171.49,1416,26.0,0,4.7,0.644,1,0,,2025-12-31
C000139,2023-05-12,Startup,Europe,Pro,Sales,1,73.7,964,2.0,0,18.7,0.211,0,0,,2025-12-31
C000140,2023-09-17,Mid-Market,North America,Pro,Referral,32,71.37,836,10.0,0,45.8,0.219,1,0,,2025-12-31
C000141,2025-11-06,SMB,North America,Pro,Referral,21,88.52,55,7.0,2,52.6,0.594,1,0,,2025-12-31
C000142,2022-11-03,SMB,LATAM,Pro,Sales,20,89.16,1154,13.0,1,34.5,0.345,0,0,,2025-12-31
C000143,2023-01-31,SMB,North America,Starter,Paid Search,24,28.5,1065,25.0,0,12.9,0.413,0,0,,2025-12-31
C000144,2023-08-08,Startup,APAC,Starter,Sales,4,27.72,876,10.0,4,18.8,0.406,0,0,,2025-12-31
C000145,2025-11-20,Mid-Market,APAC,Starter,Organic,55,28.2,41,18.0,2,18.4,0.598,1,0,,2025-12-31
C000146,2025-05-05,Startup,North America,Business,Organic,6,218.92,240,3.0,0,-18.4,0.517,0,1,2025-08-12,2025-12-31
C000147,2022-02-19,SMB,North America,Free,Paid Search,22,0.0,1411,15.0,1,36.8,0.507,0,0,,2025-12-31
C000148,2022-12-01,SMB,North America,Starter,Paid Search,24,25.96,1126,9.0,0,-6.7,0.632,0,0,,2025-12-31
C000149,2025-03-20,SMB,North America,Starter,Paid Search,13,27.09,286,25.0,0,36.9,0.5,0,0,,2025-12-31
C000150,2022-03-25,Startup,APAC,Starter,Referral,1,29.72,1377,21.0,1,-1.5,0.573,0,0,,2025-12-31
C000151,2025-05-08,Startup,APAC,Free,Organic,6,0.0,237,6.0,3,4.8,0.346,1,1,2025-07-31,2025-12-31
C000152,2023-02-07,SMB,North America,Business,Referral,18,228.28,1058,17.0,2,51.7,0.19,0,0,,2025-12-31
C000153,2025-08-05,Startup,Europe,Free,Organic,3,0.0,148,9.0,1,35.6,0.216,0,1,2025-12-25,2025-12-31
C000154,2023-02-24,SMB,North America,Pro,Referral,16,75.61,1041,12.0,4,-12.1,0.284,0,0,,2025-12-31
C000155,2023-09-14,SMB,North America,Starter,Organic,13,27.33,839,12.0,2,21.0,0.481,1,0,,2025-12-31
C000156,2024-08-04,Startup,APAC,Pro,Referral,1,68.15,514,22.0,2,41.5,0.279,0,0,,2025-12-31
C000157,2022-06-30,Mid-Market,APAC,Starter,Partner,48,31.54,1280,8.0,1,19.5,0.284,0,0,,2025-12-31
C000158,2024-03-07,SMB,APAC,Business,Paid Search,20,194.58,664,0.0,0,26.4,0.058,0,0,,2025-12-31
C000159,2023-12-24,Enterprise,North America,Enterprise,Organic,341,56358.01,738,5.0,0,41.1,0.281,0,0,,2025-12-31
C000160,2025-01-25,Mid-Market,Europe,Starter,Organic,75,28.58,340,23.0,1,36.1,0.403,0,0,,2025-12-31
C000161,2025-11-25,Startup,Europe,Enterprise,Paid Search,6,920.29,36,8.0,0,10.2,0.523,0,0,,2025-12-31
C000162,2024-08-07,Mid-Market,LATAM,Starter,Organic,74,25.85,511,1.0,3,35.6,0.426,0,1,2025-11-02,2025-12-31
C000163,2023-08-09,Mid-Market,Europe,Pro,Organic,68,88.27,875,11.0,0,27.8,0.289,0,0,,2025-12-31
C000164,2023-08-05,Mid-Market,LATAM,Pro,Referral,68,69.98,879,24.0,1,78.1,0.638,0,0,,2025-12-31
C000165,2023-08-21,SMB,North America,Starter,Organic,11,29.68,863,24.0,2,32.4,0.891,0,0,,2025-12-31
C000166,2025-03-10,Startup,Europe,Starter,Organic,6,33.14,296,26.0,1,38.4,0.617,0,0,,2025-12-31
C000167,2023-04-05,Startup,APAC,Free,Paid Search,5,0.0,1001,19.0,0,41.5,0.63,0,0,,2025-12-31
C000168,2022-08-27,Enterprise,North America,Pro,Paid Search,480,78.46,1222,22.0,2,26.9,0.097,1,0,,2025-12-31
C000169,2023-04-24,SMB,Europe,Starter,Paid Search,22,31.14,982,21.0,1,17.0,0.607,0,0,,2025-12-31
C000170,2022-02-02,SMB,Europe,Business,Partner,18,184.48,1428,0.0,3,46.5,0.344,0,0,,2025-12-31
C000171,2022-06-01,SMB,LATAM,Starter,Partner,15,26.61,1309,11.0,2,46.7,0.441,0,1,2025-04-24,2025-12-31
C000172,2022-05-09,SMB,North America,Enterprise,Paid Search,8,1129.1,1332,14.0,0,87.1,0.362,1,0,,2025-12-31
C000173,2025-01-08,Mid-Market,LATAM,Free,Paid Search,52,0.0,357,12.0,0,53.6,0.582,0,1,2025-06-02,2025-12-31
C000174,2024-10-29,SMB,Europe,Pro,Organic,9,73.85,428,23.0,0,54.0,0.541,0,0,,2025-12-31
C000175,2024-09-23,SMB,Europe,Starter,Referral,4,30.56,464,27.0,1,52.9,0.608,0,0,,2025-12-31
C000176,2023-10-23,SMB,Europe,Starter,Paid Search,21,25.3,800,15.0,2,17.7,0.093,0,0,,2025-12-31
C000177,2024-10-22,SMB,North America,Free,Referral,23,0.0,435,2.0,2,3.6,0.416,0,1,2025-04-29,2025-12-31
C000178,2022-08-19,Startup,LATAM,Pro,Partner,1,77.28,1230,10.0,0,9.9,0.314,0,0,,2025-12-31
C000179,2025-07-11,SMB,LATAM,Starter,Partner,9,29.47,173,5.0,2,52.2,0.438,0,0,,2025-12-31
C000180,2023-12-18,Mid-Market,LATAM,Pro,Paid Search,70,74.55,744,13.0,4,70.5,0.49,2,0,,2025-12-31
C000181,2025-09-03,Startup,LATAM,Enterprise,Sales,6,1004.61,119,6.0,0,53.4,0.382,0,0,,2025-12-31
C000182,2022-08-06,Startup,Europe,Starter,Paid Search,1,31.23,1243,2.0,1,30.8,0.233,0,0,,2025-12-31
C000183,2023-12-13,Mid-Market,Europe,Free,Paid Search,31,0.0,749,4.0,1,76.9,0.252,1,1,2025-03-17,2025-12-31
C000184,2024-09-22,SMB,APAC,Free,Sales,11,0.0,465,13.0,1,23.9,0.501,0,0,,2025-12-31
C000185,2023-12-10,Mid-Market,North America,Free,Partner,48,0.0,752,3.0,1,6.3,0.719,0,0,,2025-12-31
C000186,2023-10-01,SMB,APAC,Pro,Paid Search,16,82.54,822,0.0,2,41.3,0.62,0,0,,2025-12-31
C000187,2022-08-26,Mid-Market,Europe,Business,Organic,33,200.59,1223,7.0,1,67.3,0.499,0,0,,2025-12-31
C000188,2023-06-29,SMB,Europe,Starter,Organic,15,25.46,916,18.0,4,13.9,0.691,0,0,,2025-12-31
C000189,2022-12-08,Mid-Market,North America,Free,Referral,30,0.0,1119,17.0,5,-7.6,0.209,0,0,,2025-12-31
C000190,2023-03-08,SMB,North America,Pro,Organic,9,71.34,1029,10.0,1,35.9,0.043,0,0,,2025-12-31
C000191,2024-09-04,Startup,North America,Starter,Organic,5,29.09,483,18.0,1,54.3,0.233,1,0,,2025-12-31
C000192,2024-06-20,Mid-Market,Europe,Pro,Organic,26,88.51,559,5.0,2,-39.1,0.181,0,0,,2025-12-31
C000193,2024-05-18,Startup,Europe,Enterprise,Sales,5,792.1,592,20.0,0,59.4,0.655,0,0,,2025-12-31
C000194,2023-06-02,Startup,North America,Starter,Partner,2,26.47,943,0.0,0,0.8,0.635,0,0,,2025-12-31
C000195,2025-10-04,Startup,North America,Pro,Paid Search,1,79.12,88,3.0,1,53.1,0.489,0,0,,2025-12-31
C000196,2022-05-06,Mid-Market,Europe,Business,Sales,25,189.31,1335,25.0,0,-14.9,0.502,0,0,,2025-12-31
C000197,2023-05-05,Startup,North America,Pro,Paid Search,3,89.16,971,13.0,1,-1.9,0.421,0,0,,2025-12-31
C000198,2022-06-18,Enterprise,APAC,Business,Referral,166,194.59,1292,15.0,0,50.5,0.565,1,0,,2025-12-31
C000199,2023-04-30,Mid-Market,North America,Business,Referral,76,216.73,976,11.0,0,65.4,0.654,0,0,,2025-12-31
C000200,2025-10-07,Startup,Europe,Pro,Paid Search,2,78.57,85,18.0,3,34.8,0.47,1,0,,2025-12-31
C000201,2023-06-08,SMB,North America,Pro,Referral,4,72.75,937,20.0,1,94.9,0.339,1,0,,2025-12-31
C000202,2025-07-23,SMB,Europe,Pro,Sales,21,82.87,161,21.0,1,9.4,0.358,0,1,2025-09-12,2025-12-31
C000203,2023-12-09,Mid-Market,Europe,Pro,Organic,33,67.6,753,6.0,0,9.1,0.301,1,0,,2025-12-31
C000204,2024-09-27,Startup,Europe,Pro,Organic,7,86.5,460,17.0,1,27.4,0.337,0,0,,2025-12-31
C000205,2023-10-17,SMB,Europe,Starter,Referral,8,32.41,806,21.0,2,26.3,0.683,2,0,,2025-12-31
C000206,2023-01-16,SMB,Europe,Business,Paid Search,15,201.84,1080,11.0,1,42.1,0.711,1,0,,2025-12-31
C000207,2024-12-28,Startup,North America,Starter,Paid Search,1,26.8,368,10.0,1,16.4,0.75,0,0,,2025-12-31
C000208,2025-10-17,Mid-Market,Europe,Starter,Organic,60,26.17,75,17.0,0,49.2,0.56,0,1,2025-12-01,2025-12-31
C000209,2023-01-12,Mid-Market,North America,Starter,Referral,44,30.93,1084,16.0,1,48.6,0.282,0,0,,2025-12-31
C000210,2025-01-18,SMB,Europe,Starter,Referral,7,26.52,347,7.0,0,75.3,0.229,0,0,,2025-12-31
C000211,2023-01-09,Startup,Europe,Pro,Sales,3,79.26,1087,26.0,2,22.7,0.368,1,0,,2025-12-31
C000212,2024-10-22,Mid-Market,APAC,Starter,Paid Search,75,32.16,435,15.0,2,43.4,0.397,0,0,,2025-12-31
C000213,2025-02-02,Mid-Market,Europe,Pro,Sales,27,85.26,332,15.0,1,50.1,0.69,0,0,,2025-12-31
C000214,2023-10-05,Mid-Market,North America,Pro,Paid Search,61,67.5,818,5.0,1,34.8,0.471,0,0,,2025-12-31
C000215,2024-11-19,Startup,North America,Starter,Partner,4,30.77,407,18.0,0,29.7,0.311,0,0,,2025-12-31
C000216,2023-01-25,Mid-Market,North America,Starter,Partner,55,24.75,1071,25.0,2,-16.6,0.683,0,0,,2025-12-31
C000217,2022-04-24,SMB,Europe,Pro,Paid Search,23,74.83,1347,20.0,3,37.1,0.218,0,0,,2025-12-31
C000218,2022-05-18,Startup,APAC,Business,Partner,2,191.5,1323,14.0,0,49.9,0.699,0,0,,2025-12-31
