cohort_month,months_since_signup,cohort_size,customers_retained,retention_rate
2022-07,9,114,114,1.0
2022-07,10,114,114,1.0
2022-07,11,114,114,1.0
2022-07,12,114,114,1.0
2022-07,13,114,112,0.9825
2022-07,14,114,112,0.9825
2022-07,15,114,112,0.9825
2022-07,16,114,112,0.9825
2022-07,17,114,112,0.9825
2022-07,18,114,112,0.9825
2022-07,19,114,112,0.9825
2022-07,20,114,112,0.9825
2022-07,21,114,111,0.9737
2022-07,22,114,111,0.9737
2022-07,23,114,110,0.9649
2022-07,24,114,110,0.9649
2022-08,0,122,122,1.0
2022-08,1,122,122,1.0
2022-08,2,122,122,1.0
2022-08,3,122,122,1.0
2022-08,4,122,122,1.0
2022-08,5,122,122,1.0
2022-08,6,122,122,1.0
2022-08,7,122,122,1.0
2022-08,8,122,122,1.0
2022-08,9,122,122,1.0
2022-08,10,122,122,1.0
2022-08,11,122,121,0.9918
2022-08,12,122,121,0.9918
2022-08,13,122,119,0.9754
2022-08,14,122,118,0.9672
2022-08,15,122,118,0.9672
2022-08,16,122,118,0.9672
2022-08,17,122,118,0.9672
2022-08,18,122,118,0.9672
2022-08,19,122,118,0.9672
2022-08,20,122,118,0.9672
2022-08,21,122,116,0.9508
2022-08,22,122,116,0.9508
2022-08,23,122,116,0.9508
2022-08,24,122,116,0.9508
2022-09,0,112,112,1.0
2022-09,1,112,112,1.0
2022-09,2,112,112,1.0
2022-09,3,112,112,1.0
2022-09,4,112,112,1.0
2022-09,5,112,112,1.0
2022-09,6,112,112,1.0
2022-09,7,112,112,1.0
2022-09,8,112,112,1.0
2022-09,9,112,112,1.0
2022-09,10,112,112,1.0
2022-09,11,112,111,0.9911
2022-09,12,112,110,0.9821
2022-09,13,112,110,0.9821
2022-09,14,112,110,0.9821
2022-09,15,112,110,0.9821
2022-09,16,112,110,0.9821
2022-09,17,112,110,0.9821
2022-09,18,112,109,0.9732
2022-09,19,112,109,0.9732
2022-09,20,112,109,0.9732
2022-09,21,112,109,0.9732
2022-09,22,112,108,0.9643
2022-09,23,112,107,0.9554
2022-09,24,112,107,0.9554
2022-10,0,110,110,1.0
2022-10,1,110,110,1.0
2022-10,2,110,110,1.0
2022-10,3,110,110,1.0
2022-10,4,110,110,1.0
2022-10,5,110,110,1.0
2022-10,6,110,110,1.0
2022-10,7,110,110,1.0
2022-10,8,110,110,1.0
2022-10,9,110,110,1.0
2022-10,10,110,110,1.0
2022-10,11,110,110,1.0
2022-10,12,110,110,1.0
2022-10,13,110,110,1.0
2022-10,14,110,110,1.0
2022-10,15,110,110,1.0
2022-10,16,110,110,1.0
2022-10,17,110,110,1.0
2022-10,18,110,110,1.0
2022-10,19,110,110,1.0
2022-10,20,110,110,1.0
2022-10,21,110,110,1.0
2022-10,22,110,110,1.0
2022-10,23,110,110,1.0
2022-10,24,110,110,1.0
2022-11,0,84,84,1.0
2022-11,1,84,84,1.0
2022-11,2,84,84,1.0
2022-11,3,84,84,1.0
2022-11,4,84,84,1.0
2022-11,5,84,84,1.0
2022-11,6,84,84,1.0
2022-11,7,84,84,1.0
2022-11,8,84,84,1.0
2022-11,9,84,84,1.0
2022-11,10,84,84,1.0
2022-11,11,84,84,1.0
2022-11,12,84,83,0.9881
2022-11,13,84,83,0.9881
2022-11,14,84,82,0.9762
2022-11,15,84,82,0.9762
2022-11,16,84,82,0.9762
2022-11,17,84,82,0.9762
2022-11,18,84,82,0.9762
2022-11,19,84,82,0.9762
2022-11,20,84,82,0.9762
2022-11,21,84,82,0.9762
2022-11,22,84,82,0.9762
2022-11,23,84,82,0.9762
2022-11,24,84,82,0.9762
2022-12,0,114,114,1.0
2022-12,1,114,114,1.0
2022-12,2,114,114,1.0
2022-12,3,114,114,1.0
2022-12,4,114,114,1.0
2022-12,5,114,114,1.0
2022-12,6,114,114,1.0
2022-12,7,114,114,1.0
2022-12,8,114,114,1.0
2022-12,9,114,114,1.0
2022-12,10,114,113,0.9912
2022-12,11,114,112,0.9825
2022-12,12,114,112,0.9825
2022-12,13,114,112,0.9825
2022-12,14,114,112,0.9825
2022-12,15,114,112,0.9825
2022-12,16,114,111,0.9737
2022-12,17,114,111,0.9737
2022-12,18,114,111,0.9737
2022-12,19,114,110,0.9649
2022-12,20,114,109,0.9561
2022-12,21,114,109,0.9561
2022-12,22,114,109,0.9561
2022-12,23,114,108,0.9474
2022-12,24,114,108,0.9474
2023-01,0,106,106,1.0
2023-01,1,106,106,1.0
2023-01,2,106,106,1.0
2023-01,3,106,106,1.0
2023-01,4,106,106,1.0
2023-01,5,106,106,1.0
2023-01,6,106,106,1.0
2023-01,7,106,106,1.0
2023-01,8,106,106,1.0
2023-01,9,106,106,1.0
2023-01,10,106,106,1.0
2023-01,11,106,106,1.0
2023-01,12,106,106,1.0
2023-01,13,106,105,0.9906
2023-01,14,106,105,0.9906
2023-01,15,106,105,0.9906
2023-01,16,106,103,0.9717
2023-01,17,106,102,0.9623
2023-01,18,106,102,0.9623
2023-01,19,106,102,0.9623
2023-01,20,106,102,0.9623
2023-01,21,106,100,0.9434
2023-01,22,106,99,0.934
2023-01,23,106,98,0.9245
2023-01,24,106,98,0.9245
2023-02,0,101,101,1.0
2023-02,1,101,101,1.0
2023-02,2,101,101,1.0
2023-02,3,101,101,1.0
2023-02,4,101,101,1.0
2023-02,5,101,101,1.0
2023-02,6,101,101,1.0
2023-02,7,101,101,1.0
2023-02,8,101,101,1.0
2023-02,9,101,101,1.0
2023-02,10,101,100,0.9901
2023-02,11,101,100,0.9901
2023-02,12,101,100,0.9901
2023-02,13,101,99,0.9802
2023-02,14,101,99,0.9802
2023-02,15,101,99,0.9802
2023-02,16,101,98,0.9703
2023-02,17,101,98,0.9703
2023-02,18,101,98,0.9703
2023-02,19,101,98,0.9703
2023-02,20,101,98,0.9703
2023-02,21,101,97,0.9604
2023-02,22,101,97,0.9604
2023-02,23,101,97,0.9604
2023-02,24,101,97,0.9604
2023-03,0,113,113,1.0
2023-03,1,113,113,1.0
2023-03,2,113,113,1.0
2023-03,3,113,113,1.0
2023-03,4,113,113,1.0
2023-03,5,113,113,1.0
2023-03,6,113,113,1.0
2023-03,7,113,113,1.0
2023-03,8,113,113,1.0
2023-03,9,113,113,1.0
2023-03,10,113,112,0.9912
2023-03,11,113,112,0.9912
2023-03,12,113,111,0.9823
2023-03,13,113,111,0.9823
2023-03,14,113,111,0.9823
2023-03,15,113,110,0.9735
2023-03,16,113,110,0.9735
2023-03,17,113,110,0.9735
2023-03,18,113,109,0.9646
2023-03,19,113,108,0.9558
2023-03,20,113,108,0.9558
2023-03,21,113,108,0.9558
2023-03,22,113,108,0.9558
2023-03,23,113,108,0.9558
2023-03,24,113,108,0.9558
2023-04,0,118,118,1.0
2023-04,1,118,118,1.0
2023-04,2,118,118,1.0
2023-04,3,118,118,1.0
2023-04,4,118,118,1.0
2023-04,5,118,118,1.0
2023-04,6,118,118,1.0
2023-04,7,118,118,1.0
2023-04,8,118,118,1.0
2023-04,9,118,118,1.0
2023-04,10,118,118,1.0
2023-04,11,118,116,0.9831
2023-04,12,118,116,0.9831
2023-04,13,118,115,0.9746
2023-04,14,118,115,0.9746
2023-04,15,118,115,0.9746
2023-04,16,118,115,0.9746
2023-04,17,118,115,0.9746
2023-04,18,118,115,0.9746
2023-04,19,118,115,0.9746
2023-04,20,118,114,0.9661
2023-04,21,118,113,0.9576
2023-04,22,118,113,0.9576
2023-04,23,118,113,0.9576
2023-04,24,118,113,0.9576
2023-05,0,96,96,1.0
2023-05,1,96,96,1.0
2023-05,2,96,96,1.0
2023-05,3,96,96,1.0
2023-05,4,96,96,1.0
2023-05,5,96,96,1.0
2023-05,6,96,96,1.0
2023-05,7,96,96,1.0
2023-05,8,96,95,0.9896
2023-05,9,96,95,0.9896
2023-05,10,96,94,0.9792
2023-05,11,96,94,0.9792
2023-05,12,96,94,0.9792
2023-05,13,96,93,0.9688
2023-05,14,96,93,0.9688
2023-05,15,96,93,0.9688
2023-05,16,96,92,0.9583
2023-05,17,96,92,0.9583
2023-05,18,96,92,0.9583
2023-05,19,96,92,0.9583
2023-05,20,96,92,0.9583
2023-05,21,96,92,0.9583
2023-05,22,96,92,0.9583
2023-05,23,96,91,0.9479
2023-05,24,96,91,0.9479
2023-06,0,101,101,1.0
2023-06,1,101,101,1.0
2023-06,2,101,101,1.0
2023-06,3,101,101,1.0
2023-06,4,101,101,1.0
2023-06,5,101,101,1.0
2023-06,6,101,101,1.0
2023-06,7,101,101,1.0
2023-06,8,101,101,1.0
2023-06,9,101,101,1.0
2023-06,10,101,101,1.0
2023-06,11,101,100,0.9901
2023-06,12,101,100,0.9901
2023-06,13,101,99,0.9802
2023-06,14,101,99,0.9802
2023-06,15,101,99,0.9802
2023-06,16,101,98,0.9703
2023-06,17,101,98,0.9703
2023-06,18,101,96,0.9505
2023-06,19,101,96,0.9505
2023-06,20,101,96,0.9505
2023-06,21,101,96,0.9505
2023-06,22,101,96,0.9505
2023-06,23,101,94,0.9307
2023-06,24,101,94,0.9307
2023-07,0,107,107,1.0
2023-07,1,107,107,1.0
2023-07,2,107,107,1.0
2023-07,3,107,107,1.0
2023-07,4,107,107,1.0
2023-07,5,107,107,1.0
2023-07,6,107,107,1.0
2023-07,7,107,107,1.0
2023-07,8,107,106,0.9907
2023-07,9,107,106,0.9907
2023-07,10,107,106,0.9907
2023-07,11,107,105,0.9813
2023-07,12,107,104,0.972
2023-07,13,107,101,0.9439
2023-07,14,107,100,0.9346
2023-07,15,107,99,0.9252
2023-07,16,107,97,0.9065
2023-07,17,107,97,0.9065
2023-07,18,107,97,0.9065
2023-07,19,107,95,0.8879
2023-07,20,107,94,0.8785
2023-07,21,107,92,0.8598
2023-07,22,107,91,0.8505
2023-07,23,107,90,0.8411
2023-07,24,107,90,0.8411
2023-08,0,116,116,1.0
2023-08,1,116,116,1.0
2023-08,2,116,116,1.0
2023-08,3,116,116,1.0
2023-08,4,116,116,1.0
2023-08,5,116,116,1.0
2023-08,6,116,116,1.0
2023-08,7,116,116,1.0
2023-08,8,116,116,1.0
2023-08,9,116,115,0.9914
2023-08,10,116,115,0.9914
2023-08,11,116,113,0.9741
2023-08,12,116,113,0.9741
2023-08,13,116,113,0.9741
2023-08,14,116,110,0.9483
2023-08,15,116,110,0.9483
2023-08,16,116,109,0.9397
2023-08,17,116,109,0.9397
2023-08,18,116,109,0.9397
2023-08,19,116,108,0.931
2023-08,20,116,106,0.9138
2023-08,21,116,106,0.9138
2023-08,22,116,106,0.9138
2023-08,23,116,106,0.9138
2023-08,24,116,104,0.8966
2023-09,0,103,103,1.0
2023-09,1,103,103,1.0
2023-09,2,103,103,1.0
2023-09,3,103,103,1.0
2023-09,4,103,103,1.0
2023-09,5,103,103,1.0
2023-09,6,103,103,1.0
2023-09,7,103,103,1.0
2023-09,8,103,101,0.9806
2023-09,9,103,100,0.9709
2023-09,10,103,99,0.9612
2023-09,11,103,98,0.9515
2023-09,12,103,98,0.9515
2023-09,13,103,98,0.9515
2023-09,14,103,98,0.9515
2023-09,15,103,96,0.932
2023-09,16,103,96,0.932
2023-09,17,103,95,0.9223
2023-09,18,103,95,0.9223
2023-09,19,103,94,0.9126
2023-09,20,103,94,0.9126
2023-09,21,103,93,0.9029
2023-09,22,103,92,0.8932
2023-09,23,103,92,0.8932
2023-09,24,103,91,0.8835
2023-10,0,128,128,1.0
2023-10,1,128,128,1.0
2023-10,2,128,128,1.0
2023-10,3,128,128,1.0
2023-10,4,128,128,1.0
2023-10,5,128,128,1.0
2023-10,6,128,128,1.0
2023-10,7,128,128,1.0
2023-10,8,128,128,1.0
2023-10,9,128,128,1.0
2023-10,10,128,126,0.9844
2023-10,11,128,126,0.9844
2023-10,12,128,126,0.9844
2023-10,13,128,126,0.9844
2023-10,14,128,125,0.9766
2023-10,15,128,125,0.9766
2023-10,16,128,125,0.9766
2023-10,17,128,123,0.9609
2023-10,18,128,121,0.9453
2023-10,19,128,120,0.9375
2023-10,20,128,119,0.9297
2023-10,21,128,119,0.9297
2023-10,22,128,118,0.9219
2023-10,23,128,116,0.9062
2023-10,24,128,114,0.8906
2023-11,0,98,98,1.0
2023-11,1,98,98,1.0
2023-11,2,98,98,1.0
2023-11,3,98,98,1.0
2023-11,4,98,98,1.0
2023-11,5,98,98,1.0
2023-11,6,98,98,1.0
2023-11,7,98,96,0.9796
2023-11,8,98,96,0.9796
2023-11,9,98,95,0.9694
2023-11,10,98,95,0.9694
2023-11,11,98,95,0.9694
2023-11,12,98,95,0.9694
2023-11,13,98,94,0.9592
2023-11,14,98,94,0.9592
2023-11,15,98,94,0.9592
2023-11,16,98,94,0.9592
2023-11,17,98,94,0.9592
2023-11,18,98,94,0.9592
2023-11,19,98,94,0.9592
2023-11,20,98,92,0.9388
2023-11,21,98,92,0.9388
2023-11,22,98,92,0.9388
2023-11,23,98,92,0.9388
2023-11,24,98,92,0.9388
2023-12,0,116,116,1.0
2023-12,1,116,116,1.0
2023-12,2,116,116,1.0
2023-12,3,116,116,1.0
2023-12,4,116,116,1.0
2023-12,5,116,116,1.0
2023-12,6,116,115,0.9914
2023-12,7,116,115,0.9914
2023-12,8,116,114,0.9828
2023-12,9,116,113,0.9741
2023-12,10,116,112,0.9655
2023-12,11,116,111,0.9569
2023-12,12,116,110,0.9483
2023-12,13,116,110,0.9483
2023-12,14,116,110,0.9483
2023-12,15,116,108,0.931
2023-12,16,116,106,0.9138
2023-12,17,116,105,0.9052
2023-12,18,116,103,0.8879
2023-12,19,116,103,0.8879
2023-12,20,116,103,0.8879
2023-12,21,116,103,0.8879
2023-12,22,116,103,0.8879
2023-12,23,116,103,0.8879
2023-12,24,116,102,0.8793
2024-01,0,118,118,1.0
2024-01,1,118,118,1.0
2024-01,2,118,118,1.0
2024-01,3,118,118,1.0
2024-01,4,118,118,1.0
2024-01,5,118,118,1.0
2024-01,6,118,117,0.9915
2024-01,7,118,117,0.9915
2024-01,8,118,117,0.9915
2024-01,9,118,115,0.9746
2024-01,10,118,114,0.9661
2024-01,11,118,114,0.9661
2024-01,12,118,111,0.9407
2024-01,13,118,111,0.9407
2024-01,14,118,111,0.9407
2024-01,15,118,108,0.9153
2024-01,16,118,108,0.9153
2024-01,17,118,108,0.9153
2024-01,18,118,108,0.9153
2024-01,19,118,108,0.9153
2024-01,20,118,106,0.8983
2024-01,21,118,104,0.8814
2024-01,22,118,103,0.8729
2024-01,23,118,100,0.8475
2024-02,0,100,100,1.0
2024-02,1,100,100,1.0
2024-02,2,100,100,1.0
2024-02,3,100,100,1.0
2024-02,4,100,100,1.0
2024-02,5,100,100,1.0
2024-02,6,100,99,0.99
2024-02,7,100,99,0.99
2024-02,8,100,99,0.99
2024-02,9,100,99,0.99
2024-02,10,100,99,0.99
2024-02,11,100,98,0.98
2024-02,12,100,97,0.97
2024-02,13,100,96,0.96
2024-02,14,100,95,0.95
2024-02,15,100,93,0.93
2024-02,16,100,92,0.92
2024-02,17,100,91,0.91
2024-02,18,100,90,0.9
2024-02,19,100,88,0.88
2024-02,20,100,87,0.87
2024-02,21,100,86,0.86
2024-02,22,100,86,0.86
2024-03,0,105,105,1.0
2024-03,1,105,105,1.0
2024-03,2,105,105,1.0
2024-03,3,105,105,1.0
2024-03,4,105,105,1.0
2024-03,5,105,104,0.9905
2024-03,6,105,102,0.9714
2024-03,7,105,102,0.9714
2024-03,8,105,101,0.9619
2024-03,9,105,101,0.9619
2024-03,10,105,101,0.9619
2024-03,11,105,100,0.9524
2024-03,12,105,99,0.9429
2024-03,13,105,98,0.9333
2024-03,14,105,98,0.9333
2024-03,15,105,97,0.9238
2024-03,16,105,96,0.9143
2024-03,17,105,95,0.9048
2024-03,18,105,95,0.9048
2024-03,19,105,95,0.9048
2024-03,20,105,94,0.8952
2024-03,21,105,92,0.8762
2024-04,0,96,96,1.0
2024-04,1,96,96,1.0
2024-04,2,96,96,1.0
2024-04,3,96,96,1.0
2024-04,4,96,96,1.0
2024-04,5,96,96,1.0
2024-04,6,96,96,1.0
2024-04,7,96,95,0.9896
2024-04,8,96,93,0.9688
2024-04,9,96,92,0.9583
2024-04,10,96,91,0.9479
2024-04,11,96,87,0.9062
2024-04,12,96,87,0.9062
2024-04,13,96,86,0.8958
2024-04,14,96,86,0.8958
2024-04,15,96,86,0.8958
2024-04,16,96,85,0.8854
2024-04,17,96,83,0.8646
2024-04,18,96,83,0.8646
2024-04,19,96,83,0.8646
2024-04,20,96,83,0.8646
2024-05,0,107,107,1.0
2024-05,1,107,107,1.0
2024-05,2,107,107,1.0
2024-05,3,107,107,1.0
2024-05,4,107,107,1.0
2024-05,5,107,106,0.9907
2024-05,6,107,105,0.9813
2024-05,7,107,103,0.9626
2024-05,8,107,101,0.9439
2024-05,9,107,100,0.9346
2024-05,10,107,100,0.9346
2024-05,11,107,100,0.9346
2024-05,12,107,98,0.9159
2024-05,13,107,98,0.9159
2024-05,14,107,98,0.9159
2024-05,15,107,97,0.9065
2024-05,16,107,95,0.8879
2024-05,17,107,95,0.8879
2024-05,18,107,95,0.8879
2024-05,19,107,95,0.8879
2024-06,0,100,100,1.0
2024-06,1,100,100,1.0
2024-06,2,100,100,1.0
2024-06,3,100,100,1.0
2024-06,4,100,100,1.0
2024-06,5,100,100,1.0
2024-06,6,100,98,0.98
2024-06,7,100,97,0.97
2024-06,8,100,95,0.95
2024-06,9,100,93,0.93
2024-06,10,100,92,0.92
2024-06,11,100,91,0.91
2024-06,12,100,90,0.9
2024-06,13,100,90,0.9
2024-06,14,100,90,0.9
2024-06,15,100,88,0.88
2024-06,16,100,87,0.87
2024-06,17,100,87,0.87
2024-06,18,100,86,0.86
2024-07,0,96,96,1.0
2024-07,1,96,96,1.0
2024-07,2,96,96,1.0
2024-07,3,96,96,1.0
2024-07,4,96,96,1.0
2024-07,5,96,96,1.0
2024-07,6,96,95,0.9896
2024-07,7,96,92,0.9583
2024-07,8,96,91,0.9479
2024-07,9,96,90,0.9375
2024-07,10,96,90,0.9375
2024-07,11,96,86,0.8958
2024-07,12,96,86,0.8958
2024-07,13,96,86,0.8958
2024-07,14,96,84,0.875
2024-07,15,96,82,0.8542
2024-07,16,96,82,0.8542
2024-07,17,96,81,0.8438
2024-08,0,90,90,1.0
2024-08,1,90,90,1.0
2024-08,2,90,90,1.0
2024-08,3,90,90,1.0
2024-08,4,90,89,0.9889
2024-08,5,90,88,0.9778
2024-08,6,90,87,0.9667
2024-08,7,90,85,0.9444
2024-08,8,90,84,0.9333
2024-08,9,90,83,0.9222
2024-08,10,90,83,0.9222
2024-08,11,90,81,0.9
2024-08,12,90,81,0.9
2024-08,13,90,80,0.8889
2024-08,14,90,80,0.8889
2024-08,15,90,79,0.8778
2024-08,16,90,76,0.8444
2024-09,0,84,84,1.0
2024-09,1,84,84,1.0
2024-09,2,84,84,1.0
2024-09,3,84,84,1.0
2024-09,4,84,82,0.9762
2024-09,5,84,82,0.9762
2024-09,6,84,80,0.9524
2024-09,7,84,80,0.9524
2024-09,8,84,78,0.9286
2024-09,9,84,78,0.9286
2024-09,10,84,78,0.9286
2024-09,11,84,78,0.9286
2024-09,12,84,77,0.9167
2024-09,13,84,76,0.9048
2024-09,14,84,76,0.9048
2024-09,15,84,76,0.9048
2024-10,0,105,105,1.0
2024-10,1,105,105,1.0
2024-10,2,105,105,1.0
2024-10,3,105,105,1.0
2024-10,4,105,104,0.9905
2024-10,5,105,103,0.981
2024-10,6,105,102,0.9714
2024-10,7,105,102,0.9714
2024-10,8,105,101,0.9619
2024-10,9,105,97,0.9238
2024-10,10,105,95,0.9048
2024-10,11,105,93,0.8857
2024-10,12,105,92,0.8762
2024-10,13,105,92,0.8762
2024-10,14,105,91,0.8667
2024-11,0,111,111,1.0
2024-11,1,111,111,1.0
2024-11,2,111,111,1.0
2024-11,3,111,111,1.0
2024-11,4,111,111,1.0
2024-11,5,111,110,0.991
2024-11,6,111,110,0.991
2024-11,7,111,109,0.982
2024-11,8,111,107,0.964
2024-11,9,111,106,0.955
2024-11,10,111,102,0.9189
2024-11,11,111,101,0.9099
2024-11,12,111,99,0.8919
2024-11,13,111,98,0.8829
2024-12,0,134,134,1.0
2024-12,1,134,134,1.0
2024-12,2,134,134,1.0
2024-12,3,134,133,0.9925
2024-12,4,134,131,0.9776
2024-12,5,134,130,0.9701
2024-12,6,134,125,0.9328
2024-12,7,134,125,0.9328
2024-12,8,134,123,0.9179
2024-12,9,134,121,0.903
2024-12,10,134,120,0.8955
2024-12,11,134,117,0.8731
2024-12,12,134,115,0.8582
2025-01,0,114,114,1.0
2025-01,1,114,114,1.0
2025-01,2,114,114,1.0
2025-01,3,114,112,0.9825
2025-01,4,114,111,0.9737
2025-01,5,114,107,0.9386
2025-01,6,114,105,0.9211
2025-01,7,114,104,0.9123
2025-01,8,114,102,0.8947
2025-01,9,114,99,0.8684
2025-01,10,114,98,0.8596
2025-01,11,114,97,0.8509
2025-02,0,100,100,1.0
2025-02,1,100,100,1.0
2025-02,2,100,100,1.0
2025-02,3,100,97,0.97
2025-02,4,100,93,0.93
2025-02,5,100,91,0.91
2025-02,6,100,87,0.87
2025-02,7,100,86,0.86
2025-02,8,100,84,0.84
2025-02,9,100,79,0.79
2025-02,10,100,77,0.77
2025-03,0,87,87,1.0
2025-03,1,87,87,1.0
2025-03,2,87,87,1.0
2025-03,3,87,86,0.9885
2025-03,4,87,84,0.9655
2025-03,5,87,82,0.9425
2025-03,6,87,82,0.9425
2025-03,7,87,82,0.9425
2025-03,8,87,79,0.908
2025-03,9,87,78,0.8966
2025-04,0,115,115,1.0
2025-04,1,115,115,1.0
2025-04,2,115,115,1.0
2025-04,3,115,112,0.9739
2025-04,4,115,110,0.9565
2025-04,5,115,107,0.9304
2025-04,6,115,102,0.887
2025-04,7,115,98,0.8522
2025-04,8,115,95,0.8261
2025-05,0,110,110,1.0
2025-05,1,110,110,1.0
2025-05,2,110,106,0.9636
2025-05,3,110,101,0.9182
2025-05,4,110,100,0.9091
2025-05,5,110,93,0.8455
2025-05,6,110,87,0.7909
2025-05,7,110,80,0.7273
2025-06,0,88,88,1.0
2025-06,1,88,88,1.0
2025-06,2,88,87,0.9886
2025-06,3,88,83,0.9432
2025-06,4,88,80,0.9091
2025-06,5,88,75,0.8523
2025-06,6,88,70,0.7955
2025-07,0,88,88,1.0
2025-07,1,88,88,1.0
2025-07,2,88,81,0.9205
2025-07,3,88,72,0.8182
2025-07,4,88,69,0.7841
2025-07,5,88,68,0.7727
2025-08,0,134,134,1.0
2025-08,1,134,132,0.9851
2025-08,2,134,127,0.9478
2025-08,3,134,118,0.8806
2025-08,4,134,110,0.8209
2025-09,0,94,94,1.0
2025-09,1,94,86,0.9149
2025-09,2,94,82,0.8723
2025-09,3,94,76,0.8085
2025-10,0,120,120,1.0
2025-10,1,120,115,0.9583
2025-10,2,120,100,0.8333
2025-11,0,115,108,0.9391
2025-11,1,115,91,0.7913
