event_id,customer_id,opened_at,resolved_at,sla_due_at,opened_date,status,priority,reason,category,channel,csat,resolved_hours,age_hours,is_open,sla_breach,sla_status,segment,region,plan
E00000038,C000022,2024-09-29 11:14:00,2024-09-30 04:15:47,2024-09-30 11:14:00,2024-09-29,resolved,high,Billing,Billing,email,5.0,17.0,17.03,0,False,within_sla,SMB,North America,Pro
E00000039,C000023,2025-11-01 12:12:00,,2025-11-01 20:12:00,2025-11-01,pending,critical,How-to,How-to,email,,,1451.8,1,True,pending_beyond_sla,Mid-Market,Europe,Enterprise
E00000040,C000023,2023-12-19 15:12:00,2023-12-20 06:27:50,2023-12-20 15:12:00,2023-12-19,resolved,high,How-to,How-to,phone,5.0,15.3,15.26,0,False,within_sla,Mid-Market,Europe,Enterprise
E00000041,C000024,2025-12-03 05:39:00,2025-12-03 18:14:18,2025-12-06 05:39:00,2025-12-03,resolved,low,Bug,Bug,phone,4.0,12.6,12.59,0,False,within_sla,SMB,North America,Starter
E00000042,C000024,2025-08-19 02:02:00,2025-08-25 21:54:20,2025-08-22 02:02:00,2025-08-19,resolved,low,Bug,Bug,email,3.0,163.9,163.87,0,True,beyond_sla,SMB,North America,Starter
E00000043,C000026,2025-01-14 15:28:00,2025-01-14 23:24:04,2025-01-15 15:28:00,2025-01-14,resolved,high,Bug,Bug,phone,3.0,7.9,7.93,0,False,within_sla,Mid-Market,North America,Starter
E00000044,C000026,2024-10-14 18:16:00,2024-10-15 01:01:14,2024-10-15 18:16:00,2024-10-14,resolved,high,Bug,Bug,chat,5.0,6.8,6.75,0,False,within_sla,Mid-Market,North America,Starter
E00000045,C000026,2025-01-10 23:00:00,2025-01-11 19:03:09,2025-01-11 23:00:00,2025-01-10,resolved,high,Billing,Billing,chat,5.0,20.1,20.05,0,False,within_sla,Mid-Market,North America,Starter
E00000046,C000027,2023-08-03 04:15:00,2023-08-04 19:39:38,2023-08-05 04:15:00,2023-08-03,resolved,medium,Bug,Bug,chat,4.0,39.4,39.41,0,False,within_sla,Startup,APAC,Pro
E00000047,C000027,2023-11-22 17:34:00,,2023-11-25 17:34:00,2023-11-22,pending,low,Outage,Outage,email,,,18486.43,1,True,pending_beyond_sla,Startup,APAC,Pro
E00000048,C000028,2025-08-02 08:54:00,2025-08-03 00:29:00,2025-08-03 08:54:00,2025-08-02,resolved,high,Bug,Bug,phone,3.0,15.6,15.58,0,False,within_sla,Startup,APAC,Free
E00000049,C000030,2024-08-12 14:07:00,,2024-08-15 14:07:00,2024-08-12,pending,low,Billing,Billing,email,,,12153.88,1,True,pending_beyond_sla,SMB,North America,Starter
E00000050,C000030,2025-10-20 09:00:00,,2025-10-22 09:00:00,2025-10-20,pending,medium,Bug,Bug,chat,,,1743.0,1,True,pending_beyond_sla,SMB,North America,Starter
E00000051,C000032,2024-04-07 02:15:00,2024-04-07 10:19:46,2024-04-10 02:15:00,2024-04-07,resolved,low,Bug,Bug,chat,3.0,8.1,8.08,0,False,within_sla,SMB,North America,Pro
E00000052,C000032,2023-07-08 02:33:00,2023-07-09 20:09:51,2023-07-11 02:33:00,2023-07-08,resolved,low,Outage,Outage,chat,5.0,41.6,41.61,0,False,within_sla,SMB,North America,Pro
E00000053,C000033,2023-07-25 04:26:00,2023-07-26 20:24:30,2023-07-27 04:26:00,2023-07-25,resolved,medium,Bug,Bug,email,4.0,40.0,39.98,0,False,within_sla,SMB,North America,Starter
E00000054,C000034,2024-04-13 01:35:00,2024-04-15 06:57:24,2024-04-16 01:35:00,2024-04-13,resolved,low,Billing,Billing,portal,4.0,53.4,53.37,0,False,within_sla,Enterprise,North America,Pro
E00000055,C000035,2025-08-12 02:57:00,2025-08-13 10:40:13,2025-08-14 02:57:00,2025-08-12,resolved,medium,Outage,Outage,chat,3.0,31.7,31.72,0,False,within_sla,Startup,North America,Starter
E00000056,C000036,2025-01-30 10:41:00,2025-01-31 06:44:04,2025-01-31 10:41:00,2025-01-30,resolved,high,Feature Request,Feature Request,chat,4.0,20.1,20.05,0,False,within_sla,SMB,LATAM,Enterprise
E00000057,C000037,2025-11-09 00:52:00,2025-11-10 15:12:09,2025-11-12 00:52:00,2025-11-09,resolved,low,Billing,Billing,portal,3.0,38.3,38.34,0,False,within_sla,SMB,Europe,Starter
E00000058,C000038,2025-07-07 20:47:00,2025-07-08 07:53:48,2025-07-09 20:47:00,2025-07-07,resolved,medium,How-to,How-to,phone,3.0,11.1,11.11,0,False,within_sla,Mid-Market,APAC,Pro
E00000059,C000040,2025-03-28 18:12:00,2025-04-03 14:58:23,2025-03-31 18:12:00,2025-03-28,resolved,low,How-to,How-to,phone,1.0,140.8,140.77,0,True,beyond_sla,SMB,North America,Pro
E00000060,C000040,2025-10-31 12:53:00,2025-11-01 07:54:53,2025-11-01 12:53:00,2025-10-31,resolved,high,How-to,How-to,chat,5.0,19.0,19.03,0,False,within_sla,SMB,North America,Pro
E00000061,C000040,2025-07-16 19:06:00,2025-07-17 00:24:20,2025-07-17 19:06:00,2025-07-16,resolved,high,How-to,How-to,email,5.0,5.3,5.31,0,False,within_sla,SMB,North America,Pro
E00000062,C000041,2023-10-10 07:50:00,2023-10-10 11:43:56,2023-10-12 07:50:00,2023-10-10,resolved,medium,How-to,How-to,chat,5.0,3.9,3.9,0,False,within_sla,SMB,LATAM,Starter
E00000063,C000042,2025-06-11 01:30:00,2025-06-11 11:22:44,2025-06-13 01:30:00,2025-06-11,resolved,medium,How-to,How-to,phone,5.0,9.9,9.88,0,False,within_sla,SMB,North America,Pro
E00000064,C000042,2025-09-01 00:00:00,2025-09-07 19:58:59,2025-09-04 00:00:00,2025-09-01,resolved,low,How-to,How-to,chat,4.0,164.0,163.98,0,True,beyond_sla,SMB,North America,Pro
E00000065,C000042,2025-04-03 03:15:00,2025-04-03 04:17:45,2025-04-06 03:15:00,2025-04-03,resolved,low,How-to,How-to,email,5.0,1.0,1.05,0,False,within_sla,SMB,North America,Pro
E00000066,C000044,2025-05-08 05:42:00,2025-05-09 15:27:14,2025-05-10 05:42:00,2025-05-08,resolved,medium,Outage,Outage,phone,5.0,33.8,33.75,0,False,within_sla,Mid-Market,LATAM,Pro
E00000067,C000045,2025-02-26 21:12:00,2025-02-27 15:42:38,2025-02-28 21:12:00,2025-02-26,resolved,medium,Outage,Outage,chat,5.0,18.5,18.51,0,False,within_sla,SMB,Europe,Starter
E00000068,C000046,2025-12-02 17:57:00,2025-12-09 19:45:53,2025-12-05 17:57:00,2025-12-02,resolved,low,How-to,How-to,phone,1.0,169.8,169.81,0,True,beyond_sla,Mid-Market,North America,Business
E00000069,C000047,2025-11-28 20:46:00,2025-12-01 15:47:10,2025-12-01 20:46:00,2025-11-28,resolved,low,Billing,Billing,email,3.0,67.0,67.02,0,False,within_sla,Startup,Europe,Business
E00000070,C000048,2025-10-17 14:46:00,2025-10-18 16:47:28,2025-10-19 14:46:00,2025-10-17,resolved,medium,Feature Request,Feature Request,email,4.0,26.0,26.02,0,False,within_sla,Mid-Market,North America,Starter
E00000071,C000048,2025-12-24 17:48:00,2025-12-26 07:38:45,2025-12-25 17:48:00,2025-12-24,resolved,high,Bug,Bug,chat,3.0,37.8,37.85,0,True,beyond_sla,Mid-Market,North America,Starter
E00000072,C000048,2025-07-13 20:20:00,2025-07-14 01:29:37,2025-07-16 20:20:00,2025-07-13,resolved,low,How-to,How-to,portal,4.0,5.2,5.16,0,False,within_sla,Mid-Market,North America,Starter
E00000073,C000048,2025-09-10 17:58:00,2025-09-12 13:24:50,2025-09-12 17:58:00,2025-09-10,resolved,medium,Feature Request,Feature Request,phone,5.0,43.4,43.45,0,False,within_sla,Mid-Market,North America,Starter
E00000074,C000049,2024-09-10 09:33:00,2024-09-10 15:26:22,2024-09-10 17:33:00,2024-09-10,resolved,critical,Billing,Billing,chat,3.0,5.9,5.89,0,False,within_sla,Mid-Market,North America,Free
E00000075,C000050,2025-10-28 18:12:00,2025-10-30 02:27:42,2025-10-30 18:12:00,2025-10-28,resolved,medium,How-to,How-to,email,4.0,32.3,32.26,0,False,within_sla,Mid-Market,North America,Starter
E00000076,C000053,2025-07-18 01:30:00,2025-07-19 18:57:55,2025-07-20 01:30:00,2025-07-18,resolved,medium,Billing,Billing,email,3.0,41.5,41.47,0,False,within_sla,SMB,North America,Pro
E00000077,C000053,2025-01-07 07:21:00,2025-01-08 03:31:40,2025-01-10 07:21:00,2025-01-07,resolved,low,Feature Request,Feature Request,email,5.0,20.2,20.18,0,False,within_sla,SMB,North America,Pro
E00000078,C000054,2024-02-02 13:24:00,,2024-02-05 13:24:00,2024-02-02,pending,low,Feature Request,Feature Request,chat,,,16762.6,1,True,pending_beyond_sla,Startup,North America,Pro
E00000079,C000054,2024-01-05 22:06:00,2024-01-12 05:37:53,2024-01-08 22:06:00,2024-01-05,resolved,low,Bug,Bug,portal,2.0,151.5,151.53,0,True,beyond_sla,Startup,North America,Pro
E00000080,C000054,2024-05-24 15:15:00,,2024-05-27 15:15:00,2024-05-24,pending,low,Billing,Billing,email,,,14072.75,1,True,pending_beyond_sla,Startup,North America,Pro
E00000081,C000055,2025-07-08 04:19:00,2025-07-14 15:07:33,2025-07-11 04:19:00,2025-07-08,resolved,low,Billing,Billing,phone,1.0,154.8,154.81,0,True,beyond_sla,Mid-Market,APAC,Enterprise
E00000082,C000055,2024-02-18 01:05:00,2024-02-19 17:27:39,2024-02-20 01:05:00,2024-02-18,resolved,medium,Feature Request,Feature Request,email,5.0,40.4,40.38,0,False,within_sla,Mid-Market,APAC,Enterprise
E00000083,C000056,2023-02-05 02:23:00,2023-02-05 07:53:20,2023-02-08 02:23:00,2023-02-05,resolved,low,Feature Request,Feature Request,email,4.0,5.5,5.51,0,False,within_sla,SMB,LATAM,Starter
E00000084,C000056,2022-06-12 21:51:00,,2022-06-14 21:51:00,2022-06-12,escalated,medium,How-to,How-to,email,,,31154.15,1,True,pending_beyond_sla,SMB,LATAM,Starter
E00000085,C000056,2023-01-25 14:11:00,2023-01-30 19:24:15,2023-01-28 14:11:00,2023-01-25,resolved,low,Bug,Bug,phone,2.0,125.2,125.22,0,True,beyond_sla,SMB,LATAM,Starter
E00000086,C000058,2025-07-16 07:54:00,2025-07-18 00:13:29,2025-07-18 07:54:00,2025-07-16,resolved,medium,How-to,How-to,email,4.0,40.3,40.32,0,False,within_sla,Mid-Market,North America,Starter
E00000087,C000058,2023-01-13 07:59:00,2023-01-14 16:36:08,2023-01-16 07:59:00,2023-01-13,resolved,low,Billing,Billing,portal,4.0,32.6,32.62,0,False,within_sla,Mid-Market,North America,Starter
E00000088,C000059,2024-12-01 01:46:00,2024-12-03 02:53:37,2024-12-04 01:46:00,2024-12-01,resolved,low,Feature Request,Feature Request,phone,5.0,49.1,49.13,0,False,within_sla,SMB,APAC,Pro
E00000089,C000060,2024-09-25 21:36:00,2024-09-26 00:37:12,2024-09-26 21:36:00,2024-09-25,resolved,high,How-to,How-to,portal,4.0,3.0,3.02,0,False,within_sla,Enterprise,APAC,Starter
E00000090,C000060,2025-01-18 17:14:00,,2025-01-20 17:14:00,2025-01-18,pending,medium,Outage,Outage,chat,,,8334.77,1,True,pending_beyond_sla,Enterprise,APAC,Starter
E00000091,C000062,2025-02-03 22:19:00,,2025-02-04 22:19:00,2025-02-03,escalated,high,Feature Request,Feature Request,phone,,,7945.68,1,True,pending_beyond_sla,SMB,North America,Starter
E00000092,C000062,2025-02-11 22:41:00,2025-02-13 06:25:07,2025-02-13 22:41:00,2025-02-11,resolved,medium,Billing,Billing,chat,5.0,31.7,31.74,0,False,within_sla,SMB,North America,Starter
E00000093,C000062,2025-05-26 15:11:00,,2025-05-29 15:11:00,2025-05-26,pending,low,How-to,How-to,email,,,5264.82,1,True,pending_beyond_sla,SMB,North America,Starter
E00000094,C000062,2025-02-25 11:14:00,2025-02-25 18:44:54,2025-02-25 19:14:00,2025-02-25,resolved,critical,Outage,Outage,chat,3.0,7.5,7.52,0,False,within_sla,SMB,North America,Starter
E00000095,C000062,2025-08-20 06:44:00,2025-08-20 11:23:50,2025-08-21 06:44:00,2025-08-20,resolved,high,Feature Request,Feature Request,email,5.0,4.7,4.66,0,False,within_sla,SMB,North America,Starter
E00000096,C000062,2025-02-09 17:51:00,2025-02-10 10:00:51,2025-02-11 17:51:00,2025-02-09,resolved,medium,Bug,Bug,chat,4.0,16.2,16.16,0,False,within_sla,SMB,North America,Starter
E00000097,C000063,2024-03-15 18:25:00,2024-03-16 19:26:53,2024-03-17 18:25:00,2024-03-15,resolved,medium,Bug,Bug,phone,4.0,25.0,25.03,0,False,within_sla,SMB,North America,Business
E00000098,C000064,2025-12-18 05:31:00,2025-12-20 20:11:06,2025-12-19 05:31:00,2025-12-18,resolved,high,How-to,How-to,portal,1.0,62.7,62.67,0,True,beyond_sla,SMB,Europe,Enterprise
E00000099,C000064,2025-12-04 03:53:00,2025-12-08 05:11:43,2025-12-07 03:53:00,2025-12-04,resolved,low,Feature Request,Feature Request,chat,2.0,97.3,97.31,0,True,beyond_sla,SMB,Europe,Enterprise
E00000100,C000065,2025-09-22 13:50:00,2025-09-25 12:17:55,2025-09-23 13:50:00,2025-09-22,resolved,high,How-to,How-to,chat,3.0,70.5,70.47,0,True,beyond_sla,SMB,North America,Starter
E00000101,C000065,2024-09-13 11:39:00,2024-09-13 23:41:21,2024-09-14 11:39:00,2024-09-13,resolved,high,How-to,How-to,email,5.0,12.0,12.04,0,False,within_sla,SMB,North America,Starter
E00000102,C000066,2024-11-09 12:17:00,,2024-11-12 12:17:00,2024-11-09,pending,low,Feature Request,Feature Request,chat,,,10019.72,1,True,pending_beyond_sla,Mid-Market,APAC,Starter
E00000103,C000067,2025-10-01 15:35:00,2025-10-03 15:49:31,2025-10-04 15:35:00,2025-10-01,resolved,low,How-to,How-to,phone,5.0,48.2,48.24,0,False,within_sla,Enterprise,North America,Starter
E00000104,C000067,2025-09-25 13:34:00,2025-09-30 18:02:17,2025-09-27 13:34:00,2025-09-25,resolved,medium,How-to,How-to,chat,2.0,124.5,124.47,0,True,beyond_sla,Enterprise,North America,Starter
E00000105,C000068,2025-02-07 21:55:00,2025-02-08 13:36:00,2025-02-10 21:55:00,2025-02-07,resolved,low,Outage,Outage,chat,4.0,15.7,15.68,0,False,within_sla,Enterprise,Europe,Starter
E00000106,C000068,2024-06-11 05:42:00,2024-06-11 08:17:05,2024-06-14 05:42:00,2024-06-11,resolved,low,Billing,Billing,phone,3.0,2.6,2.58,0,False,within_sla,Enterprise,Europe,Starter
E00000107,C000068,2025-07-13 09:18:00,2025-07-14 13:37:17,2025-07-16 09:18:00,2025-07-13,resolved,low,Bug,Bug,phone,5.0,28.3,28.32,0,False,within_sla,Enterprise,Europe,Starter
E00000108,C000068,2025-08-06 18:07:00,2025-08-06 21:15:45,2025-08-08 18:07:00,2025-08-06,resolved,medium,How-to,How-to,phone,4.0,3.1,3.15,0,False,within_sla,Enterprise,Europe,Starter
E00000109,C000069,2025-08-06 04:49:00,2025-08-07 09:55:39,2025-08-08 04:49:00,2025-08-06,resolved,medium,How-to,How-to,portal,5.0,29.1,29.11,0,False,within_sla,SMB,LATAM,Enterprise
E00000110,C000070,2024-11-10 07:58:00,,2024-11-11 07:58:00,2024-11-10,pending,high,How-to,How-to,chat,,,10000.03,1,True,pending_beyond_sla,Startup,LATAM,Pro
E00000111,C000070,2025-01-31 16:24:00,,2025-02-03 16:24:00,2025-01-31,pending,low,Bug,Bug,chat,,,8023.6,1,True,pending_beyond_sla,Startup,LATAM,Pro
E00000112,C000070,2024-08-01 13:27:00,2024-08-02 14:08:29,2024-08-03 13:27:00,2024-08-01,resolved,medium,Billing,Billing,email,3.0,24.7,24.69,0,False,within_sla,Startup,LATAM,Pro
E00000113,C000072,2023-10-24 01:21:00,2023-10-25 17:22:01,2023-10-26 01:21:00,2023-10-24,resolved,medium,Billing,Billing,portal,5.0,40.0,40.02,0,False,within_sla,SMB,LATAM,Enterprise
E00000114,C000072,2024-03-21 07:20:00,,2024-03-24 07:20:00,2024-03-21,pending,low,Bug,Bug,phone,,,15616.67,1,True,pending_beyond_sla,SMB,LATAM,Enterprise
E00000115,C000072,2024-03-05 22:14:00,2024-03-08 14:21:42,2024-03-06 22:14:00,2024-03-05,resolved,high,Bug,Bug,email,3.0,64.1,64.13,0,True,beyond_sla,SMB,LATAM,Enterprise
E00000116,C000074,2023-04-15 09:47:00,2023-04-16 17:31:54,2023-04-18 09:47:00,2023-04-15,resolved,low,Billing,Billing,chat,3.0,31.7,31.75,0,False,within_sla,Startup,North America,Starter
E00000117,C000074,2023-12-06 17:13:00,2023-12-09 01:03:17,2023-12-09 17:13:00,2023-12-06,resolved,low,Feature Request,Feature Request,email,5.0,55.8,55.84,0,False,within_sla,Startup,North America,Starter
E00000118,C000075,2025-08-08 15:14:00,2025-08-08 19:56:54,2025-08-09 15:14:00,2025-08-08,resolved,high,How-to,How-to,email,3.0,4.7,4.72,0,False,within_sla,SMB,North America,Pro
E00000119,C000076,2024-01-04 17:22:00,2024-01-05 00:09:18,2024-01-07 17:22:00,2024-01-04,resolved,low,Billing,Billing,phone,4.0,6.8,6.79,0,False,within_sla,SMB,LATAM,Starter
E00000120,C000077,2024-12-08 21:28:00,,2024-12-09 21:28:00,2024-12-08,pending,high,How-to,How-to,chat,,,9314.53,1,True,pending_beyond_sla,SMB,LATAM,Starter
E00000121,C000077,2025-10-02 19:38:00,2025-10-04 02:37:50,2025-10-05 19:38:00,2025-10-02,resolved,low,How-to,How-to,email,4.0,31.0,31.0,0,False,within_sla,SMB,LATAM,Starter
E00000122,C000077,2024-07-05 12:43:00,,2024-07-08 12:43:00,2024-07-05,pending,low,How-to,How-to,chat,,,13067.28,1,True,pending_beyond_sla,SMB,LATAM,Starter
E00000123,C000079,2025-06-30 04:42:00,2025-07-01 00:50:30,2025-07-03 04:42:00,2025-06-30,resolved,low,Billing,Billing,portal,5.0,20.1,20.14,0,False,within_sla,Mid-Market,North America,Starter
E00000124,C000079,2024-11-18 11:59:00,2024-11-19 00:14:11,2024-11-19 11:59:00,2024-11-18,resolved,high,How-to,How-to,chat,3.0,12.3,12.25,0,False,within_sla,Mid-Market,North America,Starter
E00000125,C000079,2024-05-04 17:00:00,2024-05-04 21:22:57,2024-05-07 17:00:00,2024-05-04,resolved,low,Bug,Bug,email,4.0,4.4,4.38,0,False,within_sla,Mid-Market,North America,Starter
E00000126,C000080,2025-07-29 18:16:00,2025-07-30 03:57:56,2025-08-01 18:16:00,2025-07-29,resolved,low,Billing,Billing,chat,4.0,9.7,9.7,0,False,within_sla,Startup,North America,Pro
E00000127,C000080,2025-09-29 04:43:00,2025-09-29 18:19:02,2025-09-30 04:43:00,2025-09-29,resolved,high,Feature Request,Feature Request,chat,5.0,13.6,13.6,0,False,within_sla,Startup,North America,Pro
E00000128,C000080,2025-11-02 02:53:00,2025-11-02 22:46:39,2025-11-03 02:53:00,2025-11-02,resolved,high,Billing,Billing,email,5.0,19.9,19.89,0,False,within_sla,Startup,North America,Pro
E00000129,C000080,2025-04-15 04:06:00,2025-04-17 09:00:19,2025-04-18 04:06:00,2025-04-15,resolved,low,Bug,Bug,chat,4.0,52.9,52.91,0,False,within_sla,Startup,North America,Pro
E00000130,C000080,2025-08-21 05:48:00,2025-08-21 15:30:29,2025-08-24 05:48:00,2025-08-21,resolved,low,Bug,Bug,chat,4.0,9.7,9.71,0,False,within_sla,Startup,North America,Pro
E00000131,C000080,2025-11-01 05:39:00,2025-11-07 01:20:28,2025-11-03 05:39:00,2025-11-01,resolved,medium,Bug,Bug,portal,3.0,139.7,139.69,0,True,beyond_sla,Startup,North America,Pro
E00000132,C000080,2025-07-28 11:31:00,2025-07-28 16:12:37,2025-07-30 11:31:00,2025-07-28,resolved,medium,Bug,Bug,portal,4.0,4.7,4.69,0,False,within_sla,Startup,North America,Pro
