customer_id,signup_date,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,is_churned,churn_date,as_of_date,lifetime_revenue,txn_count,last_txn_date,first_txn_date,avg_txn_amount,total_tickets,avg_resolve_hours,critical_tickets,days_since_last_txn,is_active,customer_health_score
C000011,2024-01-23,SMB,Europe,Free,Referral,12,0.0,708,15.0,3,52.6,0.623,0,0,,2025-12-31,55.28,13,2025-12-09,2024-01-28,4.25,4,22.6,1,22.0,0,67.8
C000012,2025-10-27,SMB,Europe,Starter,Organic,14,47.83,65,21.0,0,98.1,0.283,0,0,,2025-12-31,33.28,1,2025-11-25,2025-11-25,33.28,0,0.0,0,36.0,1,72.0
C000013,2024-11-18,Enterprise,North America,Starter,Partner,103,57.88,408,8.0,1,2.0,0.42,1,0,,2025-12-31,318.46,6,2025-12-25,2025-02-04,53.08,2,15.7,0,6.0,1,51.4
C000014,2024-12-24,Enterprise,APAC,Pro,Paid Search,377,185.56,372,13.0,2,-8.7,0.814,0,0,,2025-12-31,1950.7,10,2025-12-26,2025-04-15,195.07,3,25.0,0,5.0,1,67.2
C000015,2024-10-22,Mid-Market,APAC,Pro,Partner,52,164.24,435,5.0,2,86.4,0.449,0,0,,2025-12-31,2288.16,14,2025-12-14,2024-11-01,163.44,2,19.4,0,17.0,1,58.6
C000016,2025-01-29,Startup,Europe,Business,Organic,4,453.66,336,22.0,0,33.7,0.615,0,0,,2025-12-31,4505.59,10,2025-12-25,2025-02-09,450.56,1,15.4,0,6.0,1,76.5
C000017,2024-01-04,Mid-Market,APAC,Pro,Partner,78,178.54,727,24.0,0,23.6,0.339,0,0,,2025-12-31,3562.86,19,2025-08-28,2024-02-12,187.52,1,7.8,0,125.0,1,69.0
C000018,2022-07-03,Mid-Market,Europe,Starter,Organic,46,48.7,1277,20.0,0,39.7,0.127,0,0,,2025-12-31,1535.1,31,2025-10-22,2022-10-27,49.52,0,0.0,0,70.0,1,60.6
C000019,2025-04-15,SMB,North America,Free,Paid Search,6,0.0,260,22.0,0,0.1,0.427,0,0,,2025-12-31,53.230000000000004,12,2025-12-14,2025-04-21,4.44,0,0.0,0,17.0,0,67.5
C000020,2023-10-07,Mid-Market,North America,Starter,Referral,64,60.95,816,7.9,1,44.4,0.325,1,1,2024-12-19,2025-12-31,399.28,7,2024-11-06,2023-10-11,57.04,2,5.2,0,420.0,0,52.7
C000021,2023-12-17,Mid-Market,North America,Starter,Paid Search,72,47.06,745,23.0,0,33.0,0.564,0,0,,2025-12-31,551.18,13,2025-12-27,2024-02-18,42.4,1,7.1,0,4.0,1,75.8
C000022,2023-06-15,SMB,North America,Pro,Paid Search,19,164.87,930,12.0,1,61.8,0.64,1,0,,2025-12-31,4531.11,29,2025-12-29,2023-06-26,156.25,1,38.2,0,2.0,1,67.6
C000023,2022-09-19,Mid-Market,Europe,Enterprise,Partner,35,1234.6,1199,5.0,2,56.4,0.544,0,0,,2025-12-31,38738.95,31,2025-11-23,2023-01-11,1249.64,2,5.8,1,38.0,1,58.4
C000024,2025-08-18,SMB,North America,Starter,Paid Search,19,50.19,135,26.0,2,58.5,0.295,1,0,,2025-12-31,136.83,3,2025-11-30,2025-08-31,45.61,2,7.0,0,31.0,1,67.9
C000025,2025-01-22,Startup,North America,Pro,Referral,3,132.94,343,0.0,0,39.8,0.078,1,0,,2025-12-31,1139.75,9,2025-12-23,2025-01-31,126.64,2,19.2,0,8.0,1,39.3
C000026,2024-07-09,Mid-Market,North America,Starter,Paid Search,31,48.95,540,3.8,0,75.1,0.238,1,1,2024-12-12,2025-12-31,188.61,4,2024-10-28,2024-07-30,47.15,0,0.0,0,429.0,0,51.0
C000027,2023-07-30,Startup,APAC,Pro,Sales,7,171.72,885,4.7,1,49.4,0.204,0,1,2025-01-23,2025-12-31,2392.88,14,2024-12-21,2023-07-30,170.92,1,7.5,0,375.0,0,48.8
C000028,2025-03-22,Startup,APAC,Free,Referral,4,0.0,284,22.0,1,21.7,0.307,1,0,,2025-12-31,36.81,7,2025-12-31,2025-04-29,5.26,1,5.9,0,0.0,0,62.5
C000029,2024-02-19,Startup,North America,Pro,Paid Search,1,142.31,681,19.0,0,14.8,0.085,0,0,,2025-12-31,1565.1100000000001,10,2025-11-17,2024-03-26,156.51,0,0.0,0,44.0,1,56.0
C000030,2023-09-27,SMB,North America,Starter,Paid Search,17,59.4,826,13.0,2,17.6,0.257,0,0,,2025-12-31,1041.21,18,2025-06-22,2023-10-10,57.84,2,7.6,0,192.0,1,53.1
C000031,2023-10-07,SMB,North America,Starter,Partner,12,46.03,816,25.0,0,49.7,0.285,1,0,,2025-12-31,965.32,21,2025-12-26,2023-10-10,45.97,0,0.0,0,5.0,1,68.8
C000032,2022-11-21,SMB,North America,Pro,Referral,13,169.21,1136,6.0,2,1.7,0.252,0,0,,2025-12-31,3313.42,20,2025-09-19,2022-12-11,165.67,2,40.0,0,103.0,1,45.1
C000033,2022-05-12,SMB,North America,Starter,Organic,16,59.46,1329,3.0,0,38.9,0.398,1,0,,2025-12-31,2260.98,38,2025-12-31,2022-05-16,59.5,1,31.4,0,0.0,1,51.5
C000034,2024-03-04,Enterprise,North America,Pro,Organic,82,181.13,667,17.0,1,14.2,0.508,0,0,,2025-12-31,3528.85,21,2025-12-28,2024-03-19,168.04,2,8.6,0,3.0,1,65.3
C000035,2025-06-23,Startup,North America,Starter,Organic,5,56.17,191,8.0,0,3.7,0.418,0,0,,2025-12-31,204.32,3,2025-10-07,2025-07-22,68.11,0,0.0,0,85.0,1,55.1
C000036,2022-04-02,SMB,LATAM,Enterprise,Referral,4,1423.33,1369,13.0,1,7.7,0.318,0,0,,2025-12-31,49553.43,33,2025-12-13,2022-05-09,1501.62,1,29.7,0,18.0,1,55.4
C000037,2025-05-12,SMB,Europe,Starter,Referral,18,48.34,233,12.0,1,34.4,0.474,0,0,,2025-12-31,141.58,3,2025-10-20,2025-05-19,47.19,1,15.3,0,72.0,1,61.9
C000038,2025-03-29,Mid-Market,APAC,Pro,Organic,20,179.92,277,7.0,1,54.1,0.471,2,0,,2025-12-31,1690.44,9,2025-12-19,2025-06-24,187.83,1,6.9,0,12.0,1,55.3
C000039,2023-01-31,Enterprise,North America,Business,Paid Search,486,453.89,1065,27.0,0,18.1,0.101,2,0,,2025-12-31,12071.15,26,2025-11-12,2023-02-21,464.28,1,7.6,0,49.0,1,59.9
C000040,2024-06-22,SMB,North America,Pro,Referral,20,139.41,557,10.0,2,-16.9,0.31,0,0,,2025-12-31,1510.59,11,2025-07-21,2024-09-11,137.33,3,21.8,0,163.0,1,48.5
C000041,2022-08-25,SMB,LATAM,Starter,Sales,22,57.78,1224,18.0,0,100.0,0.182,0,0,,2025-12-31,1473.47,25,2025-11-29,2022-09-04,58.94,1,9.2,0,32.0,1,66.5
C000042,2024-12-20,SMB,North America,Pro,Organic,4,136.76,376,4.0,3,62.9,0.174,0,0,,2025-12-31,716.28,5,2025-11-03,2025-01-06,143.26,4,8.0,0,58.0,1,45.6
C000043,2024-09-28,Mid-Market,Europe,Free,Paid Search,79,0.0,459,27.0,0,58.3,0.205,0,0,,2025-12-31,14.99,9,2025-10-30,2024-10-29,1.67,1,2.3,0,62.0,0,71.1
C000044,2023-05-22,Mid-Market,LATAM,Pro,Paid Search,19,134.27,954,27.0,1,75.7,0.659,0,0,,2025-12-31,2472.4,19,2025-09-22,2023-06-13,130.13,1,6.1,0,100.0,1,84.9
C000045,2022-04-08,SMB,Europe,Starter,Partner,10,49.47,1363,1.0,0,37.3,0.749,0,0,,2025-12-31,948.2,21,2025-09-23,2022-05-04,45.15,0,0.0,0,99.0,1,62.1
C000046,2025-10-20,Mid-Market,North America,Business,Organic,19,412.31,72,18.0,1,31.6,0.31,0,0,,2025-12-31,249.83,1,2025-11-05,2025-11-05,249.83,3,19.7,0,56.0,1,62.0
C000047,2023-09-30,Startup,Europe,Business,Organic,6,384.57,823,16.0,1,68.9,0.289,0,0,,2025-12-31,7359.55,20,2025-10-10,2024-01-09,367.98,1,10.8,0,82.0,1,63.3
C000048,2025-07-01,Mid-Market,North America,Starter,Referral,54,58.01,183,4.0,3,68.7,0.658,0,0,,2025-12-31,215.67,3,2025-12-05,2025-08-18,71.89,4,9.4,0,26.0,1,60.7
C000049,2024-08-27,Mid-Market,North America,Free,Paid Search,53,0.0,491,13.7,1,50.4,0.661,1,1,2024-11-07,2025-12-31,17.0,3,2024-10-07,2024-09-04,5.67,1,10.7,0,450.0,0,68.6
C000050,2025-01-18,Mid-Market,North America,Starter,Organic,49,49.58,347,21.0,1,57.1,0.374,1,0,,2025-12-31,157.0,4,2025-11-20,2025-01-22,39.25,1,9.5,0,41.0,1,67.2
C000051,2024-12-22,SMB,APAC,Pro,Paid Search,4,154.71,374,23.0,0,4.0,0.413,0,0,,2025-12-31,1704.7,10,2025-11-28,2024-12-25,170.47,0,0.0,0,33.0,1,68.3
C000052,2022-10-06,SMB,Europe,Starter,Organic,21,58.93,1182,16.0,0,28.6,0.6,0,0,,2025-12-31,1995.2,35,2025-10-26,2022-12-09,57.01,0,0.0,0,66.0,1,70.1
C000053,2023-06-05,SMB,North America,Pro,Paid Search,13,141.83,940,19.0,1,77.6,0.685,2,0,,2025-12-31,3652.01,26,2025-11-12,2023-06-06,140.46,3,31.3,0,49.0,1,74.8
C000054,2023-10-30,Startup,North America,Pro,Paid Search,4,140.82,793,20.0,3,55.1,0.559,0,0,,2025-12-31,2534.86,17,2025-12-21,2024-02-16,149.11,3,20.2,0,10.0,1,70.6
C000055,2023-12-13,Mid-Market,APAC,Enterprise,Organic,72,1254.63,749,21.0,1,-1.6,0.197,0,0,,2025-12-31,24284.76,19,2025-12-01,2024-01-20,1278.15,3,21.6,0,30.0,1,58.0
C000056,2022-03-04,SMB,LATAM,Starter,Organic,20,47.96,1398,16.0,2,21.7,0.7,0,0,,2025-12-31,981.06,20,2025-11-28,2022-03-10,49.05,2,12.0,0,33.0,1,69.5
C000057,2024-02-21,Enterprise,North America,Free,Sales,171,0.0,679,20.0,0,73.5,0.141,0,0,,2025-12-31,45.540000000000006,11,2025-12-26,2024-04-12,4.14,2,23.4,0,5.0,0,64.4
C000058,2022-08-09,Mid-Market,North America,Starter,Sales,43,59.01,1240,1.0,1,46.4,0.622,0,0,,2025-12-31,1612.23,27,2025-09-01,2022-09-15,59.71,1,13.5,0,121.0,1,57.7
C000059,2024-11-29,SMB,APAC,Pro,Organic,9,134.95,397,17.0,0,39.5,0.336,0,0,,2025-12-31,759.72,6,2025-11-28,2025-03-26,126.62,0,0.0,0,33.0,1,64.2
C000060,2024-09-03,Enterprise,APAC,Starter,Partner,265,52.27,484,5.0,0,40.3,0.199,0,0,,2025-12-31,450.92,9,2025-11-15,2024-09-12,50.1,2,10.2,0,46.0,1,49.5
C000061,2025-08-12,SMB,LATAM,Starter,Organic,9,45.03,141,7.4,0,32.9,0.39,1,1,2025-11-02,2025-12-31,84.86,2,2025-10-18,2025-09-19,42.43,1,9.0,0,74.0,0,54.6
C000062,2024-12-01,SMB,North America,Starter,Referral,7,48.71,395,6.8,4,21.9,0.486,0,1,2025-09-21,2025-12-31,184.28,4,2025-07-30,2025-01-02,46.07,4,30.0,0,154.0,0,51.8
C000063,2023-06-09,SMB,North America,Business,Referral,22,374.19,936,3.0,0,14.2,0.346,0,0,,2025-12-31,6570.96,18,2025-11-05,2023-07-04,365.05,0,0.0,0,56.0,1,49.5
C000064,2025-10-15,SMB,Europe,Enterprise,Partner,4,1094.16,77,21.0,1,60.3,0.71,0,0,,2025-12-31,1339.29,1,2025-11-29,2025-11-29,1339.29,2,14.5,0,32.0,1,79.6
C000065,2023-08-11,SMB,North America,Starter,Partner,12,53.69,873,7.0,1,40.9,0.886,0,0,,2025-12-31,857.3299999999999,15,2025-07-29,2023-08-16,57.16,3,16.7,0,155.0,1,70.4
C000066,2023-04-11,Mid-Market,APAC,Starter,Paid Search,52,51.99,995,21.0,1,52.7,0.469,2,0,,2025-12-31,1376.82,27,2025-12-12,2023-04-22,50.99,1,10.5,0,19.0,1,67.6
C000067,2025-07-18,Enterprise,North America,Starter,Organic,433,51.21,166,21.0,2,48.7,0.229,0,0,,2025-12-31,211.49,4,2025-12-25,2025-07-30,52.87,3,11.1,0,6.0,1,62.5
C000068,2023-06-14,Enterprise,Europe,Starter,Paid Search,214,61.67,931,0.0,4,70.2,0.319,0,0,,2025-12-31,1442.46,23,2025-12-24,2023-07-09,62.72,4,9.6,0,7.0,1,45.6
C000069,2022-04-20,SMB,LATAM,Enterprise,Organic,11,1437.41,1351,6.0,1,46.4,0.117,0,0,,2025-12-31,49802.61,34,2025-12-06,2022-05-02,1464.78,1,4.4,0,25.0,1,47.0
C000070,2023-11-03,Startup,LATAM,Pro,Partner,1,156.17,789,22.0,2,55.6,0.569,1,0,,2025-12-31,1972.17,12,2025-05-08,2024-02-27,164.35,3,16.0,1,237.0,1,72.3
C000071,2025-02-11,Enterprise,Europe,Pro,Paid Search,461,152.43,323,9.0,0,39.2,0.151,0,0,,2025-12-31,1692.43,12,2025-12-01,2025-02-23,141.04,0,0.0,0,30.0,1,51.5
C000072,2022-09-28,SMB,LATAM,Enterprise,Organic,10,1420.03,1190,12.0,2,11.3,0.116,0,0,,2025-12-31,25403.62,19,2025-12-08,2023-09-25,1337.03,2,6.4,0,23.0,1,47.3
C000073,2023-10-25,SMB,North America,Pro,Partner,9,149.6,798,0.0,0,29.4,0.307,0,0,,2025-12-31,2388.38,18,2025-12-18,2023-10-26,132.69,0,0.0,0,13.0,1,47.2
C000074,2022-07-05,Startup,North America,Starter,Referral,7,50.8,1275,19.0,0,49.7,0.25,0,0,,2025-12-31,996.97,20,2025-10-14,2023-03-10,49.85,1,9.9,0,78.0,1,64.4
C000075,2024-09-08,SMB,North America,Pro,Partner,17,168.85,479,2.0,1,51.9,0.123,0,0,,2025-12-31,1458.28,9,2025-12-06,2025-02-10,162.03,1,18.3,0,25.0,1,44.2
C000076,2023-11-12,SMB,LATAM,Starter,Paid Search,22,55.85,780,7.0,1,71.3,0.473,0,0,,2025-12-31,971.87,17,2025-11-22,2024-02-19,57.17,1,17.3,0,39.0,1,61.1
C000077,2023-04-18,SMB,LATAM,Starter,Referral,24,51.52,988,13.0,0,23.5,0.364,0,0,,2025-12-31,1249.47,22,2025-12-17,2023-05-18,56.79,1,31.5,0,14.0,1,59.9
C000078,2022-11-21,Startup,North America,Enterprise,Organic,7,1264.39,1136,21.0,0,40.6,0.393,0,0,,2025-12-31,33792.58,27,2025-10-24,2022-11-22,1251.58,0,0.0,0,68.0,1,69.6
C000079,2024-03-18,Mid-Market,North America,Starter,Partner,39,60.08,653,13.0,0,31.8,0.589,1,0,,2025-12-31,793.93,15,2025-12-09,2024-07-28,52.93,0,0.0,0,22.0,1,65.5
C000080,2024-08-15,Startup,North America,Pro,Paid Search,5,154.13,503,27.0,4,75.6,0.307,0,0,,2025-12-31,1531.71,10,2025-12-29,2024-08-22,153.17,4,16.3,0,2.0,1,69.9
C000081,2025-09-06,Enterprise,North America,Starter,Organic,337,58.09,116,7.8,3,44.4,0.401,0,1,2025-12-05,2025-12-31,121.25999999999999,2,2025-11-29,2025-09-24,60.63,3,36.4,0,32.0,0,53.9
C000082,2023-09-18,Startup,APAC,Starter,Sales,7,46.63,835,7.0,1,44.9,0.344,1,0,,2025-12-31,818.09,17,2025-12-09,2023-10-04,48.12,1,10.2,0,22.0,1,52.6
C000083,2022-08-18,Enterprise,North America,Pro,Paid Search,143,169.67,1231,2.0,0,34.1,0.2,1,1,2024-11-05,2025-12-31,3697.6,21,2024-10-26,2022-08-29,176.08,1,11.6,0,431.0,0,44.2
C000084,2025-04-05,Mid-Market,APAC,Business,Paid Search,32,385.68,270,21.0,1,29.4,0.473,0,0,,2025-12-31,1824.3400000000001,4,2025-12-17,2025-05-14,456.08,2,21.7,0,14.0,1,69.4
C000085,2024-06-19,Enterprise,Europe,Pro,Organic,144,157.25,560,12.0,1,-1.2,0.664,1,0,,2025-12-31,1343.7,8,2025-12-26,2024-08-12,167.96,1,6.7,0,5.0,1,62.0
C000086,2024-09-28,SMB,North America,Starter,Sales,19,51.13,459,16.0,2,3.5,0.487,0,0,,2025-12-31,850.5,15,2025-11-06,2024-11-19,56.7,2,13.2,0,55.0,1,61.2
C000087,2022-05-20,Mid-Market,North America,Free,Referral,46,0.0,1321,10.0,1,39.5,0.649,1,0,,2025-12-31,180.58,25,2025-12-01,2022-10-20,7.22,1,14.9,0,30.0,0,63.8
C000088,2023-03-23,Mid-Market,LATAM,Pro,Organic,38,139.84,1014,7.0,1,36.4,0.2,0,0,,2025-12-31,1863.76,15,2025-08-25,2023-06-25,124.25,1,16.3,0,128.0,1,49.4
C000089,2025-01-03,SMB,Europe,Pro,Partner,21,139.24,362,16.0,0,39.6,0.376,0,0,,2025-12-31,522.33,4,2025-11-06,2025-07-26,130.58,2,10.2,0,55.0,1,64.5
C000090,2025-04-05,SMB,Europe,Business,Organic,19,366.08,270,8.0,0,58.5,0.305,0,0,,2025-12-31,3350.18,9,2025-12-23,2025-05-04,372.24,0,0.0,0,8.0,1,57.1
C000091,2023-09-15,SMB,North America,Pro,Referral,13,151.28,838,27.0,2,37.3,0.815,0,0,,2025-12-31,1478.58,10,2025-12-29,2024-01-18,147.86,2,10.3,1,2.0,1,84.3
C000092,2025-02-24,Startup,LATAM,Business,Paid Search,5,376.29,310,20.0,2,26.3,0.295,1,0,,2025-12-31,3951.08,10,2025-12-22,2025-03-14,395.11,2,19.0,0,9.0,1,59.3
C000093,2025-04-18,SMB,APAC,Business,Organic,3,443.21,257,22.0,0,29.8,0.381,0,0,,2025-12-31,2970.95,6,2025-10-14,2025-05-04,495.16,1,3.8,1,78.0,1,69.1
C000094,2023-07-09,Mid-Market,APAC,Starter,Partner,57,58.15,906,7.0,0,41.1,0.578,0,0,,2025-12-31,1430.58,22,2025-08-29,2023-07-11,65.03,1,22.1,0,124.0,1,62.7
C000095,2025-07-08,Mid-Market,Europe,Pro,Sales,60,148.9,176,0.0,0,25.5,0.435,1,1,2025-09-23,2025-12-31,316.75,2,2025-07-31,2025-07-26,158.38,0,0.0,0,153.0,0,48.6
C000096,2023-02-17,Startup,APAC,Business,Paid Search,7,429.94,1048,1.0,3,61.6,0.292,0,0,,2025-12-31,10759.7,23,2025-10-18,2023-04-02,467.81,3,12.8,0,74.0,1,46.3
C000097,2022-12-09,Enterprise,North America,Enterprise,Organic,182,1320.88,1118,24.0,1,34.7,0.354,1,0,,2025-12-31,21242.38,16,2025-11-28,2023-02-06,1327.65,1,2.0,0,33.0,1,67.0
C000098,2024-09-02,SMB,APAC,Starter,Sales,11,46.81,485,24.0,0,41.3,0.142,0,0,,2025-12-31,387.65999999999997,9,2025-12-29,2024-09-29,43.07,0,0.0,0,2.0,1,64.8
C000099,2024-06-29,Startup,Europe,Pro,Organic,2,158.5,550,19.0,0,14.6,0.046,0,0,,2025-12-31,1386.55,9,2025-09-07,2024-07-28,154.06,0,0.0,0,115.0,1,54.8
C000100,2022-07-19,Startup,Europe,Starter,Paid Search,6,54.53,1261,6.6,3,61.6,0.297,2,1,2025-11-26,2025-12-31,1455.84,27,2025-11-12,2022-08-09,53.92,4,39.6,0,49.0,0,47.5
C000101,2025-04-05,SMB,LATAM,Business,Paid Search,18,465.28,270,5.0,0,71.0,0.363,1,0,,2025-12-31,2324.34,5,2025-11-17,2025-04-06,464.87,0,0.0,0,44.0,1,55.5
C000102,2022-10-13,SMB,LATAM,Enterprise,Organic,24,1201.4,1175,21.0,2,0.9,0.217,1,0,,2025-12-31,23294.29,21,2025-09-25,2022-11-14,1109.25,2,9.7,0,97.0,1,55.4
C000103,2025-02-25,SMB,Europe,Enterprise,Organic,16,1136.5,309,14.0,1,45.0,0.647,2,0,,2025-12-31,5892.63,6,2025-11-14,2025-03-05,982.1,1,13.9,0,47.0,1,65.9
C000104,2022-01-11,SMB,Europe,Starter,Organic,8,57.78,1450,16.0,2,32.3,0.374,1,0,,2025-12-31,1801.56,31,2025-11-18,2022-03-07,58.11,3,13.7,0,43.0,1,58.7
C000105,2025-02-13,Enterprise,APAC,Starter,Organic,422,62.03,321,0.0,0,42.1,0.097,1,0,,2025-12-31,450.93,7,2025-11-15,2025-02-13,64.42,0,0.0,0,46.0,1,40.1
C000106,2025-01-30,Mid-Market,LATAM,Business,Paid Search,58,403.83,335,14.0,0,46.3,0.296,0,0,,2025-12-31,3870.12,10,2025-11-18,2025-04-01,387.01,1,27.6,0,43.0,1,61.0
C000107,2025-01-20,SMB,APAC,Pro,Referral,6,134.19,345,19.0,2,-20.9,0.161,0,0,,2025-12-31,977.91,7,2025-10-03,2025-04-16,139.7,2,18.2,0,89.0,1,51.7
C000108,2024-08-08,Mid-Market,North America,Enterprise,Organic,74,1385.24,510,21.0,0,54.0,0.483,0,0,,2025-12-31,12149.33,8,2025-09-11,2024-10-20,1518.67,0,0.0,0,111.0,1,73.6
C000109,2023-11-06,SMB,North America,Starter,Referral,19,49.83,786,4.0,1,62.8,0.653,0,0,,2025-12-31,986.19,19,2025-12-08,2023-11-07,51.9,2,9.5,0,23.0,1,62.9
C000110,2024-10-05,Mid-Market,APAC,Business,Paid Search,73,466.97,452,0.0,1,65.6,0.226,0,0,,2025-12-31,4412.72,9,2025-09-10,2024-10-13,490.3,1,3.4,0,112.0,1,46.8
C000111,2023-02-01,Startup,APAC,Pro,Organic,5,134.51,1064,23.0,2,11.4,0.336,1,0,,2025-12-31,3198.84,25,2025-12-12,2023-02-11,127.95,3,8.9,0,19.0,1,61.8
C000112,2025-01-21,Startup,APAC,Starter,Paid Search,5,50.13,344,2.6,2,34.2,0.376,0,1,2025-08-22,2025-12-31,603.1400000000001,11,2025-08-13,2025-02-10,54.83,2,5.8,0,140.0,0,49.0
C000113,2024-03-05,SMB,Europe,Free,Organic,4,0.0,666,13.0,2,21.5,0.572,0,0,,2025-12-31,75.42,16,2025-12-30,2024-05-28,4.71,2,8.0,0,1.0,0,62.9
C000114,2023-10-19,SMB,Europe,Pro,Partner,19,164.69,804,17.0,1,-12.9,0.46,0,0,,2025-12-31,3422.7,20,2025-06-11,2023-10-25,171.14,2,13.8,0,203.0,1,61.2
C000115,2023-12-25,Mid-Market,Europe,Starter,Paid Search,32,55.72,737,13.0,2,19.5,0.373,0,0,,2025-12-31,996.0,17,2025-10-20,2024-01-15,58.59,3,9.4,0,72.0,1,56.7
C000116,2024-03-24,SMB,APAC,Business,Partner,3,465.27,647,26.0,3,7.9,0.266,0,0,,2025-12-31,4817.19,12,2025-12-22,2024-07-11,401.43,3,85.8,0,9.0,1,62.5
C000117,2022-02-23,Mid-Market,North America,Pro,Sales,57,153.74,1407,23.0,0,43.4,0.29,0,0,,2025-12-31,3693.3,24,2025-11-30,2022-04-21,153.89,1,9.2,0,31.0,1,68.6
C000118,2022-07-19,Startup,APAC,Pro,Organic,4,136.69,1261,11.0,1,-5.8,0.21,1,0,,2025-12-31,3442.1800000000003,25,2025-12-15,2022-12-13,137.69,1,15.4,0,16.0,1,47.0
C000119,2022-12-18,Startup,APAC,Starter,Sales,7,58.1,1109,5.0,3,10.5,0.169,0,0,,2025-12-31,1214.22,19,2025-09-05,2023-01-22,63.91,3,11.5,1,117.0,1,41.1
C000120,2022-06-13,Startup,APAC,Enterprise,Organic,4,1264.71,1297,27.0,4,22.0,0.355,0,0,,2025-12-31,20087.88,15,2025-11-09,2022-10-02,1339.19,5,9.0,0,52.0,1,66.0
C000121,2023-09-21,Startup,North America,Pro,Organic,4,173.79,832,19.0,1,54.3,0.828,0,0,,2025-12-31,3564.23,20,2025-12-25,2023-10-12,178.21,2,11.6,0,6.0,1,80.7
C000122,2024-08-13,Startup,APAC,Business,Organic,1,444.65,505,21.0,0,100.0,0.851,1,0,,2025-12-31,5848.78,14,2025-12-09,2024-08-20,417.77,1,27.0,0,22.0,1,87.3
C000123,2024-07-24,Mid-Market,North America,Business,Referral,56,430.08,525,12.0,0,42.6,0.392,0,0,,2025-12-31,4528.93,10,2025-12-12,2024-08-03,452.89,1,6.6,0,19.0,1,61.7
C000124,2023-11-05,Startup,North America,Pro,Partner,1,132.42,787,13.0,1,9.2,0.549,1,0,,2025-12-31,2334.36,18,2025-11-28,2023-11-09,129.69,2,7.6,1,33.0,1,60.5
C000125,2025-05-07,SMB,Europe,Enterprise,Sales,7,1174.63,238,5.0,0,18.0,0.429,0,0,,2025-12-31,6255.53,5,2025-11-16,2025-05-25,1251.11,0,0.0,0,45.0,1,54.1
C000126,2024-03-19,SMB,North America,Pro,Referral,22,167.81,652,12.0,0,51.5,0.687,1,0,,2025-12-31,2611.31,16,2025-12-11,2024-05-08,163.21,1,25.5,0,20.0,1,69.5
C000127,2022-04-24,SMB,LATAM,Pro,Paid Search,10,167.11,1347,15.0,2,1.3,0.464,0,0,,2025-12-31,4790.52,30,2025-12-24,2022-05-31,159.68,2,10.6,0,7.0,1,59.4
C000128,2024-12-29,Mid-Market,LATAM,Starter,Sales,76,49.29,367,3.0,4,62.4,0.211,0,0,,2025-12-31,557.08,10,2025-11-30,2025-01-03,55.71,4,11.1,0,31.0,1,44.2
