txn_month,product,revenue,txn_count,customers
2023-04,Analytics Add-on,45042.09,136,127
2023-04,Core Platform,116201.69,440,395
2023-04,Storage Pack,34414.91,113,112
2023-04,Support Plus,36801.39,138,132
2023-05,API Access,51507.86,178,168
2023-05,Analytics Add-on,50076.99,184,176
2023-05,Core Platform,130149.07,485,435
2023-05,Storage Pack,39065.82,126,120
2023-05,Support Plus,25444.41,115,111
2023-06,API Access,40217.3,163,161
2023-06,Analytics Add-on,48158.29,175,168
2023-06,Core Platform,132851.15,502,435
2023-06,Storage Pack,42056.23,144,141
2023-06,Support Plus,29393.03,109,105
2023-07,API Access,40464.51,170,159
2023-07,Analytics Add-on,60524.68,205,194
2023-07,Core Platform,134426.69,542,462
2023-07,Storage Pack,42127.23,150,142
2023-07,Support Plus,32679.97,146,137
2023-08,API Access,51043.23,200,190
2023-08,Analytics Add-on,46533.32,180,170
2023-08,Core Platform,136290.05,585,518
2023-08,Storage Pack,46734.36,155,150
2023-08,Support Plus,36055.79,154,151
2023-09,API Access,44195.06,176,165
2023-09,Analytics Add-on,56828.12,206,195
2023-09,Core Platform,202638.22,652,560
2023-09,Storage Pack,59497.81,188,183
2023-09,Support Plus,29712.06,129,124
2023-10,API Access,56054.44,200,188
2023-10,Analytics Add-on,61705.51,251,240
2023-10,Core Platform,196998.0,663,576
2023-10,Storage Pack,39924.1,161,155
2023-10,Support Plus,45356.01,176,171
2023-11,API Access,59429.33,231,219
2023-11,Analytics Add-on,52947.83,219,214
2023-11,Core Platform,201426.78,675,579
2023-11,Storage Pack,54272.9,189,183
2023-11,Support Plus,46857.95,170,164
2023-12,API Access,65127.63,232,224
2023-12,Analytics Add-on,59822.58,257,249
2023-12,Core Platform,165663.11,709,620
2023-12,Storage Pack,47808.71,205,200
2023-12,Support Plus,58411.25,214,206
2024-01,API Access,57637.0,226,218
2024-01,Analytics Add-on,75158.22,252,237
2024-01,Core Platform,200004.21,744,657
2024-01,Storage Pack,54405.99,207,198
2024-01,Support Plus,54153.64,192,184
2024-02,API Access,67971.76,261,244
2024-02,Analytics Add-on,72309.86,281,263
2024-02,Core Platform,177083.51,692,614
2024-02,Storage Pack,59862.01,228,220
2024-02,Support Plus,51991.22,189,184
2024-03,API Access,70185.86,266,252
2024-03,Analytics Add-on,64326.57,262,256
2024-03,Core Platform,237366.17,828,729
2024-03,Storage Pack,58175.93,200,196
2024-03,Support Plus,54528.47,224,213
2024-04,API Access,76724.26,278,262
2024-04,Analytics Add-on,73694.18,267,256
2024-04,Core Platform,221470.97,852,740
2024-04,Storage Pack,64978.26,248,242
2024-04,Support Plus,53431.79,189,180
2024-05,API Access,76189.68,281,270
2024-05,Analytics Add-on,74059.07,290,274
2024-05,Core Platform,233875.5,854,744
2024-05,Storage Pack,65456.14,277,268
2024-05,Support Plus,46749.09,218,208
2024-06,API Access,90902.48,305,296
2024-06,Analytics Add-on,79220.67,283,272
2024-06,Core Platform,229517.63,864,741
2024-06,Storage Pack,60165.43,260,243
2024-06,Support Plus,61725.78,208,202
2024-07,API Access,64074.06,256,251
2024-07,Analytics Add-on,77746.1,307,293
2024-07,Core Platform,251128.74,896,775
2024-07,Storage Pack,65711.43,248,241
2024-07,Support Plus,75716.36,255,245
2024-08,API Access,96050.15,347,324
2024-08,Analytics Add-on,85455.29,302,288
2024-08,Core Platform,250842.17,904,797
2024-08,Storage Pack,64733.48,234,228
2024-08,Support Plus,71280.37,254,239
2024-09,API Access,90744.38,299,282
2024-09,Analytics Add-on,86880.68,327,309
2024-09,Core Platform,243863.8,854,736
2024-09,Storage Pack,59438.33,261,252
2024-09,Support Plus,66430.25,248,240
2024-10,API Access,66971.6,299,282
2024-10,Analytics Add-on,81200.44,315,301
2024-10,Core Platform,242792.62,963,836
2024-10,Storage Pack,73355.34,289,279
2024-10,Support Plus,68564.51,254,245
2024-11,API Access,105067.24,354,336
2024-11,Analytics Add-on,84776.87,312,298
2024-11,Core Platform,247403.67,987,867
2024-11,Storage Pack,70450.24,257,246
2024-11,Support Plus,75278.23,277,265
2024-12,API Access,90122.25,320,307
2024-12,Analytics Add-on,88207.59,355,336
2024-12,Core Platform,300537.73,1072,929
2024-12,Storage Pack,74641.78,286,270
2024-12,Support Plus,72168.78,291,281
2025-01,API Access,105232.68,348,335
2025-01,Analytics Add-on,114133.57,395,375
2025-01,Core Platform,281121.29,1104,967
2025-01,Storage Pack,94398.86,321,305
2025-01,Support Plus,70741.81,280,271
2025-02,API Access,74544.8,291,274
2025-02,Analytics Add-on,82508.29,322,310
2025-02,Core Platform,258303.96,981,875
2025-02,Storage Pack,75266.77,285,274
2025-02,Support Plus,65510.71,257,252
2025-03,API Access,91128.27,363,340
2025-03,Analytics Add-on,97263.26,368,342
2025-03,Core Platform,312824.17,1082,925
2025-03,Storage Pack,82996.38,320,310
2025-03,Support Plus,67699.53,284,275
2025-04,API Access,100174.2,386,372
2025-04,Analytics Add-on,90444.74,382,362
2025-04,Core Platform,310790.36,1136,1014
2025-04,Storage Pack,96930.33,304,293
2025-04,Support Plus,80844.63,320,311
2025-05,API Access,109480.02,382,364
2025-05,Analytics Add-on,113987.49,382,364
2025-05,Core Platform,310320.37,1198,1041
2025-05,Storage Pack,83730.16,318,303
2025-05,Support Plus,76473.35,290,277
2025-06,API Access,90538.13,344,330
2025-06,Analytics Add-on,101450.81,378,364
2025-06,Core Platform,311477.9,1161,1022
2025-06,Storage Pack,86880.01,321,309
2025-06,Support Plus,78333.78,300,290
2025-07,API Access,109324.12,425,404
2025-07,Analytics Add-on,95107.82,400,381
2025-07,Core Platform,318954.93,1205,1042
2025-07,Storage Pack,89771.55,351,336
2025-07,Support Plus,98697.06,318,308
2025-08,API Access,117706.51,450,427
2025-08,Analytics Add-on,107738.56,390,372
2025-08,Core Platform,328760.63,1208,1055
2025-08,Storage Pack,101373.27,349,339
2025-08,Support Plus,78295.33,315,306
2025-09,API Access,120522.48,402,388
2025-09,Analytics Add-on,89221.48,371,362
2025-09,Core Platform,318014.29,1229,1065
2025-09,Storage Pack,90288.89,361,341
2025-09,Support Plus,90396.47,348,334
2025-10,API Access,106780.53,438,416
2025-10,Analytics Add-on,109654.99,418,395
2025-10,Core Platform,343274.7,1306,1149
2025-10,Storage Pack,102566.87,378,361
2025-10,Support Plus,76307.75,329,321
2025-11,API Access,114942.6,435,414
2025-11,Analytics Add-on,114221.94,425,404
2025-11,Core Platform,372728.13,1256,1083
2025-11,Storage Pack,92337.76,357,343
2025-11,Support Plus,88781.43,342,330
2025-12,API Access,100849.32,417,395
2025-12,Analytics Add-on,110478.76,417,396
2025-12,Core Platform,328072.11,1252,1088
2025-12,Storage Pack,104598.54,375,358
2025-12,Support Plus,94916.17,344,331
