cohort_month,months_since_signup,revenue,paying_customers,txn_count,cohort_size,revenue_per_customer
2022-03,16,14922.18,42,57,112,133.23
2022-03,17,16224.39,50,74,112,144.86
2022-03,18,14972.94,54,69,112,133.69
2022-03,19,20538.62,54,67,112,183.38
2022-03,20,13163.15,47,56,112,117.53
2022-03,21,14183.61,51,67,112,126.64
2022-03,22,23925.43,54,71,112,213.62
2022-03,23,23394.12,51,74,112,208.88
2022-03,24,19107.01,50,71,112,170.6
2022-03,25,23967.27,58,79,112,213.99
2022-03,26,25582.74,58,82,112,228.42
2022-03,27,17235.01,52,70,112,153.88
2022-03,28,16306.59,47,57,112,145.59
2022-03,29,23325.65,56,83,112,208.26
2022-03,30,23296.13,53,66,112,208.0
2022-03,31,17098.78,52,78,112,152.67
2022-03,32,19183.97,64,88,112,171.29
2022-03,33,18255.25,56,82,112,162.99
2022-03,34,16780.64,58,73,112,149.83
2022-03,35,16836.49,50,62,112,150.33
2022-03,36,15516.61,50,61,112,138.54
2022-03,37,18393.19,59,74,112,164.22
2022-03,38,15906.29,47,70,112,142.02
2022-03,39,15303.56,55,71,112,136.64
2022-03,40,21404.02,55,75,112,191.11
2022-03,41,27013.65,55,85,112,241.19
2022-03,42,15836.25,40,53,112,141.4
2022-03,43,16602.33,57,70,112,148.24
2022-03,44,18224.26,51,77,112,162.72
2022-03,45,14659.64,49,64,112,130.89
2022-04,0,7232.67,22,30,88,82.19
2022-04,1,23588.03,46,66,88,268.05
2022-04,2,14261.09,47,59,88,162.06
2022-04,3,16688.83,37,53,88,189.65
2022-04,4,17132.61,43,54,88,194.69
2022-04,5,17063.95,41,51,88,193.91
2022-04,6,16900.05,36,53,88,192.05
2022-04,7,15442.62,41,56,88,175.48
2022-04,8,13153.43,37,52,88,149.47
2022-04,9,18754.51,37,45,88,213.12
2022-04,10,17708.75,32,41,88,201.24
2022-04,11,15415.76,36,45,88,175.18
2022-04,12,14775.69,30,42,88,167.91
2022-04,13,12143.63,39,48,88,138.0
2022-04,14,14005.13,35,42,88,159.15
2022-04,15,16552.11,36,51,88,188.09
2022-04,16,12773.05,36,49,88,145.15
2022-04,17,20211.39,37,50,88,229.67
2022-04,18,8332.97,36,44,88,94.69
2022-04,19,10669.37,38,49,88,121.24
2022-04,20,22741.03,47,65,88,258.42
2022-04,21,18570.98,35,45,88,211.03
2022-04,22,17014.38,38,53,88,193.35
2022-04,23,15997.88,45,64,88,181.79
2022-04,24,17938.81,40,54,88,203.85
2022-04,25,25852.26,36,57,88,293.78
2022-04,26,28738.22,42,66,88,326.57
2022-04,27,18790.13,40,53,88,213.52
2022-04,28,16804.19,36,47,88,190.96
2022-04,29,11563.75,29,42,88,131.41
2022-04,30,13958.14,39,49,88,158.62
2022-04,31,13163.25,35,49,88,149.58
2022-04,32,11918.68,29,36,88,135.44
2022-04,33,30855.26,46,66,88,350.63
2022-04,34,20412.33,34,45,88,231.96
2022-04,35,23388.63,39,58,88,265.78
2022-04,36,17723.46,42,56,88,201.4
2022-04,37,14940.11,38,49,88,169.77
2022-04,38,18512.04,37,44,88,210.36
2022-04,39,12864.37,39,51,88,146.19
2022-04,40,21306.73,35,50,88,242.12
2022-04,41,25721.02,38,54,88,292.28
2022-04,42,16672.72,45,62,88,189.46
2022-04,43,16289.38,42,58,88,185.11
2022-04,44,19247.64,40,55,88,218.72
2022-05,0,11899.35,37,48,130,91.53
2022-05,1,20135.42,69,85,130,154.89
2022-05,2,23563.91,59,79,130,181.26
2022-05,3,20028.67,66,81,130,154.07
2022-05,4,24546.17,59,78,130,188.82
2022-05,5,16229.13,71,92,130,124.84
2022-05,6,17973.59,62,82,130,138.26
2022-05,7,14862.31,65,89,130,114.33
2022-05,8,16591.43,61,83,130,127.63
2022-05,9,16977.31,57,77,130,130.59
2022-05,10,19988.5,74,94,130,153.76
2022-05,11,15268.12,54,75,130,117.45
2022-05,12,18376.63,72,91,130,141.36
2022-05,13,15973.97,61,75,130,122.88
2022-05,14,18134.51,65,85,130,139.5
2022-05,15,13939.08,53,69,130,107.22
2022-05,16,21345.53,62,82,130,164.2
2022-05,17,14112.49,56,78,130,108.56
2022-05,18,14326.63,55,74,130,110.2
2022-05,19,14390.3,56,70,130,110.69
2022-05,20,16678.07,55,75,130,128.29
2022-05,21,13836.25,57,81,130,106.43
2022-05,22,16799.83,48,69,130,129.23
2022-05,23,14401.06,56,83,130,110.78
2022-05,24,15490.97,60,70,130,119.16
2022-05,25,19403.3,54,69,130,149.26
2022-05,26,19454.45,55,69,130,149.65
2022-05,27,18138.46,65,87,130,139.53
2022-05,28,14700.6,48,69,130,113.08
2022-05,29,10145.55,43,66,130,78.04
2022-05,30,20798.65,65,80,130,159.99
2022-05,31,18384.79,58,88,130,141.42
2022-05,32,13774.95,59,78,130,105.96
2022-05,33,13893.81,49,62,130,106.88
2022-05,34,17574.23,59,83,130,135.19
2022-05,35,21161.85,63,75,130,162.78
2022-05,36,11939.66,56,76,130,91.84
2022-05,37,17759.7,49,65,130,136.61
2022-05,38,13450.05,57,77,130,103.46
2022-05,39,19261.73,49,65,130,148.17
2022-05,40,15699.29,47,64,130,120.76
2022-05,41,16183.76,59,70,130,124.49
2022-05,42,17723.68,57,76,130,136.34
2022-05,43,17485.08,46,70,130,134.5
2022-06,0,10227.42,33,35,110,92.98
2022-06,1,33093.74,54,74,110,300.85
2022-06,2,23865.09,59,77,110,216.96
2022-06,3,27876.18,50,70,110,253.42
2022-06,4,26229.95,52,78,110,238.45
2022-06,5,19554.77,52,77,110,177.77
2022-06,6,14164.65,49,63,110,128.77
2022-06,7,23527.64,51,66,110,213.89
2022-06,8,21879.67,46,61,110,198.91
2022-06,9,18197.54,52,70,110,165.43
2022-06,10,18272.7,51,59,110,166.12
2022-06,11,19090.06,48,73,110,173.55
2022-06,12,27981.88,52,71,110,254.38
2022-06,13,25281.46,50,69,110,229.83
2022-06,14,21326.66,45,58,110,193.88
2022-06,15,13755.43,41,52,110,125.05
2022-06,16,30288.76,55,78,110,275.35
2022-06,17,26078.94,48,69,110,237.08
2022-06,18,19946.67,49,68,110,181.33
2022-06,19,23345.47,54,70,110,212.23
2022-06,20,16753.28,46,58,110,152.3
2022-06,21,20784.27,49,61,110,188.95
2022-06,22,22288.65,57,80,110,202.62
2022-06,23,19898.21,49,64,110,180.89
2022-06,24,17672.02,46,61,110,160.65
2022-06,25,20997.74,58,88,110,190.89
2022-06,26,19016.78,46,55,110,172.88
2022-06,27,31668.48,56,80,110,287.9
2022-06,28,23546.4,58,86,110,214.06
2022-06,29,33324.66,61,85,110,302.95
2022-06,30,26207.63,53,73,110,238.25
2022-06,31,21211.9,47,62,110,192.84
2022-06,32,21032.56,48,70,110,191.21
2022-06,33,27864.18,52,73,110,253.31
2022-06,34,22859.98,60,76,110,207.82
2022-06,35,32946.02,52,75,110,299.51
2022-06,36,19648.76,49,67,110,178.63
2022-06,37,17887.34,44,60,110,162.61
2022-06,38,22564.09,45,59,110,205.13
2022-06,39,23143.43,48,60,110,210.39
2022-06,40,26330.69,52,75,110,239.37
2022-06,41,23525.09,49,58,110,213.86
2022-06,42,15125.19,51,66,110,137.5
2022-07,0,8409.08,30,38,114,73.76
2022-07,1,16008.93,56,76,114,140.43
2022-07,2,15820.9,50,72,114,138.78
2022-07,3,14403.67,50,61,114,126.35
2022-07,4,18606.96,49,63,114,163.22
2022-07,5,28570.84,58,88,114,250.62
2022-07,6,12233.38,48,65,114,107.31
2022-07,7,21342.35,50,69,114,187.21
2022-07,8,23113.71,53,70,114,202.75
2022-07,9,19962.49,53,68,114,175.11
2022-07,10,18691.45,42,56,114,163.96
2022-07,11,12880.36,42,60,114,112.99
2022-07,12,17570.93,52,73,114,154.13
2022-07,13,13592.45,50,62,114,119.23
2022-07,14,22182.33,52,74,114,194.58
2022-07,15,18696.0,52,74,114,164.0
2022-07,16,16662.71,59,78,114,146.16
2022-07,17,18199.08,53,71,114,159.64
2022-07,18,12803.5,54,67,114,112.31
2022-07,19,13316.57,50,72,114,116.81
2022-07,20,13449.91,53,66,114,117.98
2022-07,21,14966.24,42,55,114,131.28
2022-07,22,17046.26,54,71,114,149.53
2022-07,23,22867.94,53,68,114,200.6
2022-07,24,16941.91,51,77,114,148.61
2022-07,25,19383.45,49,68,114,170.03
2022-07,26,14768.95,49,64,114,129.55
2022-07,27,20411.77,46,59,114,179.05
2022-07,28,17014.21,56,72,114,149.25
2022-07,29,19253.15,52,77,114,168.89
2022-07,30,19298.65,47,64,114,169.29
2022-07,31,21997.14,42,58,114,192.96
2022-07,32,16997.64,46,56,114,149.1
2022-07,33,21483.54,47,72,114,188.45
2022-07,34,12493.4,44,53,114,109.59
2022-07,35,17269.49,50,60,114,151.49
2022-07,36,15759.46,49,63,114,138.24
2022-07,37,10676.64,48,57,114,93.65
2022-07,38,21010.01,58,75,114,184.3
2022-07,39,21495.85,54,81,114,188.56
2022-07,40,9948.69,38,47,114,87.27
2022-07,41,11987.97,47,61,114,105.16
2022-08,0,7117.15,27,33,122,58.34
2022-08,1,20266.38,54,81,122,166.12
2022-08,2,18182.35,63,81,122,149.04
2022-08,3,10726.47,48,53,122,87.92
2022-08,4,17854.09,55,68,122,146.34
2022-08,5,28833.34,67,85,122,236.34
2022-08,6,19312.08,39,57,122,158.3
2022-08,7,18042.31,52,68,122,147.89
2022-08,8,29029.41,65,86,122,237.95
2022-08,9,16001.06,52,68,122,131.16
2022-08,10,11476.58,48,64,122,94.07
2022-08,11,16974.3,54,71,122,139.13
2022-08,12,20682.9,52,68,122,169.53
2022-08,13,16181.61,49,70,122,132.64
2022-08,14,16622.33,50,75,122,136.25
2022-08,15,20583.25,56,76,122,168.72
2022-08,16,21775.96,59,88,122,178.49
2022-08,17,22623.57,54,69,122,185.44
2022-08,18,21199.8,50,68,122,173.77
2022-08,19,19714.9,60,83,122,161.6
2022-08,20,18346.74,56,78,122,150.38
2022-08,21,21509.14,55,79,122,176.3
2022-08,22,17746.93,55,75,122,145.47
2022-08,23,20034.87,53,66,122,164.22
2022-08,24,17671.9,48,60,122,144.85
2022-08,25,19148.28,50,63,122,156.95
2022-08,26,14132.42,46,65,122,115.84
2022-08,27,12844.12,43,57,122,105.28
2022-08,28,20658.62,47,64,122,169.33
2022-08,29,18957.55,49,67,122,155.39
2022-08,30,12141.73,44,56,122,99.52
2022-08,31,18088.7,49,75,122,148.27
2022-08,32,27108.35,53,75,122,222.2
2022-08,33,15856.47,54,67,122,129.97
2022-08,34,17667.71,53,80,122,144.82
2022-08,35,20546.36,52,71,122,168.41
2022-08,36,27070.29,50,71,122,221.89
2022-08,37,15657.61,49,59,122,128.34
2022-08,38,12706.38,41,54,122,104.15
2022-08,39,22850.51,53,68,122,187.3
2022-08,40,15776.52,46,63,122,129.32
2022-09,0,6482.71,29,37,112,57.88
2022-09,1,14646.98,47,61,112,130.78
2022-09,2,13615.65,45,59,112,121.57
2022-09,3,13367.46,52,67,112,119.35
2022-09,4,14940.64,49,67,112,133.4
2022-09,5,10414.04,44,61,112,92.98
2022-09,6,13371.9,45,64,112,119.39
2022-09,7,11723.63,44,54,112,104.68
2022-09,8,13787.15,46,62,112,123.1
2022-09,9,6171.45,42,60,112,55.1
2022-09,10,6209.57,46,58,112,55.44
2022-09,11,12950.55,46,64,112,115.63
2022-09,12,17957.56,52,72,112,160.34
2022-09,13,17966.08,52,74,112,160.41
2022-09,14,18792.65,48,69,112,167.79
2022-09,15,17559.69,60,81,112,156.78
2022-09,16,15731.96,52,69,112,140.46
2022-09,17,12569.22,42,66,112,112.23
2022-09,18,9578.14,49,67,112,85.52
2022-09,19,18396.18,47,64,112,164.25
2022-09,20,17179.17,57,76,112,153.39
2022-09,21,9445.68,40,55,112,84.34
2022-09,22,18827.62,56,75,112,168.1
2022-09,23,10191.14,46,67,112,90.99
2022-09,24,16854.3,54,72,112,150.48
2022-09,25,14341.47,55,75,112,128.05
2022-09,26,12495.97,46,63,112,111.57
2022-09,27,12258.09,56,72,112,109.45
2022-09,28,19435.72,57,74,112,173.53
2022-09,29,12765.13,48,57,112,113.97
2022-09,30,16200.71,50,66,112,144.65
2022-09,31,17327.65,50,66,112,154.71
2022-09,32,20093.96,55,79,112,179.41
2022-09,33,13773.69,53,67,112,122.98
2022-09,34,17904.64,48,66,112,159.86
2022-09,35,15334.19,47,62,112,136.91
2022-09,36,14459.12,61,83,112,129.1
2022-09,37,13701.31,41,59,112,122.33
2022-09,38,22512.42,56,78,112,201.0
2022-09,39,13356.47,51,68,112,119.25
2022-10,0,13338.47,28,35,110,121.26
2022-10,1,20229.67,54,70,110,183.91
2022-10,2,22165.42,58,69,110,201.5
2022-10,3,28014.59,52,65,110,254.68
2022-10,4,19501.63,52,66,110,177.29
2022-10,5,18501.51,49,69,110,168.2
2022-10,6,18286.51,50,63,110,166.24
2022-10,7,13531.94,52,67,110,123.02
2022-10,8,11327.69,41,61,110,102.98
2022-10,9,11714.11,45,64,110,106.49
2022-10,10,16774.06,48,75,110,152.49
2022-10,11,24395.33,53,72,110,221.78
2022-10,12,19435.25,57,77,110,176.68
2022-10,13,20012.15,56,64,110,181.93
2022-10,14,14443.57,55,79,110,131.31
2022-10,15,10365.65,45,60,110,94.23
2022-10,16,10913.64,41,54,110,99.21
2022-10,17,23585.53,57,78,110,214.41
2022-10,18,11025.52,39,50,110,100.23
2022-10,19,20524.47,49,73,110,186.59
2022-10,20,12492.52,40,49,110,113.57
2022-10,21,16535.36,49,62,110,150.32
2022-10,22,17056.2,51,63,110,155.06
2022-10,23,19425.28,45,63,110,176.59
2022-10,24,16960.83,45,67,110,154.19
2022-10,25,22565.95,53,67,110,205.14
2022-10,26,23675.68,50,71,110,215.23
2022-10,27,20404.9,59,76,110,185.5
2022-10,28,19548.08,45,60,110,177.71
2022-10,29,23276.46,46,62,110,211.6
2022-10,30,17082.98,46,68,110,155.3
2022-10,31,15527.44,53,69,110,141.16
2022-10,32,12792.79,45,57,110,116.3
2022-10,33,18801.76,59,81,110,170.93
2022-10,34,15970.99,51,72,110,145.19
2022-10,35,17329.26,49,76,110,157.54
2022-10,36,14461.85,54,70,110,131.47
2022-10,37,21647.23,43,64,110,196.79
2022-10,38,19827.45,51,72,110,180.25
2022-11,0,10382.04,28,31,84,123.6
2022-11,1,15302.71,40,53,84,182.18
2022-11,2,16313.47,38,49,84,194.21
2022-11,3,11918.01,40,57,84,141.88
2022-11,4,13531.48,42,55,84,161.09
2022-11,5,13181.87,33,46,84,156.93
2022-11,6,19126.9,46,59,84,227.7
2022-11,7,11873.58,37,51,84,141.35
2022-11,8,12558.09,35,55,84,149.5
2022-11,9,5452.27,31,37,84,64.91
2022-11,10,14745.0,40,53,84,175.54
2022-11,11,15875.03,36,48,84,188.99
2022-11,12,8730.99,37,49,84,103.94
2022-11,13,21147.25,48,65,84,251.75
2022-11,14,17514.69,45,62,84,208.51
2022-11,15,7589.71,28,36,84,90.35
2022-11,16,8835.8,39,50,84,105.19
2022-11,17,11104.54,38,52,84,132.2
2022-11,18,12464.86,37,51,84,148.39
2022-11,19,12656.73,44,54,84,150.68
2022-11,20,11348.55,32,39,84,135.1
2022-11,21,18792.23,45,59,84,223.72
2022-11,22,9650.43,32,42,84,114.89
2022-11,23,9192.39,34,44,84,109.43
2022-11,24,10161.78,34,46,84,120.97
2022-11,25,10263.98,38,57,84,122.19
2022-11,26,14423.27,40,55,84,171.71
2022-11,27,12303.19,36,48,84,146.47
2022-11,28,9303.38,37,57,84,110.75
2022-11,29,11337.1,42,54,84,134.97
2022-11,30,11418.51,39,51,84,135.93
2022-11,31,14430.7,38,55,84,171.79
2022-11,32,9385.5,32,44,84,111.73
2022-11,33,10497.18,37,47,84,124.97
2022-11,34,11008.86,33,42,84,131.06
2022-11,35,8322.78,33,38,84,99.08
2022-11,36,9753.93,31,39,84,116.12
2022-11,37,12617.32,39,53,84,150.21
2022-12,0,8850.98,33,42,114,77.64
2022-12,1,23242.28,56,79,114,203.88
2022-12,2,15562.11,46,67,114,136.51
2022-12,3,24816.1,57,76,114,217.69
2022-12,4,18362.6,47,64,114,161.08
2022-12,5,18872.4,54,77,114,165.55
2022-12,6,15588.88,57,73,114,136.74
2022-12,7,22284.62,51,64,114,195.48
2022-12,8,19617.9,59,81,114,172.09
2022-12,9,23443.12,61,84,114,205.64
2022-12,10,19972.74,51,76,114,175.2
2022-12,11,22045.34,50,66,114,193.38
2022-12,12,15563.42,53,67,114,136.52
2022-12,13,21806.0,49,64,114,191.28
2022-12,14,25914.19,57,85,114,227.32
2022-12,15,25468.6,58,78,114,223.41
2022-12,16,15258.19,53,73,114,133.84
2022-12,17,17969.47,48,65,114,157.63
2022-12,18,24459.4,56,80,114,214.56
2022-12,19,9381.99,39,47,114,82.3
2022-12,20,27573.29,61,82,114,241.87
2022-12,21,22341.58,43,67,114,195.98
2022-12,22,18168.06,49,65,114,159.37
2022-12,23,27591.82,60,83,114,242.03
2022-12,24,22543.04,49,64,114,197.75
2022-12,25,19494.2,54,68,114,171.0
2022-12,26,8936.7,36,45,114,78.39
2022-12,27,16880.69,46,57,114,148.08
2022-12,28,16175.87,47,61,114,141.89
2022-12,29,19909.63,48,64,114,174.65
2022-12,30,18882.9,53,70,114,165.64
2022-12,31,20071.47,54,74,114,176.07
2022-12,32,17270.74,50,71,114,151.5
2022-12,33,19091.68,48,74,114,167.47
2022-12,34,21072.75,57,70,114,184.85
2022-12,35,18620.18,57,71,114,163.33
2022-12,36,18565.74,37,50,114,162.86
2023-01,0,8072.48,31,36,106,76.16
2023-01,1,21076.05,48,65,106,198.83
2023-01,2,22674.43,57,80,106,213.91
2023-01,3,23584.1,53,71,106,222.49
2023-01,4,22021.34,48,60,106,207.75
2023-01,5,23384.43,49,69,106,220.61
2023-01,6,24524.11,53,71,106,231.36
2023-01,7,15534.78,49,62,106,146.55
2023-01,8,25460.72,46,57,106,240.2
2023-01,9,10662.77,47,59,106,100.59
2023-01,10,23564.07,52,73,106,222.3
2023-01,11,24356.77,57,82,106,229.78
2023-01,12,22125.91,46,63,106,208.74
2023-01,13,21013.31,44,66,106,198.24
2023-01,14,17940.0,48,61,106,169.25
2023-01,15,19463.12,46,58,106,183.61
2023-01,16,16848.34,43,53,106,158.95
2023-01,17,26393.82,55,78,106,249.0
2023-01,18,26230.6,47,62,106,247.46
2023-01,19,16645.15,42,52,106,157.03
2023-01,20,17287.49,38,57,106,163.09
2023-01,21,18080.14,52,73,106,170.57
2023-01,22,20086.0,48,66,106,189.49
2023-01,23,12971.36,41,53,106,122.37
2023-01,24,20502.72,40,56,106,193.42
2023-01,25,15490.34,42,56,106,146.14
2023-01,26,17414.77,41,57,106,164.29
2023-01,27,23733.07,52,73,106,223.9
2023-01,28,23103.58,49,68,106,217.96
2023-01,29,18216.78,40,52,106,171.86
2023-01,30,20034.75,40,61,106,189.01
2023-01,31,18765.91,43,61,106,177.04
2023-01,32,17084.84,48,58,106,161.18
2023-01,33,16314.43,47,62,106,153.91
2023-01,34,18516.83,35,47,106,174.69
2023-01,35,12289.83,34,43,106,115.94
2023-02,0,7437.62,28,31,101,73.64
2023-02,1,21465.08,45,59,101,212.53
2023-02,2,20223.96,37,54,101,200.24
2023-02,3,25138.17,49,68,101,248.89
2023-02,4,18707.56,46,61,101,185.22
2023-02,5,17316.29,45,64,101,171.45
2023-02,6,20053.55,42,60,101,198.55
2023-02,7,16387.23,36,51,101,162.25
2023-02,8,21877.57,44,64,101,216.61
2023-02,9,23712.86,51,72,101,234.78
2023-02,10,21636.93,48,63,101,214.23
2023-02,11,17338.32,40,55,101,171.67
2023-02,12,15929.33,39,53,101,157.72
2023-02,13,28256.68,48,72,101,279.77
2023-02,14,16529.47,44,59,101,163.66
2023-02,15,23082.18,53,69,101,228.54
2023-02,16,19537.99,46,57,101,193.45
2023-02,17,23455.88,48,63,101,232.24
2023-02,18,13623.95,41,58,101,134.89
2023-02,19,14487.34,45,53,101,143.44
2023-02,20,23602.54,42,55,101,233.69
2023-02,21,18174.63,46,62,101,179.95
2023-02,22,14252.62,40,62,101,141.12
2023-02,23,14650.38,41,53,101,145.05
2023-02,24,18035.3,42,60,101,178.57
2023-02,25,16202.39,44,56,101,160.42
2023-02,26,20890.9,47,61,101,206.84
2023-02,27,11987.84,39,51,101,118.69
2023-02,28,17025.21,43,54,101,168.57
2023-02,29,23238.34,51,70,101,230.08
2023-02,30,20266.15,41,49,101,200.65
2023-02,31,20622.01,57,73,101,204.18
2023-02,32,20206.38,45,58,101,200.06
2023-02,33,23866.52,50,70,101,236.3
2023-02,34,24087.73,58,71,101,238.49
2023-03,0,12392.88,32,39,113,109.67
2023-03,1,22117.73,56,69,113,195.73
2023-03,2,17921.31,47,62,113,158.6
2023-03,3,23890.34,55,71,113,211.42
2023-03,4,22173.74,55,80,113,196.23
2023-03,5,20018.81,54,71,113,177.16
2023-03,6,19443.75,51,67,113,172.07
2023-03,7,21150.27,52,71,113,187.17
2023-03,8,17647.75,51,72,113,156.17
2023-03,9,15276.68,53,74,113,135.19
2023-03,10,20221.07,43,60,113,178.95
2023-03,11,17333.67,53,69,113,153.4
2023-03,12,24664.07,52,72,113,218.27
2023-03,13,19504.05,55,78,113,172.6
2023-03,14,10807.57,42,54,113,95.64
2023-03,15,14291.37,47,67,113,126.47
2023-03,16,15612.09,45,58,113,138.16
2023-03,17,23658.46,47,71,113,209.37
2023-03,18,16396.63,44,54,113,145.1
2023-03,19,18286.17,61,76,113,161.82
2023-03,20,19242.24,46,65,113,170.29
2023-03,21,23389.09,55,81,113,206.98
2023-03,22,18997.89,56,82,113,168.12
2023-03,23,14261.31,41,53,113,126.21
2023-03,24,19204.74,46,72,113,169.95
2023-03,25,13815.04,50,64,113,122.26
2023-03,26,17100.21,46,64,113,151.33
2023-03,27,18582.2,48,59,113,164.44
2023-03,28,17001.47,49,62,113,150.46
2023-03,29,13953.32,49,65,113,123.48
2023-03,30,12922.89,41,62,113,114.36
2023-03,31,16320.59,45,61,113,144.43
2023-03,32,18263.99,46,62,113,161.63
2023-03,33,15111.23,44,59,113,133.73
2023-04,0,7215.73,34,40,118,61.15
2023-04,1,28095.16,62,85,118,238.09
2023-04,2,23033.8,54,71,118,195.2
2023-04,3,20495.52,50,59,118,173.69
2023-04,4,25759.74,58,86,118,218.3
2023-04,5,20940.99,51,69,118,177.47
2023-04,6,18484.74,45,59,118,156.65
2023-04,7,24992.71,50,68,118,211.8
2023-04,8,18986.95,53,64,118,160.91
2023-04,9,25586.14,57,74,118,216.83
2023-04,10,19257.44,50,79,118,163.2
2023-04,11,31207.7,56,78,118,264.47
2023-04,12,28464.41,53,68,118,241.22
2023-04,13,19584.62,47,67,118,165.97
2023-04,14,21675.52,57,79,118,183.69
2023-04,15,22987.01,52,76,118,194.81
2023-04,16,29974.11,56,83,118,254.02
