segment,region,plan,customers,active_customers,churned,total_mrr,avg_mrr,avg_health,avg_nps,lifetime_revenue,churn_rate
Startup,Europe,Enterprise,24,23,1,29952.27,1248.01,59.8,36.3,361081.88,0.0417
Startup,Europe,Free,38,0,8,0.0,0.0,59.0,28.2,2339.21,0.2105
Startup,Europe,Pro,77,73,4,11787.61,153.09,59.7,33.6,177845.86,0.0519
Startup,Europe,Starter,86,76,10,4333.44,50.39,60.1,32.2,65677.55,0.1163
Startup,LATAM,Business,15,14,1,6243.07,416.2,61.5,37.5,124972.36,0.0667
Startup,LATAM,Enterprise,11,10,1,13435.85,1221.44,61.3,38.9,170176.4,0.0909
Startup,LATAM,Free,14,0,3,0.0,0.0,55.9,23.3,1001.48,0.2143
Startup,LATAM,Pro,31,28,3,4711.83,151.99,61.2,38.2,69627.12,0.0968
Startup,LATAM,Starter,21,20,1,1083.0,51.57,60.3,27.6,14602.61,0.0476
Startup,North America,Business,62,59,3,25723.4,414.89,58.6,35.7,414578.92,0.0484
Startup,North America,Enterprise,37,33,4,46288.75,1251.05,62.4,32.7,742950.78,0.1081
Startup,North America,Free,45,0,7,0.0,0.0,59.7,41.1,3247.73,0.1556
Startup,North America,Pro,94,88,6,14376.78,152.94,61.1,34.7,210354.21,0.0638
Startup,North America,Starter,119,104,15,5977.98,50.24,59.7,34.3,92106.3,0.1261
